SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
D:\dfirmadness\DC01-E01\tout\F\ProgramData\Microsoft\Windows\Start Menu\Programs\Desktop.lnk,2013-08-22 06:57:05,2013-08-22 06:57:05,2022-02-21 14:53:21,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Show Desktop,,,,,,,PropertyStoreDataBlock
D:\dfirmadness\DC01-E01\tout\F\ProgramData\Microsoft\Windows\Start Menu\Programs\Search.lnk,2013-08-22 06:45:50,2013-08-22 06:45:50,2022-02-21 14:53:21,,,,0,,,0,"HasArguments, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,-sta {C90FB8CA-3295-4462-A721-2935E83694BA},,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Control Panel.lnk,2020-09-17 16:46:15,2013-08-22 06:55:08,2022-02-21 14:53:21,,,,0,,%windir%\system32,0,"HasName, HasWorkingDir, HasArguments, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,"shell32.dll,Control_RunDLL",,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Launch Internet Explorer Browser.lnk,2020-09-19 03:23:01,2020-09-19 03:23:01,2022-02-21 14:53:21,2014-03-21 19:02:52,2014-03-21 19:02:52,2014-03-21 19:02:52,809648,..\..\..\..\..\..\..\Program Files\Internet Explorer\iexplore.exe,%HOMEDRIVE%%HOMEPATH%,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasRelativePath, HasWorkingDir, IsUnicode",Fixed storage media (Hard drive),E648FAD0,,C:\Program Files\Internet Explorer\iexplore.exe,,,,My Computer\C:\Program Files\Internet Explorer\iexplore.exe,0x11E4B,0x1,citadel-dc01,00:15:5d:8a:ac:72,MICROSOFT,2014-03-21 19:09:10,"SpecialFolderDataBlock, KnownFolderDataBlock, PropertyStoreDataBlock, TrackerDataBaseBlock"
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Server Manager.lnk,2020-09-17 16:46:15,2013-08-22 06:55:08,2022-02-21 14:53:21,,,,0,,%windir%\system32,0,"HasName, HasWorkingDir, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,,,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Shows Desktop.lnk,2020-09-17 16:46:15,2013-08-22 06:54:22,2022-02-21 14:53:21,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Show Desktop,,,,,,,PropertyStoreDataBlock
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Window Switcher.lnk,2020-09-17 16:46:15,2013-08-22 06:54:22,2022-02-21 14:53:21,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Window Switcher,,,,,,,PropertyStoreDataBlock
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Beth_Secret.lnk,2020-09-19 03:35:07,2020-09-19 03:35:07,2022-02-21 14:53:21,2020-09-19 03:34:56,2020-09-19 03:34:56,2020-09-19 03:34:56,0,..\..\..\..\..\..\..\FileShare\Secret\Beth_Secret.txt,C:\FileShare\Secret,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),E648FAD0,,C:\FileShare\,\\CITADEL-DC01\FileShare,Secret\Beth_Secret.txt,,My Computer\C:\FileShare\Secret\Beth_Secret.txt,0x15447,0x2,citadel-dc01,00:0c:29:e1:84:e6,VMWARE,2020-09-19 01:22:37,"PropertyStoreDataBlock, TrackerDataBaseBlock"
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\NoJerry.lnk,2020-09-18 22:29:54,2020-09-19 03:31:50,2022-02-21 14:53:21,2020-09-18 22:29:47,2020-09-18 22:30:24,2020-09-18 22:29:47,25,..\..\..\..\..\..\..\FileShare\Secret\NoJerry.txt,C:\FileShare\Secret,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),E648FAD0,,C:\FileShare\,\\CITADEL-DC01\FileShare,Secret\NoJerry.txt,,My Computer\C:\FileShare\Secret\NoJerry.txt,0x153B7,0x5,citadel-dc01,00:0c:29:e1:84:e6,VMWARE,2020-09-18 22:27:27,"PropertyStoreDataBlock, TrackerDataBaseBlock"
D:\dfirmadness\DC01-E01\tout\F\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\PortalGunPlans.lnk,2020-09-18 22:34:02,2020-09-19 03:32:02,2022-02-21 14:53:21,2020-09-18 22:33:54,2020-09-18 22:35:35,2020-09-18 22:33:54,143,..\..\..\..\..\..\..\FileShare\Secret\PortalGunPlans.txt,C:\FileShare\Secret,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),E648FAD0,,C:\FileShare\,\\CITADEL-DC01\FileShare,Secret\PortalGunPlans.txt,,My Computer\C:\FileShare\Secret\PortalGunPlans.txt,0x4F32,0x6,citadel-dc01,00:0c:29:e1:84:e6,VMWARE,2020-09-18 22:27:27,"PropertyStoreDataBlock, TrackerDataBaseBlock"
