Hash,Id,Offset,OwnerSid,GroupSid,Control,SaclAceCount,UniqueSaclAceTypes,DaclAceCount,UniqueDaclAceTypes,FileOffset,SourceFile
CBC6FE32,256,0,S-1-5-18,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,0,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
F7C81434,257,128,S-1-5-18,S-1-5-32-544,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,128,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
19227620,258,256,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,256,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
D7730CFD,259,384,S-1-5-32-544,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,384,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
91588E06,260,512,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,512,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
4F380486,261,640,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,8,AccessAllowed,640,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
0483E762,262,896,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,4,AccessAllowed,896,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
8B7527AB,263,1056,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,1056,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
42B265DB,264,1184,S-1-5-18,S-1-5-18,SeDaclPresent|SeSelfRelative,0,,2,AccessAllowed,1184,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
40436A80,265,1312,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,6,AccessAllowed,1312,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
4DE0713D,266,1568,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,6,AccessAllowed,1568,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
D9061172,267,1776,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeDaclProtected|SeSelfRelative,1,SystemMandatoryLabel,5,AccessAllowed,1776,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
45499A07,268,2000,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,2000,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
9A7DB1A7,269,2160,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,11,AccessAllowed,2160,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
6B89E011,270,2576,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,11,AccessAllowed,2576,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
D82CCF74,271,2944,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,1,SystemAudit,10,AccessAllowed,2944,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
865CE346,272,3360,S-1-5-32-544,S-1-5-21-2232410529-1445159330-2725690660-513,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,11,AccessAllowed,3360,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
CB9A33F8,273,3744,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeDaclProtected|SeSelfRelative,1,SystemMandatoryLabel,10,AccessAllowed,3744,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
297FE554,274,4144,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,1,SystemMandatoryLabel,7,AccessAllowed,4144,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
4D2DC166,275,4432,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,5,AccessAllowed,4432,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
455139D2,276,4624,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,5,AccessAllowed,4624,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
D97BE725,277,4816,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,4,AccessAllowed,4816,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
DF8FE526,278,4992,S-1-5-18,S-1-5-18,SeDaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeSelfRelative,0,,4,AccessAllowed,4992,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
077F067E,279,5152,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,2,AccessAllowed,5152,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
B4110B50,280,5280,S-1-5-18,S-1-5-18,SeDaclPresent|SeSaclPresent|SeDaclAutoInherited|SeSaclAutoInherited|SeDaclProtected|SeSelfRelative,0,,3,AccessAllowed,5280,D:\dfirmadness\DC01-E01\tout\F\$Secure_$SDS
