ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,SYSVOL\Windows\System32\LogonUI.exe,2013-08-22 11:32:21,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,1,SYSVOL\Program Files\VMware\VMware Tools\vmtoolsd.exe,2020-03-30 22:46:06,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,2,SYSVOL\Windows\System32\vm3dservice.exe,2020-03-30 22:49:52,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,3,SYSVOL\Windows\System32\wbem\WmiPrvSE.exe,2013-08-22 11:45:14,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,4,SYSVOL\Windows\System32\ServerManager.exe,2013-08-22 05:24:32,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,5,SYSVOL\Windows\SysWOW64\dllhost.exe,2013-08-22 05:21:45,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,6,SYSVOL\Windows\explorer.exe,2014-03-21 18:49:21,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,7,SYSVOL\Windows\System32\userinit.exe,2013-08-22 10:03:12,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,8,SYSVOL\Windows\System32\taskhost.exe,2014-03-21 18:49:02,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,9,SYSVOL\Windows\System32\ServerManagerLauncher.exe,2013-08-22 11:13:57,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,10,SYSVOL\Windows\System32\taskhostex.exe,2014-03-21 18:49:02,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,11,SYSVOL\Program Files\VMware\VMware Tools\VMwareResolutionSet.exe,2020-03-30 22:45:52,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,12,SYSVOL\Windows\System32\wbem\WMIADAP.exe,2013-08-22 11:44:42,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,13,SYSVOL\Windows\System32\wbem\WmiApSrv.exe,2013-08-22 09:48:06,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,14,SYSVOL\Windows\System32\sppsvc.exe,2014-03-21 18:49:10,No,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,15,SYSVOL\Windows\System32\VSSVC.exe,2014-03-21 18:49:03,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,16,SYSVOL\Windows\System32\msdtc.exe,2013-08-22 09:40:46,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,17,SYSVOL\Windows\System32\dllhost.exe,2013-08-22 12:35:25,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,18,SYSVOL\Windows\System32\svchost.exe,2013-08-22 12:45:17,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,19,SYSVOL\Windows\System32\cmd.exe,2013-08-22 10:03:31,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,20,SYSVOL\Program Files\VMware\VMware Tools\poweron-vm-default.bat,2020-03-30 22:45:52,No,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,21,SYSVOL\Windows\System32\vds.exe,2014-03-21 18:49:03,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,22,SYSVOL\Windows\System32\dfssvc.exe,2020-09-17 17:51:00,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,23,SYSVOL\Windows\System32\wlms\wlms.exe,2014-03-21 18:27:35,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,24,SYSVOL\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe,2020-03-30 22:28:44,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,25,SYSVOL\Windows\System32\vdsldr.exe,2013-08-22 11:20:21,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,26,SYSVOL\Windows\System32\ismserv.exe,2020-09-17 17:50:55,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,27,SYSVOL\Windows\System32\dns.exe,2020-09-17 17:51:20,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,28,SYSVOL\Windows\System32\dfsrs.exe,2020-09-17 17:51:00,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,29,SYSVOL\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe,2020-09-17 17:50:56,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
1,30,SYSVOL\Windows\System32\spoolsv.exe,2013-08-22 09:10:12,Yes,False,D:\dfirmadness\DC01-E01\tout\F\Windows\System32\config\SYSTEM
