CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\LogonUI.exe,AppCompatCache,2013-08-22 11:32:21.7094617
1,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\VMware\VMware Tools\vmtoolsd.exe,AppCompatCache,2020-03-30 22:46:06.0000000
2,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\vm3dservice.exe,AppCompatCache,2020-03-30 22:49:52.0000000
3,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wbem\WmiPrvSE.exe,AppCompatCache,2013-08-22 11:45:14.6550812
4,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ServerManager.exe,AppCompatCache,2013-08-22 05:24:32.4697468
5,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\SysWOW64\dllhost.exe,AppCompatCache,2013-08-22 05:21:45.4875089
6,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\explorer.exe,AppCompatCache,2014-03-21 18:49:21.5792865
7,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\userinit.exe,AppCompatCache,2013-08-22 10:03:12.8467176
8,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\taskhost.exe,AppCompatCache,2014-03-21 18:49:02.0636207
9,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ServerManagerLauncher.exe,AppCompatCache,2013-08-22 11:13:57.1549597
10,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\taskhostex.exe,AppCompatCache,2014-03-21 18:49:02.0479774
11,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\VMware\VMware Tools\VMwareResolutionSet.exe,AppCompatCache,2020-03-30 22:45:52.0000000
12,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wbem\WMIADAP.exe,AppCompatCache,2013-08-22 11:44:42.5740259
13,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wbem\WmiApSrv.exe,AppCompatCache,2013-08-22 09:48:06.8209390
14,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\sppsvc.exe,AppCompatCache,2014-03-21 18:49:10.4074122
15,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\VSSVC.exe,AppCompatCache,2014-03-21 18:49:03.6729386
16,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\msdtc.exe,AppCompatCache,2013-08-22 09:40:46.2678384
17,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dllhost.exe,AppCompatCache,2013-08-22 12:35:25.3750709
18,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\svchost.exe,AppCompatCache,2013-08-22 12:45:17.9041279
19,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\cmd.exe,AppCompatCache,2013-08-22 10:03:31.8493081
20,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\VMware\VMware Tools\poweron-vm-default.bat,AppCompatCache,2020-03-30 22:45:52.0000000
21,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\vds.exe,AppCompatCache,2014-03-21 18:49:03.7667473
22,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dfssvc.exe,AppCompatCache,2020-09-17 17:51:00.7743977
23,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wlms\wlms.exe,AppCompatCache,2014-03-21 18:27:35.7535476
24,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe,AppCompatCache,2020-03-30 22:28:44.0000000
25,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\vdsldr.exe,AppCompatCache,2013-08-22 11:20:21.5967932
26,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\ismserv.exe,AppCompatCache,2020-09-17 17:50:55.2540163
27,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dns.exe,AppCompatCache,2020-09-17 17:51:20.4004249
28,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dfsrs.exe,AppCompatCache,2020-09-17 17:51:00.5184218
29,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe,AppCompatCache,2020-09-17 17:50:56.7710896
30,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\spoolsv.exe,AppCompatCache,2013-08-22 09:10:12.2465167
31,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\dwm.exe,AppCompatCache,2014-03-21 18:49:31.8761228
32,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\lsass.exe,AppCompatCache,2013-08-22 13:25:35.7998969
33,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\services.exe,AppCompatCache,2013-08-22 13:25:40.7853341
34,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\rundll32.exe,AppCompatCache,2013-08-22 11:03:41.8766734
35,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\WerFault.exe,AppCompatCache,2014-03-21 18:49:25.4542456
36,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Session Manager\AppCompatCache,SYSVOL\Windows\System32\wermgr.exe,AppCompatCache,2014-03-21 18:49:25.5167647
