Timestamp,BatchKeyPath,DriverDesc,BatchValueName,DriverDate,DriverVersion,ProviderName,DeviceInstanceid
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0000,WAN Miniport (L2TP),Multiple,6-21-2006,6.3.9600.17039,Microsoft,ROOT\MS_L2TPMINIPORT\0000
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0001,WAN Miniport (SSTP),Multiple,6-21-2006,6.3.9600.16384,Microsoft,ROOT\MS_SSTPMINIPORT\0000
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002,WAN Miniport (IKEv2),Multiple,6-21-2006,6.3.9600.16384,Microsoft,ROOT\MS_AGILEVPNMINIPORT\0000
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0003,WAN Miniport (PPTP),Multiple,6-21-2006,6.3.9600.17039,Microsoft,ROOT\MS_PPTPMINIPORT\0000
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0004,WAN Miniport (PPPOE),Multiple,6-21-2006,6.3.9600.17039,Microsoft,ROOT\MS_PPPOEMINIPORT\0000
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0005,WAN Miniport (IP),Multiple,6-21-2006,6.3.9600.17039,Microsoft,ROOT\MS_NDISWANIP\0000
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0006,WAN Miniport (IPv6),Multiple,6-21-2006,6.3.9600.17039,Microsoft,ROOT\MS_NDISWANIPV6\0000
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0007,WAN Miniport (Network Monitor),Multiple,6-21-2006,6.3.9600.17039,Microsoft,ROOT\MS_NDISWANBH\0000
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0008,Microsoft Kernel Debug Network Adapter,Multiple,6-21-2006,6.3.9600.16384,Microsoft,ROOT\KDNIC\0000
2020-09-17 17:56:13.2042227,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0009,RAS Async Adapter,Multiple,6-21-2006,6.3.9600.17039,Microsoft,SW\{EEAB7790-C514-11D1-B42B-00805FC1270E}\ASYNCMAC
2020-09-17 17:56:13.2062815,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0010,Intel(R) 82574L Gigabit Network Connection,Multiple,3-28-2013,12.6.47.1,Microsoft,PCI\VEN_8086&DEV_10D3&SUBSYS_07D015AD&REV_00\000C29FFFFE184E600
2020-09-17 17:56:13.2062815,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0011,Microsoft ISATAP Adapter,Multiple,6-21-2006,6.3.9600.16384,Microsoft,SWD\IP_TUNNEL_VBUS\ISATAP_0
