Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,1,1,Secret,Secret.lnk,0,2020-09-19 03:35:07.8446292,2020-09-19 03:35:07.8446292
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,5,5,Beth_Secret.txt,Beth_Secret.lnk,1,,2020-09-19 03:35:07.8292776
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,3,Szechuan Sauce.txt,Szechuan Sauce.lnk,2,,
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,4,4,SECRET_beth.txt,SECRET_beth.lnk,3,,
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,2,2,PortalGunPlans.txt,PortalGunPlans.lnk,4,,
RecentDocs,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,0,NoJerry.txt,NoJerry.lnk,5,,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Secret,Secret.lnk,0,2020-09-19 03:35:07.8446292,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,4,4,Beth_Secret.txt,Beth_Secret.lnk,0,2020-09-19 03:35:07.8292776,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,2,2,Szechuan Sauce.txt,Szechuan Sauce.lnk,1,,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,3,3,SECRET_beth.txt,SECRET_beth.lnk,2,,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,1,1,PortalGunPlans.txt,PortalGunPlans.lnk,3,,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,0,0,NoJerry.txt,NoJerry.lnk,4,,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,4,4,Beth_Secret.txt,Beth_Secret.lnk,0,2020-09-19 03:35:07.8292776,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,2,2,Szechuan Sauce.txt,Szechuan Sauce.lnk,1,,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,3,3,SECRET_beth.txt,SECRET_beth.lnk,2,,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,1,1,PortalGunPlans.txt,PortalGunPlans.lnk,3,,
.txt,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,0,0,NoJerry.txt,NoJerry.lnk,4,,
Folder,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Secret,Secret.lnk,0,2020-09-19 03:35:07.8446292,
