Version,BatchKeyPath,KeyName,BatchValueName,Path,CreatedOn,LastStart,LastStop,TaskState,LastActionResult,Source,Description,Author
3,,{0CB3FF1C-DB4D-4C0D-B1B3-59A29E45E352},,\Microsoft\Windows\Time Synchronization\SynchronizeTime,2013-08-19 14:48:44.1496113,,,0,0,"$(@%systemroot%\system32\w32time.dll,-200)","$(@%systemroot%\system32\w32time.dll,-201)","$(@%systemroot%\system32\w32time.dll,-202)"
3,,{0D924D45-DE51-4FF7-BAFA-74EF5EC880EA},,\Microsoft\Windows\WDI\ResolutionHost,2013-08-22 14:48:44.1652352,,,0,0,"$(@%systemroot%\system32\dps.dll,-601)","$(@%systemroot%\system32\dps.dll,-602)","$(@%systemroot%\system32\dps.dll,-600)"
3,,{0DFCC7C7-6552-4E21-9D6E-DF15C7878179},,\Microsoft\Windows\Storage Tiers Management\Storage Tiers Optimization,2013-08-22 14:48:44.1652352,,,0,0,"$(@%systemroot%\system32\TieringEngineService.exe,-601)","$(@%systemroot%\system32\TieringEngineService.exe,-603)","$(@%systemroot%\system32\TieringEngineService.exe,-600)"
3,,{1218923F-D14A-411B-8600-EBC290BA6E4A},,\Microsoft\Windows\Servicing\StartComponentCleanup,2013-08-22 14:48:44.1652352,,,0,0,,,
3,,{171665A5-C79F-4C06-B8CA-1D437B644821},,\Microsoft\Windows\WS\WSTask,2013-08-22 14:48:44.1808583,,,0,0,"$(@%SystemRoot%\system32\wsservice.dll,-122)","$(@%SystemRoot%\system32\wsservice.dll,-121)","$(@%SystemRoot%\system32\wsservice.dll,-120)"
3,,{17AF73C7-9218-4176-995C-35B5AF8BD54E},,\Microsoft\Windows\AppID\SmartScreenSpecific,2013-08-18 14:48:43.8371101,,,0,0,"$(@%systemroot%\system32\apprepsync.dll,-701)","$(@%systemroot%\system32\apprepsync.dll,-702)","$(@%systemroot%\system32\apprepsync.dll,-700)"
3,,{1EA97175-299D-403B-B8F6-5CCD279A0C7A},,\Microsoft\Windows\Application Experience\AitAgent,2013-08-22 14:48:44.1808583,,,0,0,"$(@%SystemRoot%\system32\aitagent.exe,-701)","$(@%SystemRoot%\system32\aitagent.exe,-702)","$(@%SystemRoot%\system32\aitagent.exe,-701)"
3,,{22F8933B-6077-471D-A4C3-56C7647164AD},,\Microsoft\Windows\Server Manager\CleanupOldPerfLogs,2013-08-22 14:48:44.2121124,,,0,0,"$(@%systemroot%\system32\wbem\mgmtprovider.dll,-101)",,"$(@%systemroot%\system32\wbem\mgmtprovider.dll,-102)"
3,,{2388EEB2-5B2E-4DAB-B3F7-A71C6A2E64B8},,\Microsoft\Windows\WindowsUpdate\Scheduled Start,2013-08-22 14:48:44.2277377,,,0,0,Microsoft Corporation.,This task is used to start the Windows Update service when needed to perform scheduled operations such as scans.,Microsoft Corporation.
3,,{244FFD73-41DC-4E9E-90E5-BE5A3FE3D6E0},,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319,2013-08-22 14:48:44.2277377,,,0,0,,,
3,,{28BC97B3-AF96-466A-B781-D702A86CA7CA},,\Microsoft\Windows\Wininet\CacheTask,2013-08-22 14:48:43.9778303,,,0,0,,"$(@%systemroot%\system32\wininet.dll,-16001)","$(@%systemroot%\system32\wininet.dll,-16000)"
3,,{3352949D-C8BC-4852-A67B-F3ECB684AAFB},,\Microsoft\Windows\TPM\Tpm-Maintenance,2013-08-22 14:48:44.2589877,,,0,0,"$(@%SystemRoot%\system32\TpmTasks.dll,-601)","$(@%SystemRoot%\system32\TpmTasks.dll,-602)","$(@%SystemRoot%\system32\TpmTasks.dll,-600)"
3,,{33741B25-D0D1-425B-A84E-D2E6DBD2D76A},,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64,2013-08-22 14:48:44.2589877,,,0,0,,,
3,,{3C4E2341-D2F0-4CD4-ACB2-EA7056CFEB0C},,\Microsoft\Windows\Workplace Join\Automatic-Workplace-Join,2013-08-22 14:48:43.9778303,,,0,0,,"$(@%SystemRoot%\system32\AutoWorkplaceN.dll,-101)",
3,,{3CBFB495-64A5-482A-8CAE-80BC4E93B629},,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask,2013-08-22 14:48:44.3058621,,,0,0,"$(@%systemroot%\system32\sppc.dll,-200)","$(@%systemroot%\system32\sppc.dll,-201)","$(@%systemroot%\system32\sppc.dll,-200)"
3,,{416ABB6F-83B0-4A11-B3D2-1624AFE4DB38},,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical,2013-08-22 14:48:44.3214876,,,0,0,,,
3,,{41A14176-B546-4714-B8D3-C87C01A7909D},,\Microsoft\Windows\WindowsUpdate\AUScheduledInstall,2013-08-22 14:48:44.3214876,,,0,0,Microsoft Corporation.,Initiates scheduled install of updates on the machine.,Microsoft Corporation.
3,,{46EE1028-5F4B-4200-B751-9DCFC08D9978},,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskNetwork,2013-08-22 14:48:44.3214876,,,0,0,"$(@%systemroot%\system32\sppc.dll,-200)","$(@%systemroot%\system32\sppc.dll,-203)","$(@%systemroot%\system32\sppc.dll,-200)"
