Timestamp,BatchKeyPath,KeyName,BatchValueName,SerialNumber,DeviceName,FriendlyName,LocationInformation
2020-09-19 01:22:38.8450301,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Enum\USB\ROOT_HUB\5&3bb57b&0,ROOT_HUB,Multiple,5&3bb57b&0,USB Root Hub,,
2020-09-19 01:22:38.8450301,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Enum\USB\ROOT_HUB20\5&6106580&0,ROOT_HUB20,Multiple,5&6106580&0,USB Root Hub,,
2020-09-19 01:22:38.9611842,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Enum\USB\ROOT_HUB30\5&d01e486&0&0,ROOT_HUB30,Multiple,5&d01e486&0&0,USB Root Hub (xHCI),,
2020-09-19 01:22:39.1061904,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Enum\USB\VID_0E0F&PID_0003\6&a693ed3&0&5,VID_0E0F&PID_0003,Multiple,6&a693ed3&0&5,USB Composite Device,,Port_#0005.Hub_#0003
2020-09-19 01:22:39.1061904,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Enum\USB\VID_0E0F&PID_0003&MI_00\7&d3efc8d&0&0000,VID_0E0F&PID_0003&MI_00,Multiple,7&d3efc8d&0&0000,USB Input Device,,0013.0000.0000.005.000.000.000.000.000
2020-09-19 01:22:39.1218266,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet001\Enum\USB\VID_0E0F&PID_0003&MI_01\7&d3efc8d&0&0001,VID_0E0F&PID_0003&MI_01,Multiple,7&d3efc8d&0&0001,USB Input Device,,0013.0000.0000.005.000.000.000.000.000
2020-09-19 01:22:38.8450301,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Enum\USB\ROOT_HUB\5&3bb57b&0,ROOT_HUB,Multiple,5&3bb57b&0,USB Root Hub,,
2020-09-19 01:22:38.8450301,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Enum\USB\ROOT_HUB20\5&6106580&0,ROOT_HUB20,Multiple,5&6106580&0,USB Root Hub,,
2020-09-19 01:22:38.9611842,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Enum\USB\ROOT_HUB30\5&d01e486&0&0,ROOT_HUB30,Multiple,5&d01e486&0&0,USB Root Hub (xHCI),,
2020-09-19 01:22:39.1061904,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Enum\USB\VID_0E0F&PID_0003\6&a693ed3&0&5,VID_0E0F&PID_0003,Multiple,6&a693ed3&0&5,USB Composite Device,,Port_#0005.Hub_#0003
2020-09-19 01:22:39.1061904,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Enum\USB\VID_0E0F&PID_0003&MI_00\7&d3efc8d&0&0000,VID_0E0F&PID_0003&MI_00,Multiple,7&d3efc8d&0&0000,USB Input Device,,0013.0000.0000.005.000.000.000.000.000
2020-09-19 01:22:39.1218266,CsiTool-CreateHive-{00000000-0000-0000-0000-000000000000}\ControlSet002\Enum\USB\VID_0E0F&PID_0003&MI_01\7&d3efc8d&0&0001,VID_0E0F&PID_0003&MI_01,Multiple,7&d3efc8d&0&0001,USB Input Device,,0013.0000.0000.005.000.000.000.000.000
