Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedOnClient,OriginalLastModifiedOnClient,ExpirationTime,CreatedInCloud,IsLocalOnly,ETag,PackageIdHash,PlatformDeviceId,DevicePlatform,TimeZone
fedcdb3a-518c-741c-1d36-c538009c1113,11,11,microsoft.default.default,,,(Binary data),,2020-09-18 05:50:00,,,2020-09-18 05:50:00,2020-09-18 05:50:00,,2027-09-17 05:50:00,,True,1,ZZzI03ZhPBD1Dfj2GvrCeHMuMjZ9FnVlYIDK+kZzTu0=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
2c44b826-b901-f46c-6e6a-4c6526484436,11,11,Microsoft.Default.Input,,,(Binary data),,2020-09-18 05:51:24,,,2020-09-18 05:51:24,2020-09-18 05:51:24,,2027-09-17 05:51:24,,False,2,Wvq833opDQ2lQ5RM1kH1zXlbcg1ww7CldmoElcLFyUc=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
2cb61d74-ed2c-8479-2a4d-5798bb5628f3,5,ExecuteOpen,D:\setup64.exe,setup64.exe,,"{""displayText"":""setup64.exe"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""setup64.exe"",""backgroundColor"":""black""}",,2020-09-18 05:52:05,,,2020-09-18 05:52:05,2020-09-18 05:52:05,,2020-10-18 05:52:05,,False,3,qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
a217b381-e90e-828a-d25c-265049453f2d,6,InFocus,D:\setup64.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":6,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 05:52:05,2020-09-18 05:52:11,00:00:06,2020-09-18 05:52:11,2020-09-18 05:52:11,,2020-10-18 05:52:11,,False,4,qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
17ac98ae-88f7-4677-4584-c839b3a72b1f,6,InFocus,D:\setup64.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":2,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 05:52:52,2020-09-18 05:52:54,00:00:02,2020-09-18 05:52:54,2020-09-18 05:52:54,,2020-10-18 05:52:54,,False,7,qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
43308c05-e902-4041-15fa-f99cc5c753ff,6,InFocus,D:\setup64.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":55,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 05:52:55,2020-09-18 05:54:34,00:01:39,2020-09-18 05:53:35,2020-09-18 05:54:34,,2020-10-18 05:54:34,,False,13,qq2qTpHcROwIiM+TwRAKBBJSXrCk7WmgI8tEAffeS38=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
66a1bc2f-aaef-3002-713a-d002499eb559,5,ExecuteOpen,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,Settings,,"{""displayText"":""Settings"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Settings"",""backgroundColor"":""black""}",,2020-09-18 05:55:09,,,2020-09-18 05:55:09,2020-09-18 05:55:09,,2020-10-18 05:55:09,,False,16,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
5e4ad5a5-0b9a-bcbb-da02-6e6504c6a4f4,6,InFocus,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":64,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 05:55:09,2020-09-18 05:56:13,00:01:04,2020-09-18 05:56:13,2020-09-18 05:56:13,,2020-10-18 05:56:13,,False,17,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
21c49636-64eb-31ab-507e-998dc7f868f5,6,InFocus,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":16,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 04:58:03,2020-09-18 04:58:11,00:00:08,2020-09-18 05:56:48,2020-09-18 04:58:11,,2020-10-18 04:58:11,,False,30,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
9cde4cdf-960e-ca94-67c1-b3f5f685d49f,5,ExecuteOpen,Microsoft.Windows.ControlPanel,Control Panel,,"{""displayText"":""Control Panel"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Control Panel"",""backgroundColor"":""black""}",,2020-09-18 05:56:48,,,2020-09-18 05:56:48,2020-09-18 05:56:48,,2020-10-18 05:56:48,,False,23,s5J9KjwRN4q3U1vhdQwq1yZc5axNy/E5Wx0tcIX3RMU=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
2244b3cf-f3d5-daa4-ec57-9baf2b0d6cc3,6,InFocus,Microsoft.Windows.ControlPanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":72,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 05:56:48,2020-09-18 05:58:00,00:01:12,2020-09-18 05:58:00,2020-09-18 05:58:00,,2020-10-18 05:58:00,,False,24,s5J9KjwRN4q3U1vhdQwq1yZc5axNy/E5Wx0tcIX3RMU=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
40aa1cd0-a254-db3c-7158-f5700fd659e1,6,InFocus,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":11,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 21:40:54,2020-09-18 21:41:05,00:00:11,2020-09-18 21:41:05,2020-09-18 21:41:05,,2020-10-18 21:41:05,,False,33,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
dc096c29-dbfd-b5c6-a1e3-816bbcb3b6bc,6,InFocus,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":63,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 21:41:11,2020-09-18 21:42:27,00:01:16,2020-09-18 21:41:13,2020-09-18 21:42:27,,2020-10-18 21:42:27,,False,49,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
d1af2db5-66c7-a234-e38f-30dfc4a0e988,5,ExecuteOpen,Microsoft.Windows.Explorer,File Explorer,,"{""displayText"":""File Explorer"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""File Explorer"",""backgroundColor"":""black""}",,2020-09-18 21:41:19,,,2020-09-18 21:41:19,2020-09-18 21:41:19,,2020-10-18 21:41:19,,False,42,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
9d141593-d703-632d-9a0b-b26b562d1aa4,6,InFocus,Microsoft.Windows.Explorer,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":3,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 21:41:19,2020-09-18 21:41:22,00:00:03,2020-09-18 21:41:22,2020-09-18 21:41:22,,2020-10-18 21:41:22,,False,43,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
c990a5df-0c1c-d04c-4659-5ae3b8860c09,6,InFocus,Microsoft.Windows.ControlPanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":8,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 21:41:22,2020-09-18 21:41:30,00:00:08,2020-09-18 21:41:30,2020-09-18 21:41:30,,2020-10-18 21:41:30,,False,46,s5J9KjwRN4q3U1vhdQwq1yZc5axNy/E5Wx0tcIX3RMU=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
5b3727d5-7ec7-6dce-bdcd-1873017bff35,5,ExecuteOpen,System32\cmd.exe,Command Prompt,,"{""displayText"":""Command Prompt"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Command Prompt"",""backgroundColor"":""black""}",,2020-09-19 01:07:56,,,2020-09-19 01:07:56,2020-09-19 01:07:56,,2020-10-19 01:07:56,,False,52,mXE9mLzm2HxZZ/KmhKgOw6A9W6psHKjojdDYlTOFvxo=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
7784b275-8754-e60b-5b84-b96c8ebff350,6,InFocus,System32\cmd.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":6,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2020-09-19 01:08:20,2020-09-19 01:08:26,00:00:06,2020-09-19 01:08:26,2020-09-19 01:08:26,,2020-10-19 01:08:26,,False,53,mXE9mLzm2HxZZ/KmhKgOw6A9W6psHKjojdDYlTOFvxo=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
f984aba7-30c4-4042-08d3-90c7fe84e28e,5,ExecuteOpen,System32\wscript.exe,wscript.exe,,"{""displayText"":""wscript.exe"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""wscript.exe"",""backgroundColor"":""black""}",,2020-09-19 01:08:26,,,2020-09-19 01:08:26,2020-09-19 01:08:26,,2020-10-19 01:08:26,,False,56,c/1zLulgDnTmQeIOGX4vJrNmfQYPBsftl0k3JTsKEPs=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
bad6974f-e941-032b-f75e-c359617090a5,6,InFocus,System32\wscript.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":3,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-19 01:08:26,2020-09-19 01:08:29,00:00:03,2020-09-19 01:08:29,2020-09-19 01:08:29,,2020-10-19 01:08:29,,False,57,c/1zLulgDnTmQeIOGX4vJrNmfQYPBsftl0k3JTsKEPs=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
7459300d-b048-5dc3-1c18-f38729585790,6,InFocus,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":14,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-19 03:16:18,2020-09-19 03:16:33,00:00:15,2020-09-19 03:16:33,2020-09-19 03:16:33,,2020-10-19 03:16:33,,False,60,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
