Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedOnClient,OriginalLastModifiedOnClient,ExpirationTime,CreatedInCloud,IsLocalOnly,ETag,PackageIdHash,PlatformDeviceId,DevicePlatform,TimeZone
ea6b0552-9705-31d1-c9fe-68d005ffc701,11,11,Microsoft.Default.Input,,,(Binary data),,2020-09-19 03:36:32,,,2020-09-19 03:36:32,2020-09-19 03:36:32,,2027-09-18 03:36:32,,False,1,Wvq833opDQ2lQ5RM1kH1zXlbcg1ww7CldmoElcLFyUc=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
d159e336-a0b6-9ff6-0459-5aeaf5cb020b,11,11,microsoft.default.default,,,(Binary data),,2020-09-19 03:36:33,,,2020-09-19 03:36:33,2020-09-19 03:36:33,,2027-09-18 03:36:33,,True,2,ZZzI03ZhPBD1Dfj2GvrCeHMuMjZ9FnVlYIDK+kZzTu0=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
18f61464-33da-a5a2-a1b7-c755f24fab1d,5,ExecuteOpen,Microsoft.Windows.Explorer,File Explorer,,"{""displayText"":""File Explorer"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""File Explorer"",""backgroundColor"":""black""}",,2020-09-19 03:38:42,,,2020-09-19 03:38:42,2020-09-19 03:38:42,,2020-10-19 03:38:42,,False,3,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
f54657ca-368a-2ce3-f1c0-0197af23bc82,6,InFocus,Microsoft.Windows.Explorer,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":404,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-19 03:38:42,2020-09-19 03:51:53,00:13:11,2020-09-19 03:39:00,2020-09-19 03:51:53,,2020-10-19 03:51:53,,False,94,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
fae10b1a-3438-5214-f6aa-072113d061c4,5,ExecuteOpen,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,Download New Microsoft Edge Browser | Microsoft (Microsoft Edge),https://www.microsoft.com/en-us/edge?form=MA13DO&OCID=MA13DO (https://www.microsoft.com/en-us/edge?form=MA13DO&OCID=MA13DO),"{""displayText"":""Download New Microsoft Edge Browser | Microsoft"",""activationUri"":""microsoft-edge:https://www.microsoft.com/en-us/edge?form=MA13DO&OCID=MA13DO"",""appDisplayName"":""Microsoft Edge"",""description"":""https://www.microsoft.com/en-us/edge?form=MA13DO&OCID=MA13DO"",""backgroundColor"":""#FF0078D7"",""adaptiveContent"":{""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""type"":""AdaptiveCard"",""version"":""1.0"",""backgroundImage"":""https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE4ncJa?ver=adbf"",""body"":[{""type"":""Container"",""items"":[{""type"":""TextBlock"",""text"":""Download New Microsoft Edge Browser | Microsoft"",""weight"":""bolder"",""size"":""large"",""wrap"":true,""maxLines"":3}]}]},""contentUri"":""https://www.microsoft.com/en-us/edge?form=MA13DO&OCID=MA13DO"",""attribution"":{""iconUri"":""https://www.microsoft.com/favicon.ico"",""alternateText"":""microsoft.com""},""attributionDisplayText"":""microsoft.com""}",,2020-09-19 03:39:09,,,2020-09-19 03:39:10,2020-09-19 03:39:10,,2020-10-19 03:39:10,,False,8,u/3w0FX2KJ+WP7GPAVoBtwpDkL/07j99Aomf+tLN9wA=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
7e894e2b-70c9-6980-9fec-0e630f491318,6,InFocus,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":2,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-19 03:39:10,2020-09-19 03:39:12,00:00:02,2020-09-19 03:39:10,2020-09-19 03:39:14,,2020-10-19 03:39:14,,False,12,u/3w0FX2KJ+WP7GPAVoBtwpDkL/07j99Aomf+tLN9wA=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
a8c28028-d870-dc53-61ac-d6ffaaf958c7,5,ExecuteOpen,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,Directory listing for / (Microsoft Edge),http://194.61.24.102/ (http://194.61.24.102/),"{""displayText"":""Directory listing for /"",""activationUri"":""microsoft-edge:http://194.61.24.102/"",""appDisplayName"":""Microsoft Edge"",""description"":""http://194.61.24.102/"",""backgroundColor"":""#FF0078D7"",""adaptiveContent"":{""$schema"":""http://adaptivecards.io/schemas/adaptive-card.json"",""type"":""AdaptiveCard"",""version"":""1.0"",""body"":[{""type"":""Container"",""items"":[{""type"":""TextBlock"",""text"":""Directory listing for /"",""weight"":""bolder"",""size"":""large"",""wrap"":true,""maxLines"":3},{""type"":""TextBlock"",""text"":""http://194.61.24.102/"",""size"":""normal"",""wrap"":true,""maxLines"":3}]}]},""contentUri"":""http://194.61.24.102/"",""attributionDisplayText"":""194.61.24.102""}",,2020-09-19 03:39:29,,,2020-09-19 03:39:29,2020-09-19 03:39:29,,2020-10-19 03:39:29,,False,15,u/3w0FX2KJ+WP7GPAVoBtwpDkL/07j99Aomf+tLN9wA=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
210b83d2-d2b6-35a8-98ab-6969ca0d4c96,6,InFocus,Microsoft.MicrosoftEdge_8wekyb3d8bbwe!MicrosoftEdge,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":16,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-19 03:39:29,2020-09-19 03:44:52,00:05:23,2020-09-19 03:39:29,2020-09-19 03:44:52,,2020-10-19 03:44:52,,False,47,u/3w0FX2KJ+WP7GPAVoBtwpDkL/07j99Aomf+tLN9wA=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
e400b21d-9b34-42e2-76be-ccceb42acd97,5,ExecuteOpen,Microsoft.Windows.SecHealthUI_cw5n1h2txyewy!SecHealthUI,Windows Security,,"{""displayText"":""Windows Security"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Windows Security"",""backgroundColor"":""black""}",,2020-09-19 03:39:38,,,2020-09-19 03:39:38,2020-09-19 03:39:38,,2020-10-19 03:39:38,,False,22,6+MiWXoQOn5QBe7p/PiZHef1eKp/MdLnduKFO3pSHYA=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
0d4ba27d-56a7-e2e0-1a0f-2e448eb308e4,6,InFocus,Microsoft.Windows.SecHealthUI_cw5n1h2txyewy!SecHealthUI,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":16,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2020-09-19 03:39:38,2020-09-19 03:39:54,00:00:16,2020-09-19 03:39:54,2020-09-19 03:39:54,,2020-10-19 03:39:54,,False,23,6+MiWXoQOn5QBe7p/PiZHef1eKp/MdLnduKFO3pSHYA=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
