Id,Platform,Name,AdditionalInformation,Expires
a9be28b1-9e8f-fbd9-20c3-87cbef6b92ea,data_boundary,microsoft.default.input,,2027-09-17 22:46:46
a9be28b1-9e8f-fbd9-20c3-87cbef6b92ea,host,,,2027-09-17 22:46:46
823845c6-6f90-53cf-f117-014a491d1d1d,data_boundary,microsoft.default.default,,2027-09-17 22:46:48
823845c6-6f90-53cf-f117-014a491d1d1d,host,,,2027-09-17 22:46:48
266d442b-48f2-87de-cb7a-70a79784d8a1,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2020-10-18 22:47:08
266d442b-48f2-87de-cb7a-70a79784d8a1,host,,,2020-10-18 22:47:08
43651787-3519-8889-9ee0-7bba4af85057,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2020-10-18 22:47:10
43651787-3519-8889-9ee0-7bba4af85057,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2020-10-18 22:47:10
43651787-3519-8889-9ee0-7bba4af85057,host,,,2020-10-18 22:47:10
8fde7ecd-9ae6-7dd3-90b0-610d121a0b6f,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:47:38
8fde7ecd-9ae6-7dd3-90b0-610d121a0b6f,Win32,{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\notepad.exe,System32 x86\notepad.exe,2020-10-18 22:47:38
8fde7ecd-9ae6-7dd3-90b0-610d121a0b6f,host,,,2020-10-18 22:47:38
4315e363-85a5-9452-8bde-3e1424783efe,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:47:38
4315e363-85a5-9452-8bde-3e1424783efe,Win32,{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\notepad.exe,System32 x86\notepad.exe,2020-10-18 22:47:38
4315e363-85a5-9452-8bde-3e1424783efe,host,,,2020-10-18 22:47:38
c999aac1-f655-d751-0657-e437d2836c06,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:47:44
c999aac1-f655-d751-0657-e437d2836c06,Win32,{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\notepad.exe,System32 x86\notepad.exe,2020-10-18 22:47:44
c999aac1-f655-d751-0657-e437d2836c06,packageid,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:47:44
c999aac1-f655-d751-0657-e437d2836c06,host,,,2020-10-18 22:47:44
e11007fa-cfc5-f271-8e6e-267dcafe83a8,Win32,microsoft.windows.explorer,,2020-10-18 22:47:46
e11007fa-cfc5-f271-8e6e-267dcafe83a8,host,,,2020-10-18 22:47:46
1de5d39d-ec6b-dc59-37f5-9c67ab007bc2,Win32,microsoft.windows.explorer,,2020-10-18 22:52:06
1de5d39d-ec6b-dc59-37f5-9c67ab007bc2,packageid,microsoft.windows.explorer,,2020-10-18 22:52:06
1de5d39d-ec6b-dc59-37f5-9c67ab007bc2,host,,,2020-10-18 22:52:06
4c442970-0ad0-c760-92d1-713f47a929ad,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:48:08
4c442970-0ad0-c760-92d1-713f47a929ad,Win32,{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\notepad.exe,System32 x86\notepad.exe,2020-10-18 22:48:08
4c442970-0ad0-c760-92d1-713f47a929ad,host,,,2020-10-18 22:48:08
53374317-3a2b-5530-0bf4-ced2346ab107,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:50:06
53374317-3a2b-5530-0bf4-ced2346ab107,Win32,{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\notepad.exe,System32 x86\notepad.exe,2020-10-18 22:50:06
53374317-3a2b-5530-0bf4-ced2346ab107,packageid,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:50:06
53374317-3a2b-5530-0bf4-ced2346ab107,host,,,2020-10-18 22:50:06
bf58549b-0aab-28e6-58b9-4355b81d1609,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:50:37
bf58549b-0aab-28e6-58b9-4355b81d1609,Win32,{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\notepad.exe,System32 x86\notepad.exe,2020-10-18 22:50:37
bf58549b-0aab-28e6-58b9-4355b81d1609,host,,,2020-10-18 22:50:37
8474e585-1d2a-0fd7-046d-2b0f226462c4,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:52:02
8474e585-1d2a-0fd7-046d-2b0f226462c4,Win32,{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\notepad.exe,System32 x86\notepad.exe,2020-10-18 22:52:02
8474e585-1d2a-0fd7-046d-2b0f226462c4,packageid,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\notepad.exe,System32\notepad.exe,2020-10-18 22:52:02
8474e585-1d2a-0fd7-046d-2b0f226462c4,host,,,2020-10-18 22:52:02
dec8769a-b65c-e62e-89c0-a6faef1f338c,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2020-10-18 22:51:45
dec8769a-b65c-e62e-89c0-a6faef1f338c,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2020-10-18 22:51:45
dec8769a-b65c-e62e-89c0-a6faef1f338c,host,,,2020-10-18 22:51:45
8fb007ce-64bd-f60c-ecea-bc6787b81174,Win32,microsoft.windows.explorer,,2020-10-18 22:52:25
8fb007ce-64bd-f60c-ecea-bc6787b81174,packageid,microsoft.windows.explorer,,2020-10-18 22:52:25
8fb007ce-64bd-f60c-ecea-bc6787b81174,host,,,2020-10-18 22:52:25
ac965c90-0819-5b97-a22d-116c5160551b,Win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,System32\cmd.exe,2020-10-18 23:00:23
