Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedOnClient,OriginalLastModifiedOnClient,ExpirationTime,CreatedInCloud,IsLocalOnly,ETag,PackageIdHash,PlatformDeviceId,DevicePlatform,TimeZone
fbbb6a1d-7229-d17a-b005-9c759281631a,11,11,microsoft.default.default,,,(Binary data),,2020-09-18 22:44:26,,,2020-09-18 22:44:26,2020-09-18 22:44:26,,2027-09-17 22:44:26,,True,1,ZZzI03ZhPBD1Dfj2GvrCeHMuMjZ9FnVlYIDK+kZzTu0=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
b28094ab-c8ba-d814-2a70-fbfe33a93da4,11,11,Microsoft.Default.Input,,,(Binary data),,2020-09-18 22:44:26,,,2020-09-18 22:44:26,2020-09-18 22:44:26,,2027-09-17 22:44:26,,False,2,Wvq833opDQ2lQ5RM1kH1zXlbcg1ww7CldmoElcLFyUc=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
b2632936-3d04-234c-7849-14c266f051be,5,ExecuteOpen,Microsoft.Windows.Explorer,File Explorer,,"{""displayText"":""File Explorer"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""File Explorer"",""backgroundColor"":""black""}",,2020-09-18 22:44:55,,,2020-09-18 22:44:55,2020-09-18 22:44:55,,2020-10-18 22:44:55,,False,3,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
7094ba48-8b95-3ce2-5091-8cac1fee21d9,6,InFocus,Microsoft.Windows.Explorer,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":15,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 22:44:55,2020-09-18 22:45:46,00:00:51,2020-09-18 22:44:59,2020-09-18 22:45:46,,2020-10-18 22:45:46,,False,13,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
35d7a641-422b-444c-7581-19b5e1471374,6,InFocus,Microsoft.Windows.Explorer,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":28,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 22:44:59,2020-09-18 22:45:27,00:00:28,2020-09-18 22:45:27,2020-09-18 22:45:27,,2020-10-18 22:45:27,,False,7,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
9edf0a2e-68d6-e93e-2922-b0762bdfb348,6,InFocus,Microsoft.Windows.Explorer,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":8,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 22:45:27,2020-09-18 22:45:35,00:00:08,2020-09-18 22:45:35,2020-09-18 22:45:35,,2020-10-18 22:45:35,,False,10,MRa59sYbwGAAeZAEU7GTDEKxfmoX3dxP0PnmQDGng5o=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
3e990239-4acc-da82-db2b-a5c6ca112888,5,ExecuteOpen,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,Settings,,"{""displayText"":""Settings"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Settings"",""backgroundColor"":""black""}",,2020-09-18 22:52:59,,,2020-09-18 22:52:59,2020-09-18 22:52:59,,2020-10-18 22:52:59,,False,16,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
fe851f5b-9a06-70c1-c510-297e45ac669c,6,InFocus,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":184,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-18 22:52:59,2020-09-18 22:56:03,00:03:04,2020-09-18 22:53:05,2020-09-18 22:56:03,,2020-10-18 22:56:03,,False,24,kSeSJDyDucRjb/Mg0+JTxAd+m+MUruhwxnGpp7ptRws=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
b9370fdb-2819-421d-0833-465e0ada3bc5,5,ExecuteOpen,System32\cmd.exe,Command Prompt,,"{""displayText"":""Command Prompt"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Command Prompt"",""backgroundColor"":""black""}",,2020-09-18 22:53:11,,,2020-09-18 22:53:11,2020-09-18 22:53:11,,2020-10-18 22:53:11,,False,23,mXE9mLzm2HxZZ/KmhKgOw6A9W6psHKjojdDYlTOFvxo=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,
21119b72-da5c-9869-1449-dc2ca22efed0,6,InFocus,System32\cmd.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":3,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2020-09-19 05:08:37,2020-09-19 05:08:40,00:00:03,2020-09-19 05:08:40,2020-09-19 05:08:40,,2020-10-19 05:08:40,,False,27,mXE9mLzm2HxZZ/KmhKgOw6A9W6psHKjojdDYlTOFvxo=,LIkk2otrs7BZWZ+ZxL1APmH64riO/pvCrmHG/OHWnUg=,,America/Los_Angeles
