Id,Platform,Name,AdditionalInformation,Expires
fbbb6a1d-7229-d17a-b005-9c759281631a,data_boundary,microsoft.default.default,,2027-09-17 22:44:26
fbbb6a1d-7229-d17a-b005-9c759281631a,host,,,2027-09-17 22:44:26
b28094ab-c8ba-d814-2a70-fbfe33a93da4,data_boundary,microsoft.default.input,,2027-09-17 22:44:26
b28094ab-c8ba-d814-2a70-fbfe33a93da4,host,,,2027-09-17 22:44:26
b2632936-3d04-234c-7849-14c266f051be,Win32,microsoft.windows.explorer,,2020-10-18 22:44:55
b2632936-3d04-234c-7849-14c266f051be,host,,,2020-10-18 22:44:55
7094ba48-8b95-3ce2-5091-8cac1fee21d9,Win32,microsoft.windows.explorer,,2020-10-18 22:45:46
7094ba48-8b95-3ce2-5091-8cac1fee21d9,packageid,microsoft.windows.explorer,,2020-10-18 22:45:46
7094ba48-8b95-3ce2-5091-8cac1fee21d9,host,,,2020-10-18 22:45:46
35d7a641-422b-444c-7581-19b5e1471374,Win32,microsoft.windows.explorer,,2020-10-18 22:45:27
35d7a641-422b-444c-7581-19b5e1471374,packageid,microsoft.windows.explorer,,2020-10-18 22:45:27
35d7a641-422b-444c-7581-19b5e1471374,host,,,2020-10-18 22:45:27
9edf0a2e-68d6-e93e-2922-b0762bdfb348,Win32,microsoft.windows.explorer,,2020-10-18 22:45:35
9edf0a2e-68d6-e93e-2922-b0762bdfb348,packageid,microsoft.windows.explorer,,2020-10-18 22:45:35
9edf0a2e-68d6-e93e-2922-b0762bdfb348,host,,,2020-10-18 22:45:35
3e990239-4acc-da82-db2b-a5c6ca112888,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2020-10-18 22:52:59
3e990239-4acc-da82-db2b-a5c6ca112888,host,,,2020-10-18 22:52:59
fe851f5b-9a06-70c1-c510-297e45ac669c,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,,2020-10-18 22:56:03
fe851f5b-9a06-70c1-c510-297e45ac669c,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,,2020-10-18 22:56:03
fe851f5b-9a06-70c1-c510-297e45ac669c,host,,,2020-10-18 22:56:03
