SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-09-18 05:49:55.5034338,2020-09-18 05:49:55.5654425,2022-02-21 14:56:10.7864502,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,6,0,1,2020-09-18 05:46:19.5026824,2020-09-18 05:49:55.5344368,desktop-sdn1rpt,00:0c:29:14:c2:95,knownfolder:{754AC886-DF64-4CBA-86B5-F7FBF4FBCEF5} ==> ThisPCDesktopFolder,3,True,46a4fb88-f972-11ea-95ea-000c2914c295,46a4fb88-f972-11ea-95ea-000c2914c295,51c576be-87d2-4f7d-8ce8-d5db07d72495,51c576be-87d2-4f7d-8ce8-d5db07d72495,2020-09-18 05:49:08.9167440,2020-09-18 05:49:47.6744013,2020-09-18 05:49:49.8463391,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\Admin\Desktop,,My Computer\Desktop,,,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-18 05:46:19.5026824,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-09-18 05:49:55.5034338,2020-09-18 05:49:55.5654425,2022-02-21 14:56:10.7864502,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,6,1,2,2020-09-18 05:46:19.5026825,2020-09-18 05:49:55.5344368,desktop-sdn1rpt,00:0c:29:14:c2:95,knownfolder:{374DE290-123F-4565-9164-39C4925E467B} ==> Downloads,3,True,46a4fb89-f972-11ea-95ea-000c2914c295,46a4fb89-f972-11ea-95ea-000c2914c295,51c576be-87d2-4f7d-8ce8-d5db07d72495,51c576be-87d2-4f7d-8ce8-d5db07d72495,2020-09-18 05:49:08.9167440,2020-09-18 05:49:47.9088244,2020-09-18 05:49:47.9088244,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\Admin\Downloads,,My Computer\Downloads,,,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-18 05:46:19.5026825,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-09-18 05:49:55.5034338,2020-09-18 05:49:55.5654425,2022-02-21 14:56:10.7864502,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,6,2,6,2020-09-18 05:46:19.5026819,2020-09-18 05:49:55.4561094,desktop-sdn1rpt,00:0c:29:14:c2:95,knownfolder:{18989B1D-99B5-455B-841C-AB7C74E4DDFC} ==> Videos,3,False,46a4fb83-f972-11ea-95ea-000c2914c295,46a4fb83-f972-11ea-95ea-000c2914c295,51c576be-87d2-4f7d-8ce8-d5db07d72495,51c576be-87d2-4f7d-8ce8-d5db07d72495,2020-09-18 05:49:08.8913795,2020-09-18 05:49:47.7213003,2020-09-18 05:49:47.7213003,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\Admin\Videos,,My Computer\Videos,,,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-18 05:46:19.5026819,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-09-18 05:49:55.5034338,2020-09-18 05:49:55.5654425,2022-02-21 14:56:10.7864502,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,6,3,5,2020-09-18 05:46:19.5026823,2020-09-18 05:49:55.4561094,desktop-sdn1rpt,00:0c:29:14:c2:95,knownfolder:{4BD8D571-6D19-48D3-BE97-422220080E43} ==> Music,3,False,46a4fb87-f972-11ea-95ea-000c2914c295,46a4fb87-f972-11ea-95ea-000c2914c295,51c576be-87d2-4f7d-8ce8-d5db07d72495,51c576be-87d2-4f7d-8ce8-d5db07d72495,2020-09-18 05:49:08.9073994,2020-09-18 05:49:47.9088244,2020-09-18 05:49:48.0494206,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\Admin\Music,,My Computer\Music,,,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-18 05:46:19.5026823,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-09-18 05:49:55.5034338,2020-09-18 05:49:55.5654425,2022-02-21 14:56:10.7864502,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,6,4,4,2020-09-18 05:46:19.5026822,2020-09-18 05:49:55.4561094,desktop-sdn1rpt,00:0c:29:14:c2:95,knownfolder:{33E28130-4E1E-4676-835A-98395C3BC3BB} ==> Pictures,3,True,46a4fb86-f972-11ea-95ea-000c2914c295,46a4fb86-f972-11ea-95ea-000c2914c295,51c576be-87d2-4f7d-8ce8-d5db07d72495,51c576be-87d2-4f7d-8ce8-d5db07d72495,2020-09-18 05:49:08.9073994,2020-09-18 05:49:47.7058775,2020-09-18 05:49:47.9556722,0,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\Admin\Pictures,,My Computer\Pictures,,,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-18 05:46:19.5026822,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms,2020-09-18 05:49:55.5034338,2020-09-18 05:49:55.5654425,2022-02-21 14:56:10.7864502,f01b4d95cf55d32a,Windows Explorer Windows 8.1,4,6,5,3,2020-09-18 05:46:19.5026821,2020-09-18 05:49:55.4561094,desktop-sdn1rpt,00:0c:29:14:c2:95,knownfolder:{FDD39AD0-238F-46AF-ADB4-6C85480369C7} ==> Documents,3,True,46a4fb85-f972-11ea-95ea-000c2914c295,46a4fb85-f972-11ea-95ea-000c2914c295,51c576be-87d2-4f7d-8ce8-d5db07d72495,51c576be-87d2-4f7d-8ce8-d5db07d72495,2020-09-18 05:49:08.9167440,2020-09-18 05:49:48.0183814,2020-09-18 05:49:48.0183814,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\Admin\Documents,,My Computer\Documents,,,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-18 05:46:19.5026821,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f18460fded109990.automaticDestinations-ms,2020-09-18 05:56:32.1427027,2020-09-18 21:41:14.4774572,2022-02-21 14:56:10.8502343,f18460fded109990,Windows Connected Devices,4,1,0,1,,2020-09-18 21:41:14.4774572,,,ms-settings:network,2,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Internet Explorer (Homepage)\ms-settings:network,,,,,,PropertyStoreDataBlock,,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2020-09-19 03:36:43.0206561,2020-09-19 03:47:39.7852287,2022-02-21 14:56:10.8631915,5f7b5f1e01b83767,Quick Access,4,5,0,5,2020-09-18 21:42:35.5000709,2020-09-19 03:47:39.7852287,desktop-sdn1rpt,00:0c:29:14:c2:95,C:\Users\mortysmith\Desktop\Thoughts.txt,1,False,dd676585-f9f7-11ea-95ec-000c2914c295,dd676585-f9f7-11ea-95ec-000c2914c295,51c576be-87d2-4f7d-8ce8-d5db07d72495,51c576be-87d2-4f7d-8ce8-d5db07d72495,2020-09-18 22:47:17.2682626,2020-09-18 22:47:43.0026718,2020-09-18 22:52:19.2061670,7,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Desktop\Thoughts.txt,,My Computer\C:\Users\mortysmith\Desktop\Thoughts.txt,0x16443,0x1,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-18 21:42:35.5000709,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2020-09-19 03:36:43.0206561,2020-09-19 03:47:39.7852287,2022-02-21 14:56:10.8631915,5f7b5f1e01b83767,Quick Access,4,5,1,4,2020-09-19 01:24:04.5001568,2020-09-19 03:46:18.1295130,desktop-sdn1rpt,00:0c:29:14:c2:95,C:\Users\mortysmith\Documents\loot.zip,1,False,ce43e360-fa16-11ea-95ef-000c2914c295,ce43e360-fa16-11ea-95ef-000c2914c295,51c576be-87d2-4f7d-8ce8-d5db07d72495,51c576be-87d2-4f7d-8ce8-d5db07d72495,2020-09-19 03:46:15.2696259,2020-09-19 03:46:15.2696259,2020-09-19 03:46:15.2696259,131041,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Documents\loot.zip,,My Computer\C:\Users\mortysmith\Documents\loot.zip,0x155AE,0x2,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-19 01:24:04.5001568,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms,2020-09-19 03:36:43.0206561,2020-09-19 03:47:39.7852287,2022-02-21 14:56:10.8631915,5f7b5f1e01b83767,Quick Access,4,5,2,3,2020-09-18 22:59:32.5000636,2020-09-19 03:45:54.3478133,desktop-sdn1rpt,00:0c:29:14:c2:95,C:\Users\mortysmith\Documents\Portal_gun.png,1,False,9d59afbc-fa02-11ea-95ed-000c2914c295,9d59afbc-fa02-11ea-95ed-000c2914c295,51c576be-87d2-4f7d-8ce8-d5db07d72495,51c576be-87d2-4f7d-8ce8-d5db07d72495,2020-09-18 23:07:44.0222520,2020-09-18 23:07:44.2509899,2020-09-19 03:45:53.9572812,130678,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Documents\Portal_gun.png,,My Computer\C:\Users\mortysmith\Documents\Portal_gun.png,0x17846,0x2,desktop-sdn1rpt,00:0c:29:14:c2:95,2020-09-18 22:59:32.5000636,"TrackerDataBaseBlock, PropertyStoreDataBlock",,
