SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\Desktop\Microsoft Edge.lnk,2020-09-18 05:51:20,2020-09-18 05:51:20,2022-02-21 14:56:11,,,,0,,,0,"HasTargetIdList, IsUnicode, EnableTargetMetadata",(None),,,,,,,Applications\Microsoft Edge,,,,,,,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\Desktop\Microsoft Edge.lnk,2020-09-19 03:36:40,2020-09-19 03:36:40,2022-02-21 14:56:11,,,,0,,,0,"HasTargetIdList, IsUnicode, EnableTargetMetadata",(None),,,,,,,Applications\Microsoft Edge,,,,,,,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\mortysmith\Desktop\Microsoft Edge.lnk,2020-09-18 22:47:02,2020-09-18 22:47:02,2022-02-21 14:56:11,,,,0,,,0,"HasTargetIdList, IsUnicode, EnableTargetMetadata",(None),,,,,,,Applications\Microsoft Edge,,,,,,,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\Desktop\Microsoft Edge.lnk,2020-09-18 22:44:35,2020-09-18 22:44:35,2022-02-21 14:56:11,,,,0,,,0,"HasTargetIdList, IsUnicode, EnableTargetMetadata",(None),,,,,,,Applications\Microsoft Edge,,,,,,,
D:\dfirmadness\DESKTOP-E01\tout\H\ProgramData\Microsoft\Windows\Start Menu\Programs\Immersive Control Panel.lnk,2019-12-07 09:10:31,2019-12-07 09:10:31,2022-02-21 14:56:11,,,,0,,%HOMEDRIVE%%HOMEPATH%,0,"HasName, HasWorkingDir, HasIconLocation, IsUnicode, ForceNoLinkInfo, HasExpString, PreferEnvironmentPath",(None),,,,,,,,,,,,,,"PropertyStoreDataBlock, EnvironmentVariableDataBlock"
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Shows Desktop.lnk,2020-09-18 05:49:08,2019-12-07 09:08:13,2022-02-21 14:56:11,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Show Desktop,,,,,,,PropertyStoreDataBlock
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Internet Explorer\Quick Launch\Window Switcher.lnk,2020-09-18 05:49:08,2019-12-07 09:08:13,2022-02-21 14:56:11,,,,0,,,0,"HasTargetIdList, HasName, HasIconLocation, IsUnicode, ForceNoLinkInfo",(None),,,,,,,Window Switcher,,,,,,,PropertyStoreDataBlock
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Windows\Recent\ms-settingsnetwork.lnk,2020-09-18 05:56:32,2020-09-18 21:41:14,2022-02-21 14:56:11,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage)\ms-settings:network,,,,,,,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Admin\AppData\Roaming\Microsoft\Windows\Recent\The Internet.lnk,2020-09-18 05:56:32,2020-09-18 05:56:32,2022-02-21 14:56:11,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,Internet Explorer (Homepage),,,,,,,
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Desktop.lnk,2020-09-19 03:47:39,2020-09-19 03:47:39,2022-02-21 14:56:11,2020-09-18 22:46:39,2020-09-18 22:47:34,2020-09-19 03:47:39,0,..\..\..\..\..\..\mortysmith\Desktop,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Desktop,,,,My Computer\C:\Users\mortysmith\Desktop,0x15AF9,0x2,desktop-sdn1rpt,00:0c:29:14:c2:95,VMWARE,2020-09-18 21:42:35,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Documents.lnk,2020-09-19 03:45:34,2020-09-19 03:45:54,2022-02-21 14:56:11,2020-09-18 22:46:39,2020-09-18 23:07:44,2020-09-19 03:45:54,4096,..\..\..\..\..\..\mortysmith\Documents,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Documents,,,,My Computer\C:\Users\mortysmith\Documents,0x15AF8,0x2,desktop-sdn1rpt,00:0c:29:14:c2:95,VMWARE,2020-09-18 21:42:35,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\loot.lnk,2020-09-19 03:46:18,2020-09-19 03:46:18,2022-02-21 14:56:11,2020-09-19 03:46:15,2020-09-19 03:46:15,2020-09-19 03:46:15,131041,..\..\..\..\..\..\mortysmith\Documents\loot.zip,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Documents\loot.zip,,,,My Computer\C:\Users\mortysmith\Documents\loot.zip,0x155AE,0x2,desktop-sdn1rpt,00:0c:29:14:c2:95,VMWARE,2020-09-19 01:24:04,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\My Social Security Number.lnk,2020-09-19 03:45:34,2020-09-19 03:45:34,2022-02-21 14:56:11,2020-09-18 22:50:19,2020-09-18 22:52:01,2020-09-19 03:45:34,22,..\..\..\..\..\..\mortysmith\Documents\My Social Security Number.txt,C:\Users\mortysmith\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Documents\My Social Security Number.txt,,,,My Computer\C:\Users\mortysmith\Documents\My Social Security Number.txt,0x16407,0x3,desktop-sdn1rpt,00:0c:29:14:c2:95,VMWARE,2020-09-18 21:42:35,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Plans.lnk,2020-09-19 03:45:39,2020-09-19 03:45:39,2022-02-21 14:56:11,2020-09-18 22:47:57,2020-09-18 22:50:04,2020-09-18 22:52:19,141,..\..\..\..\..\..\mortysmith\Documents\Plans.txt,C:\Users\mortysmith\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Documents\Plans.txt,,,,My Computer\C:\Users\mortysmith\Documents\Plans.txt,0x16472,0x2,desktop-sdn1rpt,00:0c:29:14:c2:95,VMWARE,2020-09-18 21:42:35,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Portal_gun.lnk,2020-09-19 03:45:54,2020-09-19 03:45:54,2022-02-21 14:56:11,2020-09-18 23:07:44,2020-09-18 23:07:44,2020-09-19 03:45:53,130678,..\..\..\..\..\..\mortysmith\Documents\Portal_gun.png,C:\Users\mortysmith\Documents,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Documents\Portal_gun.png,,,,My Computer\C:\Users\mortysmith\Documents\Portal_gun.png,0x17846,0x2,desktop-sdn1rpt,00:0c:29:14:c2:95,VMWARE,2020-09-18 22:59:32,"TrackerDataBaseBlock, PropertyStoreDataBlock"
D:\dfirmadness\DESKTOP-E01\tout\H\Users\Administrator\AppData\Roaming\Microsoft\Windows\Recent\Thoughts.lnk,2020-09-19 03:47:39,2020-09-19 03:47:39,2022-02-21 14:56:11,2020-09-18 22:47:17,2020-09-18 22:47:43,2020-09-18 22:52:19,7,..\..\..\..\..\..\mortysmith\Desktop\Thoughts.txt,C:\Users\mortysmith\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),B0E0E8FF,,C:\Users\mortysmith\Desktop\Thoughts.txt,,,,My Computer\C:\Users\mortysmith\Desktop\Thoughts.txt,0x16443,0x1,desktop-sdn1rpt,00:0c:29:14:c2:95,VMWARE,2020-09-18 21:42:35,"TrackerDataBaseBlock, PropertyStoreDataBlock"
