BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU,0,0,1,Desktop\Home Folder,Root folder: GUID,Home Folder,0,,,,2020-09-19 03:51:14,,,0,2020-09-19 03:38:45,,False,
BagMRU,1,0,0,Desktop\My Computer,Root folder: GUID,My Computer,7,,,,2020-09-19 03:51:14,,,0,,2020-09-19 03:51:14,False,
BagMRU\1,0,2,2,Desktop\My Computer\Documents,Root folder: GUID,Documents,0,,,,2020-09-19 03:51:47,,,1,2020-09-19 03:38:45,,True,
BagMRU\1,1,3,1,Desktop\My Computer\Pictures,Root folder: GUID,Pictures,2,,,,2020-09-19 03:51:47,,,1,,,True,
BagMRU\1,2,6,3,Desktop\My Computer\Downloads,Root folder: GUID,Downloads,0,,,,2020-09-19 03:51:47,,,1,2020-09-19 03:38:55,,True,
BagMRU\1,3,7,6,Desktop\My Computer\Desktop,Root folder: GUID,Desktop,0,,,,2020-09-19 03:51:47,,,1,2020-09-19 03:38:57,,True,
BagMRU\1,4,8,0,Desktop\My Computer\Music,Root folder: GUID,Music,0,,,,2020-09-19 03:51:47,,,1,2020-09-19 03:38:58,2020-09-19 03:51:47,True,
BagMRU\1,5,9,5,Desktop\My Computer\Videos,Root folder: GUID,Videos,0,,,,2020-09-19 03:51:47,,,1,2020-09-19 03:38:59,,True,
BagMRU\1,6,12,4,Desktop\My Computer\C:,Drive letter,C:,2,,,,2020-09-19 03:51:47,,,0,,,True,
BagMRU\1\1,0,4,0,Desktop\My Computer\Pictures\Saved Pictures,Directory,Saved Pictures,0,2020-09-19 03:36:48,2020-09-19 03:36:48,2020-09-19 03:36:48,2020-09-19 03:51:46,24439,2,1,2020-09-19 03:38:51,2020-09-19 03:51:46,False,NTFS file system
BagMRU\1\1,1,5,1,Desktop\My Computer\Pictures\Camera Roll,Directory,Camera Roll,0,2020-09-19 03:36:48,2020-09-19 03:36:48,2020-09-19 03:36:48,2020-09-19 03:51:46,24343,2,1,2020-09-19 03:38:53,,False,NTFS file system
