ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Microsoft.WindowsCamera,0000041ce3ebb98d8d6fe2ef3dfc806b03f300000904,2020-09-19 01:32:10.9377183,f04138c6a955d0f8af44f2920ef2775272822d7e,False,c:\program files\windowsapps\microsoft.windowscamera_2018.826.98.0_x64__8wekyb3d8bbwe\windowscamera.exe,WindowsCamera.exe,.exe,2019-08-07 22:40:08.0000000,windows camera,15872,2018.826.90.0,2018.826.90.0,windowscamera.ex|1a814cf56e27d56,pe64_amd64,True,2018.826.90.0,2018.826.90.0,2499848,0,
Microsoft.VP9VideoExtensions,00000750bcbee2d70da1430d6b9b63172f2100000904,2020-09-19 01:32:09.7518282,906b67339d15be5f776014f1d5bd7a35eca6e4ec,False,c:\program files\windowsapps\microsoft.vp9videoextensions_1.0.22681.0_x64__8wekyb3d8bbwe\codecpacks.vp9.exe,codecpacks.VP9.exe,.exe,2019-09-25 23:11:14.0000000,,241664,1.0.1909.25001,1.0.190925001,codecpacks.vp9.e|86e475ac13833024,pe64_amd64,True,1.0.1909.25001,1.0.1909.25001,2106960,0,
Microsoft.WindowsStore,000008695df9901218f18680952ebd0fa46c00000904,2020-09-19 01:32:12.0924439,4efe9343cefcd06ca2667da20bdd963ebb4c5a9b,False,c:\program files\windowsapps\microsoft.windowsstore_11910.1002.5.0_x64__8wekyb3d8bbwe\winstore.app.exe,WinStore.App.exe,.exe,2019-11-12 18:07:05.0000000,windows store,19456,11910.1002.5.0,11910.1002.5.0,winstore.app.exe|46b9534dafcbd7f1,pe64_amd64,True,11910.1002.5.0,11910.1002.5.0,3283896,0,
microsoft.windowscommunicationsapps,00000b75f2f8e4d03adc3c36d38b63c8cd5200000904,2020-09-19 01:32:11.2808120,01503f44c6ae7866dea94b04f08aaae77e3b459d,False,c:\program files\windowsapps\microsoft.windowscommunicationsapps_16005.11629.20316.0_x64__8wekyb3d8bbwe\hxaccounts.exe,HxAccounts.exe,.exe,2019-06-12 21:07:39.0000000,microsoft office,274432,16.0.11629.20268,16.0.11629.20268,hxaccounts.exe|ec192a88d1d707bd,pe64_amd64,True,16.0.11629.20268,16.0.11629.20268,2521664,0,
microsoft.windowscommunicationsapps,00000b75f2f8e4d03adc3c36d38b63c8cd5200000904,2020-09-19 01:32:11.2808120,455b86f5977e5079568e1593ec057fd68c99e261,False,c:\program files\windowsapps\microsoft.windowscommunicationsapps_16005.11629.20316.0_x64__8wekyb3d8bbwe\hxcalendarappimm.exe,HxCalendarAppImm.exe,.exe,2019-06-16 01:26:11.0000000,microsoft office,10330624,16.0.11629.20280,16.0.11629.20280,hxcalendarappimm|bfa1bcedbf2bcc2e,pe64_amd64,True,16.0.11629.20280,16.0.11629.20280,2522512,0,
microsoft.windowscommunicationsapps,00000b75f2f8e4d03adc3c36d38b63c8cd5200000904,2020-09-19 01:32:11.2808120,def53a43d9549f086ca9aa1bd6bc5bd9ecd48f81,False,c:\program files\windowsapps\microsoft.windowscommunicationsapps_16005.11629.20316.0_x64__8wekyb3d8bbwe\hxoutlook.exe,HxOutlook.exe,.exe,2019-06-16 01:29:13.0000000,microsoft office,2486784,16.0.11629.20280,16.0.11629.20280,hxoutlook.exe|38537f8f4c335a95,pe64_amd64,True,16.0.11629.20280,16.0.11629.20280,2523416,0,
microsoft.windowscommunicationsapps,00000b75f2f8e4d03adc3c36d38b63c8cd5200000904,2020-09-19 01:32:11.2808120,ed941af1124f394b9384aa128da8f4674e6091d3,False,c:\program files\windowsapps\microsoft.windowscommunicationsapps_16005.11629.20316.0_x64__8wekyb3d8bbwe\hxtsr.exe,HxTsr.exe,.exe,2019-06-07 00:48:47.0000000,microsoft office,112128,16.0.11629.20238,16.0.11629.20238,hxtsr.exe|ec0ed5c37bae57fe,pe64_amd64,True,16.0.11629.20238,16.0.11629.20238,2525272,0,
Microsoft.DesktopAppInstaller,00002151305bf5d0c513539e132a16ef781300000904,2020-09-19 01:32:00.2167045,828d5cf25052ad0686636867130f5a8ff4b71a83,False,c:\program files\windowsapps\microsoft.desktopappinstaller_1.0.30251.0_x64__8wekyb3d8bbwe\appinstaller.exe,AppInstaller.exe,.exe,2019-01-25 22:40:31.0000000,microsoft appx click handler,2035200,1.0.1901.25001,1.0.190125001-appxclickhandlerstor,appinstaller.exe|c736df00445fe4b1,pe64_amd64,True,1.0.1901.25001,1.0.1901.25001,884568,0,
Microsoft.DesktopAppInstaller,00002151305bf5d0c513539e132a16ef781300000904,2020-09-19 01:32:00.2167045,935407d4d0d898f997d5231daffa3329a1443f56,False,c:\program files\windowsapps\microsoft.desktopappinstaller_1.0.30251.0_x64__8wekyb3d8bbwe\appinstallerelevatedappserviceclient.exe,AppInstallerElevatedAppServiceClient.exe,.exe,2019-01-25 22:36:55.0000000,microsoft appx click handler,287232,1.0.1901.25001,1.0.190125001-appxclickhandlerstor,appinstallerelev|a8a6697f8247e1c6,pe64_amd64,True,1.0.1901.25001,1.0.1901.25001,886080,0,
Microsoft.DesktopAppInstaller,00002151305bf5d0c513539e132a16ef781300000904,2020-09-19 01:32:00.2167045,2cf0e935fedc16aa1583ab088ff129efd65ea8e6,False,c:\program files\windowsapps\microsoft.desktopappinstaller_1.0.30251.0_x64__8wekyb3d8bbwe\appinstallerpythonredirector.exe,AppInstallerPythonRedirector.exe,.exe,2019-01-25 22:36:50.0000000,microsoft appx click handler,207872,1.0.1901.25001,1.0.190125001-appxclickhandlerstor,appinstallerpyth|67732a1fae65fe9f,pe64_amd64,True,1.0.1901.25001,1.0.1901.25001,886480,0,
Microsoft.Xbox.TCUI,00002188d2a1b388b529a94e61cba2f5da7f00000904,2020-09-19 01:32:12.2332154,67571511cceb3d2dbc14d6f5a8b1c4483c558178,False,c:\program files\windowsapps\microsoft.xbox.tcui_1.23.28002.0_x64__8wekyb3d8bbwe\tcui-app.exe,TCUI-App.exe,.exe,2018-11-28 16:59:40.0000000,xbox.apps.tcui,18432,1.23.1811.28002,1.23.181128002,tcui-app.exe|2b627e177b4eb9aa,pe64_amd64,True,1.23.1811.28002,1.23.1811.28002,3301904,0,
Microsoft.ZuneVideo,00002b9716b09ef02b41b1157efe2c52893f00000904,2020-09-19 01:32:13.7465984,6730b50c2ba784b657c9401fc974c25ebcc13cbe,False,c:\program files\windowsapps\microsoft.zunevideo_10.19071.19011.0_x64__8wekyb3d8bbwe\video.ui.exe,Video.UI.exe,.exe,2019-10-10 12:50:39.0000000,entertainment platform,25966080,10.19071.1901.00000,10.19071.190100000-vibraniuminbox,video.ui.exe|b8f5184d20aa4671,pe64_amd64,True,10.19071.1901.0,10.19071.1901.0,3680456,0,
Microsoft.WindowsAlarms,0000314a26913b7851489c816a054d7ca0f600000904,2020-09-19 01:32:10.6261407,3ef531d6229b66eae7cd0f83bd59b4b9c54ed010,False,c:\program files\windowsapps\microsoft.windowsalarms_10.1906.2182.0_x64__8wekyb3d8bbwe\time.exe,Time.exe,.exe,2019-08-07 00:35:41.0000000,microsoft alarms and clock,4240896,10.1906.1908.06002,10.1906.190806002-1906,time.exe|ed6d1fc33aed75c8,pe64_amd64,True,10.1906.1908.6002,10.1906.1908.6002,2339720,0,
Microsoft.MicrosoftOfficeHub,000042ba2cc154df18aeafc580c087522a6300000904,2020-09-19 01:32:05.2893835,59baddbcd3284dc5e732e88e5c3a285269715611,False,c:\program files\windowsapps\microsoft.microsoftofficehub_18.1903.1152.0_x64__8wekyb3d8bbwe\localbridge.exe,LocalBridge.exe,.exe,2019-03-15 17:28:33.0000000,localbridge,46664,18.1903.1152.0,18.1903.1152.0,localbridge.exe|af3b81907cc0c7b3,pe64_clr_64,True,18.1903.1152.0,18.1903.1152.0,1224496,0,
Microsoft.WindowsMaps,0000462175829453213ffb11321ed1bbc56900000904,2020-09-19 01:32:11.7334679,cf174f953f9b84597eef2ebbab6b627c6195bed1,False,c:\program files\windowsapps\microsoft.windowsmaps_5.1906.1972.0_x64__8wekyb3d8bbwe\maps.exe,Maps.exe,.exe,2019-07-16 23:05:46.0000000,maps,19968,5.1906.1907.16002,5.1906.190716002,maps.exe|e28a337aa7d08901,pe64_amd64,True,5.1906.1907.16002,5.1906.1907.16002,3159352,0,
Microsoft.StorePurchaseApp,000055e6faa0de8badf9df481f41582a241900000904,2020-09-19 01:32:09.6114371,89e1e4f4d278a9927e9b972612c98de47ffcfddc,False,c:\program files\windowsapps\microsoft.storepurchaseapp_11811.1001.18.0_x64__8wekyb3d8bbwe\storeexperiencehost.exe,StoreExperienceHost.exe,.exe,2019-01-17 20:42:15.0000000,storeexperiencehost,15872,11811.1001.18.0,11811.1001.18.0,storeexperienceh|c3c2b0fe56c7b934,pe64_amd64,True,11811.1001.18.0,11811.1001.18.0,2095216,0,
