KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/acpi0003/1,2020-09-19 01:31:22.8389465,,battery,{72631e54-78a4-11d0-bcf7-00aa00b7b32a},,{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft AC Adapter,000077597541caaedf91a09f855efe2a2d38fa4fb761,cmbatt.inf_amd64_554d46f6008bc631,cmbatt.sys,06-21-2006,10.0.19041.1,acpi,"acpi\ven_acpi&dev_0003,acpi\acpi0003,*acpi0003",cmbatt.inf,0,Microsoft,acpi\acpi0003,Microsoft AC Adapter,acpi_hal\pnp0c08\0,0,Microsoft,cmbatt,"\driver\cmbatt,\driver\acpi"
acpi/fixedbutton/2&daba3ff&0,2020-09-19 01:31:23.3856254,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},ACPI Fixed Feature Button,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\fixedbutton,*fixedbutton",machine.inf,0,(Standard system devices),acpi\fixedbutton,ACPI Fixed Feature Button,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/genuineintel_-_intel64_family_6_model_158_-_intel(r)_core(tm)_i7-8086k_cpu_@_4.00ghz/_0,2020-09-19 01:31:23.3700502,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,000024424ca7bc13169437f9f8981b9d1b4c0467f2d7,cpu.inf_amd64_e8485c05e2096684,intelppm.sys,04-21-2009,10.0.19041.1,acpi,"acpi\genuineintel_-_intel64_family_6_model_158,*genuineintel_-_intel64_family_6_model_158,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_158_-_intel(r)_core(tm)_i7-8086k_cpu_@_4.00ghz/_1,2020-09-19 01:31:23.3700502,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i7-8086K CPU @ 4.00GHz,000024424ca7bc13169437f9f8981b9d1b4c0467f2d7,cpu.inf_amd64_e8485c05e2096684,intelppm.sys,04-21-2009,10.0.19041.1,acpi,"acpi\genuineintel_-_intel64_family_6_model_158,*genuineintel_-_intel64_family_6_model_158,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/pnp0001/4&1bd7f811&0,2020-09-19 01:31:23.5724659,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},EISA programmable interrupt controller,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0001,acpi\pnp0001,*pnp0001",machine.inf,0,(Standard system devices),*pnp0001,EISA programmable interrupt controller,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0100/4&1bd7f811&0,2020-09-19 01:31:23.6196058,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System timer,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0100,acpi\pnp0100,*pnp0100",machine.inf,0,(Standard system devices),*pnp0100,System timer,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0103/4&1bd7f811&0,2020-09-19 01:31:23.2603111,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},*pnp0c01,{27db0821-3bf9-f71a-f96f-a53403857690},High precision event timer,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0103,acpi\pnp0103,*pnp0103",machine.inf,0,(Standard system devices),*pnp0103,High precision event timer,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0200/4&1bd7f811&0,2020-09-19 01:31:23.3232465,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Direct memory access controller,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0200,acpi\pnp0200,*pnp0200",machine.inf,0,(Standard system devices),*pnp0200,Direct memory access controller,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
acpi/pnp0303/4&1bd7f811&0,2020-09-19 01:31:23.2923208,,keyboard,{4d36e96b-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Standard PS/2 Keyboard,00005d81ba523d31016e8c793a7467a7c41a1f35b907,keyboard.inf_amd64_5938c699b80ebb8f,i8042prt.sys,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0303,acpi\pnp0303,*pnp0303",keyboard.inf,0,(Standard keyboards),*pnp0303,Standard PS/2 Keyboard,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,i8042prt,"\driver\kbdclass,\driver\i8042prt,\driver\acpi"
acpi/pnp0800/4&1bd7f811&0,2020-09-19 01:31:23.4007766,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},System speaker,,machine.inf_amd64_8d242da33ece4bf6,,06-21-2006,10.0.19041.1,acpi,"acpi\ven_pnp&dev_0800,acpi\pnp0800,*pnp0800",machine.inf,0,(Standard system devices),*pnp0800,System speaker,pci\ven_8086&dev_7110&subsys_197615ad&rev_08\3&61aaa01&0&38,0,Microsoft,,\driver\acpi
