KeyName,LnkName,KeyLastWriteTimestamp
character map.ln|a9bafb4ca6647e44,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Character Map.lnk,2020-09-19 01:32:13.9806887
component servic|359825efd3d8f6e7,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Component Services.lnk,2020-09-19 01:32:13.9806887
computer managem|234510a6c0bf02bf,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Computer Management.lnk,2020-09-19 01:32:13.9963767
dfrgui.lnk|6d94f7be43a3a3a6,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\dfrgui.lnk,2020-09-19 01:32:13.9963767
disk cleanup.lnk|62909f750f89c6e5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Disk Cleanup.lnk,2020-09-19 01:32:13.9963767
event viewer.lnk|53b878dde735fea7,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk,2020-09-19 01:32:13.9963767
iscsi initiator.|afb67f6079313688,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\iSCSI Initiator.lnk,2020-09-19 01:32:13.9963767
math input panel|984bf2fa2a87f169,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Math Input Panel.lnk,2020-09-19 01:32:13.9650810
memory diagnosti|feac8b8d8877aa2c,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Memory Diagnostics Tool.lnk,2020-09-19 01:32:13.9963767
notepad.lnk|508c89a410e13c2b,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Notepad.lnk,2020-09-19 01:32:13.9806887
odbc data source|42e93af66b0179cc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\ODBC Data Sources (32-bit).lnk,2020-09-19 01:32:13.9963767
odbc data source|9740663b465a3030,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\ODBC Data Sources (64-bit).lnk,2020-09-19 01:32:13.9963767
paint.lnk|a40dccd0d4ee6c9e,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Paint.lnk,2020-09-19 01:32:13.9806887
performance moni|7b4ccc410e6c9b2,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Performance Monitor.lnk,2020-09-19 01:32:13.9963767
print management|d62876304a345243,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Print Management.lnk,2020-09-19 01:32:13.9963767
quick assist.lnk|aec648940984ef2c,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Quick Assist.lnk,2020-09-19 01:32:13.9806887
recoverydrive.ln|bd17aaeacd8dade9,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\RecoveryDrive.lnk,2020-09-19 01:32:13.9963767
registry editor.|5ddc248726504021,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Registry Editor.lnk,2020-09-19 01:32:13.9963767
remote desktop c|41f5bddb6f1b946e,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Remote Desktop Connection.lnk,2020-09-19 01:32:13.9806887
resource monitor|f0b52ad95c113be1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Resource Monitor.lnk,2020-09-19 01:32:13.9963767
security configu|7d509aa7f2a5ffcc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Security Configuration Management.lnk,2020-09-19 01:32:13.9963767
services.lnk|701369eeb35d6005,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\services.lnk,2020-09-19 01:32:13.9963767
snipping tool.ln|734ae0b30b37a6fa,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Snipping Tool.lnk,2020-09-19 01:32:13.9806887
speech recogniti|5d57f1973bdd5430,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessibility\Speech Recognition.lnk,2020-09-19 01:32:13.9650810
steps recorder.l|87b62a644197e790,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Steps Recorder.lnk,2020-09-19 01:32:13.9806887
system configura|82500ada25d8af21,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\System Configuration.lnk,2020-09-19 01:32:13.9963767
system informati|47a9a0488f6fea8b,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\System Information.lnk,2020-09-19 01:32:13.9963767
task manager.lnk|4502f59f3e4accf5,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\System Tools\Task Manager.lnk,2020-09-19 01:32:14.0119501
task scheduler.l|a1ccac43511808e1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Task Scheduler.lnk,2020-09-19 01:32:14.0119501
windows defender|9641b1036d9d2c34,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows Defender Firewall with Advanced Security.lnk,2020-09-19 01:32:14.0119501
windows fax and |1f239f501896c947,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows Fax and Scan.lnk,2020-09-19 01:32:13.9806887
windows media pl|61db8c35c15c8cc6,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows Media Player.lnk,2020-09-19 01:32:13.9806887
windows powershe|30733c7985fb9bcb,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE.lnk,2020-09-19 01:32:14.0119501
windows powershe|6d2a715ad3bf3395,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell ISE (x86).lnk,2020-09-19 01:32:14.0119501
wordpad.lnk|b071df8746c2a535,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Wordpad.lnk,2020-09-19 01:32:13.9806887
