ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Windows\System32\WScript.exe,2019-12-07 09:09:07,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,1,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2009.2-0\MpCmdRun.exe,2020-09-18 22:52:47,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,2,C:\Windows\System32\PickerHost.exe,2019-12-07 09:08:21,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,3,C:\Windows\system32\RAServer.exe,2019-12-07 09:10:32,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,4,C:\Windows\system32\AppHostRegistrationVerifier.exe,2019-12-07 09:08:21,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,5,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2009.2-0\NisSrv.exe,2020-09-18 22:52:47,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,6,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2009.2-0\MsMpEng.exe,2020-09-18 22:52:47,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,7,C:\Windows\TEMP\94A2D383-2409-448F-9E98-6B888EB7D248\MpSigStub.exe,2020-09-18 22:52:47,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,8,C:\Windows\SoftwareDistribution\Download\Install\updateplatform.exe,2020-09-18 22:52:46,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,9,C:\Windows\system32\speech_onecore\common\SpeechModelDownload.exe,2019-12-07 09:08:39,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,10,C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\20.143.0716.0003\FileSyncConfig.exe,2020-09-18 22:47:45,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,11,C:\Windows\system32\MusNotificationUx.exe,2020-05-11 05:39:20,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,12,C:\Windows\system32\usoclient.exe,2019-12-07 09:08:39,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,13,C:\Windows\System32\wsqmcons.exe,2020-05-11 05:39:25,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,14,C:\Windows\system32\MusNotification.exe,2020-05-11 05:39:20,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,15,C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,2020-09-18 22:47:24,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,16,C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe,2020-09-18 22:47:45,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,17,C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\19.043.0304.0013\FileSyncConfig.exe,2020-09-18 22:47:19,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
1,18,C:\Users\ricksanchez\AppData\Local\Microsoft\OneDrive\20.143.0716.0003\FileSyncConfig.exe,2020-09-18 22:45:21,NA,False,D:\dfirmadness\DESKTOP-E01\tout\H\Windows\System32\config\SYSTEM
