RunTime,ExecutableName
2020-09-18 22:44:32.5513523,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE
2020-09-19 01:07:38.2713916,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2020-09-18 23:00:03.0629040,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2020-09-18 22:52:52.3780241,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2020-09-18 22:47:02.9557860,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2020-09-18 22:44:35.9729588,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2020-09-18 21:40:35.8300680,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2020-09-18 05:51:11.1744434,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2020-09-19 05:18:45.4875727,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-09-19 05:08:58.7189684,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-09-19 03:46:58.7546261,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-09-19 03:39:08.0629180,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-09-19 01:08:14.9578844,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-09-18 23:00:32.8512206,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-09-18 21:41:40.1890843,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-09-18 05:47:32.4050341,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\AUDIODG.EXE
2020-09-18 23:01:20.2094629,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-19 03:39:11.0821061,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 23:00:35.8046564,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 22:47:03.3464715,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-19 03:36:37.9884118,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 22:44:26.4071359,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 05:50:06.0807188,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 22:46:53.4888680,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 22:46:53.1757122,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 22:44:30.2995793,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 22:44:29.7682706,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 05:50:13.2683602,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 05:50:12.1434171,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 23:01:18.8037990,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 22:47:03.2682603,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 22:44:36.4099881,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 23:00:46.5569983,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2020-09-18 23:02:47.3214432,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2020-09-19 05:10:09.5657509,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2020-09-19 03:52:09.3335872,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2020-09-19 03:16:11.3583793,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2020-09-19 05:10:45.7714521,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2020-09-19 05:10:45.5690161,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2020-09-19 05:10:43.8807282,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2020-09-19 05:10:43.6151297,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BACKGROUNDTRANSFERHOST.EXE
2020-09-19 03:44:53.1135864,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2020-09-19 03:40:01.4413605,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2020-09-19 01:07:38.6620636,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2020-09-18 23:09:47.4215466,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2020-09-18 23:00:03.4218933,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2020-09-18 22:47:03.1900732,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2020-09-18 21:40:36.5643734,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2020-09-18 05:51:12.1588546,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE
2020-09-19 03:16:37.1417819,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BYTECODEGENERATOR.EXE
2020-09-18 21:41:54.9071264,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BYTECODEGENERATOR.EXE
2020-09-18 21:41:45.2666659,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BYTECODEGENERATOR.EXE
2020-09-18 05:50:00.2214583,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\BYTECODEGENERATOR.EXE
2020-09-19 03:40:46.0355067,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEMAPPS\MICROSOFT.WINDOWS.APPREP.CHXAPP_CW5N1H2TXYEWY\CHXSMARTSCREEN.EXE
2020-09-19 05:08:37.5328773,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\CMD.EXE
2020-09-19 03:43:14.9908796,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\CMD.EXE
2020-09-19 03:41:06.5354202,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\CMD.EXE
2020-09-19 03:13:21.0507471,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\CMD.EXE
2020-09-19 01:08:19.9540953,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\CMD.EXE
2020-09-19 01:07:56.5842943,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\CMD.EXE
2020-09-18 22:53:11.0657406,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\CMD.EXE
2020-09-18 22:53:11.0815697,\VOLUME{01d68d85e0da1e22-b0e0e8ff}\WINDOWS\SYSTEM32\CMD.EXE
