CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\WScript.exe,AppCompatCache,2019-12-07 09:09:07.2549802
1,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2009.2-0\MpCmdRun.exe,AppCompatCache,2020-09-18 22:52:47.2690000
2,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\PickerHost.exe,AppCompatCache,2019-12-07 09:08:21.4560480
3,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\RAServer.exe,AppCompatCache,2019-12-07 09:10:32.9611869
4,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\AppHostRegistrationVerifier.exe,AppCompatCache,2019-12-07 09:08:21.5032975
5,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2009.2-0\NisSrv.exe,AppCompatCache,2020-09-18 22:52:47.3460000
6,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2009.2-0\MsMpEng.exe,AppCompatCache,2020-09-18 22:52:47.3150000
7,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\TEMP\94A2D383-2409-448F-9E98-6B888EB7D248\MpSigStub.exe,AppCompatCache,2020-09-18 22:52:47.2990000
8,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\updateplatform.exe,AppCompatCache,2020-09-18 22:52:46.6593269
9,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\speech_onecore\common\SpeechModelDownload.exe,AppCompatCache,2019-12-07 09:08:39.1130140
10,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\20.143.0716.0003\FileSyncConfig.exe,AppCompatCache,2020-09-18 22:47:45.0998336
11,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\MusNotificationUx.exe,AppCompatCache,2020-05-11 05:39:20.1141162
12,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\usoclient.exe,AppCompatCache,2019-12-07 09:08:39.1445832
13,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\wsqmcons.exe,AppCompatCache,2020-05-11 05:39:25.8361598
14,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\MusNotification.exe,AppCompatCache,2020-05-11 05:39:20.0984953
15,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,AppCompatCache,2020-09-18 22:47:24.8782050
16,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\OneDrive.exe,AppCompatCache,2020-09-18 22:47:45.2998022
17,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\mortysmith\AppData\Local\Microsoft\OneDrive\19.043.0304.0013\FileSyncConfig.exe,AppCompatCache,2020-09-18 22:47:19.5963519
18,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\ricksanchez\AppData\Local\Microsoft\OneDrive\20.143.0716.0003\FileSyncConfig.exe,AppCompatCache,2020-09-18 22:45:21.4099157
19,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\ricksanchez\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,AppCompatCache,2020-09-18 22:45:01.1762957
20,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\ricksanchez\AppData\Local\Microsoft\OneDrive\OneDrive.exe,AppCompatCache,2020-09-18 22:45:21.6289317
21,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\ricksanchez\AppData\Local\Microsoft\OneDrive\19.043.0304.0013\FileSyncConfig.exe,AppCompatCache,2020-09-18 22:44:55.0822579
22,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta.exe,AppCompatCache,2020-09-18 22:44:09.8451280
23,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Base.exe,AppCompatCache,2020-09-18 22:44:12.5790953
24,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\MpSigStub.exe,AppCompatCache,2020-09-18 22:44:07.8286365
25,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Engine.exe,AppCompatCache,2020-09-18 22:44:08.0318673
26,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\MpSigStub.exe,AppCompatCache,2020-09-18 22:44:07.8286365
27,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\wuauclt.exe,AppCompatCache,2020-05-11 05:39:20.2703716
28,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\sc.exe,AppCompatCache,2019-12-07 09:09:34.0061809
29,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\dsregcmd.exe,AppCompatCache,2019-12-07 09:09:54.8657953
30,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.25.20211.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2019-12-07 09:53:17.1403745
31,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0012076f04800000	000a00004a610000	8664	Microsoft.MicrosoftOfficeHub	8wekyb3d8bbwe	,AppCompatCache,1601-01-01 00:00:00.0000000
32,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_18.1903.1152.0_x64__8wekyb3d8bbwe\LocalBridge.exe,AppCompatCache,2019-12-07 09:54:15.5648448
33,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_18.1903.1152.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2019-12-07 09:56:19.5243311
34,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.Wallet_2.4.18324.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2019-12-07 09:56:20.8992684
35,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\SystemSettingsAdminFlows.exe,AppCompatCache,2019-12-07 09:08:40.7523557
36,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxApp_48.49.31001.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2019-12-07 09:56:22.6563183
37,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxGameOverlay_1.46.11001.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2019-12-07 09:54:46.5236960
38,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\Application,AppCompatCache,2019-12-07 09:52:33.4045786
39,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_10.1906.2182.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2019-12-07 09:53:39.6274479
40,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a00004a610001	000a000000000000	8664	Microsoft.CredDialogHost	cw5n1h2txyewy	,AppCompatCache,1601-01-01 00:00:00.0000000
41,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a00004a610001	000a000038390000	8664	Microsoft.ECApp	8wekyb3d8bbwe	,AppCompatCache,1601-01-01 00:00:00.0000000
42,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	03e84a6100010000	000a000000000000	8664	Microsoft.Windows.ParentalControls	cw5n1h2txyewy	neutral,AppCompatCache,1601-01-01 00:00:00.0000000
43,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a00004a610001	000a000038390000	8664	Microsoft.AsyncTextService	8wekyb3d8bbwe	,AppCompatCache,1601-01-01 00:00:00.0000000
44,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a00004a610001	000a00004a610001	8664	F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE	cw5n1h2txyewy	neutral,AppCompatCache,1601-01-01 00:00:00.0000000
