Program,BatchKeyPath,ExecutionTime,BatchValueName
\Device\HarddiskVolume3\Windows\System32\oobe\FirstLogonAnim.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-18,2020-09-18 05:51:26.6644448,\Device\HarddiskVolume3\Windows\System32\oobe\FirstLogonAnim.exe
\Device\HarddiskVolume3\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:23.0456476,\Device\HarddiskVolume3\Windows\explorer.exe
\Device\HarddiskVolume3\Windows\System32\oobe\FirstLogonAnim.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-18 22:44:35.3635014,\Device\HarddiskVolume3\Windows\System32\oobe\FirstLogonAnim.exe
MicrosoftWindows.Client.CBS_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:24.7344446,MicrosoftWindows.Client.CBS_cw5n1h2txyewy
Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:20.7957532,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy
Microsoft.Windows.Search_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:11:09.2560942,Microsoft.Windows.Search_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:23.0456476,\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe
Microsoft.MicrosoftEdge_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:23.2339896,Microsoft.MicrosoftEdge_8wekyb3d8bbwe
windows.immersivecontrolpanel_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:41.0469091,windows.immersivecontrolpanel_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\SystemSettingsAdminFlows.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-18 22:55:34.0188310,\Device\HarddiskVolume3\Windows\System32\SystemSettingsAdminFlows.exe
\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:34.5781505,\Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe
\Device\HarddiskVolume3\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:37.6719471,\Device\HarddiskVolume3\Windows\System32\cmd.exe
Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:10:51.5849753,Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe
\Device\HarddiskVolume3\Windows\System32\conhost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:43.1251015,\Device\HarddiskVolume3\Windows\System32\conhost.exe
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:08:59.6144747,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\SnippingTool.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:10:05.2867344,\Device\HarddiskVolume3\Windows\System32\SnippingTool.exe
\Device\HarddiskVolume3\Windows\System32\msinfo32.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-19 05:09:13.5892816,\Device\HarddiskVolume3\Windows\System32\msinfo32.exe
\Device\HarddiskVolume3\Windows\explorer.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:10:07.6486213,\Device\HarddiskVolume3\Windows\explorer.exe
\Device\HarddiskVolume3\Windows\System32\oobe\FirstLogonAnim.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 22:47:02.7838593,\Device\HarddiskVolume3\Windows\System32\oobe\FirstLogonAnim.exe
MicrosoftWindows.Client.CBS_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:10:07.4922323,MicrosoftWindows.Client.CBS_cw5n1h2txyewy
Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:10:07.7893992,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy
Microsoft.Windows.Search_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:10:07.7893992,Microsoft.Windows.Search_cw5n1h2txyewy
\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:10:07.6640154,\Device\HarddiskVolume3\Windows\System32\ApplicationFrameHost.exe
Microsoft.MicrosoftEdge_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:10:07.7893992,Microsoft.MicrosoftEdge_8wekyb3d8bbwe
windows.immersivecontrolpanel_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-2232410529-1445159330-2725690660-1108,2020-09-18 23:10:07.1640487,windows.immersivecontrolpanel_cw5n1h2txyewy
