Extension,BatchKeyPath,OpensWithExecutables,BatchValueName,OpensWithProgramIDs,UserChoice
.3g2,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.3G2,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h
.3gp,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.3GP,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h
.3gp2,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.3G2,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h
.3gpp,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.3GP,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h
.3mf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXvhc4p7vz4b485xfp46hhk3fq3grkdgjg
.aac,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.ADTS,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.ac3,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.adt,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.ADTS,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.adts,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.ADTS,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.aif,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.AIFF,(UserChoice key not present)
.aifc,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.AIFF,(UserChoice key not present)
.aiff,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.AIFF,(UserChoice key not present)
.amr,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.arw,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.asf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.ASF,(UserChoice key not present)
.asx,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.ASX,(UserChoice key not present)
.au,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.AU,(UserChoice key not present)
.avi,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.AVI,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h
.bak,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.bat,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,batfile,(UserChoice key not present)
.bin,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.bmp,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,Paint.Picture,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.cab,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,CABFolder,(UserChoice key not present)
.cdxml,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,Microsoft.PowerShellCmdletDefinitionXML.1,(UserChoice key not present)
.cfg,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.chm,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,chm.file,(UserChoice key not present)
.cr2,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.crw,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.cs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.css,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,CSSfile,(UserChoice key not present)
.csv,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.dat,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.db,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,dbfile,(UserChoice key not present)
.dds,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,ddsfile,(UserChoice key not present)
.dib,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,Paint.Picture,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.dll,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,dllfile,(UserChoice key not present)
.dng,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.doc,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.docx,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,docxfile,(UserChoice key not present)
.ec3,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.emf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,emffile,(UserChoice key not present)
.epub,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXvepbp3z66accmsd0x877zbbxjctkpr6t
.erf,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.exe,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,exefile,(UserChoice key not present)
.fbx,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXmgw6pxxs62rbgfp9petmdyb4fx7rnd4k
.flac,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.FLAC,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.fon,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,fonfile,(UserChoice key not present)
