Timestamp,BatchKeyPath,DriverDesc,BatchValueName,DriverDate,DriverVersion,ProviderName,DeviceInstanceid
2020-09-18 05:41:20.1154521,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0000,Microsoft Kernel Debug Network Adapter,Multiple,6-21-2006,10.0.19041.1,Microsoft,ROOT\KDNIC\0000
2020-09-18 05:41:39.5377891,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0001,Intel(R) 82574L Gigabit Network Connection,Multiple,6-12-2018,12.17.10.8,Microsoft,PCI\VEN_8086&DEV_10D3&SUBSYS_07D015AD&REV_00\000C29FFFF14C29500
2020-09-18 05:48:01.2833916,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0002,WAN Miniport (SSTP),Multiple,6-21-2006,10.0.19041.1,Microsoft,SWD\MSRRAS\MS_SSTPMINIPORT
2020-09-18 05:48:01.2873732,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0003,WAN Miniport (IKEv2),Multiple,6-21-2006,10.0.19041.1,Microsoft,SWD\MSRRAS\MS_AGILEVPNMINIPORT
2020-09-18 05:48:01.2873732,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0004,WAN Miniport (L2TP),Multiple,6-21-2006,10.0.19041.1,Microsoft,SWD\MSRRAS\MS_L2TPMINIPORT
2020-09-18 05:48:01.2923772,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0005,WAN Miniport (PPTP),Multiple,6-21-2006,10.0.19041.1,Microsoft,SWD\MSRRAS\MS_PPTPMINIPORT
2020-09-18 05:48:01.2923772,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0006,WAN Miniport (PPPOE),Multiple,6-21-2006,10.0.19041.1,Microsoft,SWD\MSRRAS\MS_PPPOEMINIPORT
2020-09-18 05:48:00.0384099,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0007,WAN Miniport (IP),Multiple,6-21-2006,10.0.19041.1,Microsoft,SWD\MSRRAS\MS_NDISWANIP
2020-09-18 05:48:00.8294036,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0008,WAN Miniport (IPv6),Multiple,6-21-2006,10.0.19041.1,Microsoft,SWD\MSRRAS\MS_NDISWANIPV6
2020-09-18 05:48:00.9537624,ROOT\ControlSet001\Control\Class\{4d36e972-e325-11ce-bfc1-08002be10318}\0009,WAN Miniport (Network Monitor),Multiple,6-21-2006,10.0.19041.1,Microsoft,SWD\MSRRAS\MS_NDISWANBH
