Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,6,6,Desktop,Desktop.lnk,0,2020-09-19 03:47:39.7852287,2020-09-19 03:47:39.7852287
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,5,5,Thoughts.txt,Thoughts.lnk,1,,2020-09-19 03:47:39.7852287
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,4,4,loot.zip,loot.lnk,2,,2020-09-19 03:46:18.1295130
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,1,1,Documents,Documents.lnk,3,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,3,Portal_gun.png,Portal_gun.lnk,4,,2020-09-19 03:45:54.3478133
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,2,2,Plans.txt,Plans.lnk,5,,
RecentDocs,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,0,0,My Social Security Number.txt,My Social Security Number.lnk,6,,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,Desktop,Desktop.lnk,0,2020-09-19 03:47:39.7852287,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Documents,Documents.lnk,1,,
.zip,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.zip,0,0,loot.zip,loot.lnk,0,2020-09-19 03:46:18.1295130,
.txt,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,2,2,Thoughts.txt,Thoughts.lnk,0,2020-09-19 03:47:39.7852287,
.txt,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,1,1,Plans.txt,Plans.lnk,1,,
.txt,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,0,0,My Social Security Number.txt,My Social Security Number.lnk,2,,
.png,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,0,0,Portal_gun.png,Portal_gun.lnk,0,2020-09-19 03:45:54.3478133,
.png,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.png,0,0,Portal_gun.png,Portal_gun.lnk,0,2020-09-19 03:45:54.3478133,
.txt,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,2,2,Thoughts.txt,Thoughts.lnk,0,2020-09-19 03:47:39.7852287,
.txt,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,1,1,Plans.txt,Plans.lnk,1,,
.txt,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.txt,0,0,My Social Security Number.txt,My Social Security Number.lnk,2,,
.zip,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.zip,0,0,loot.zip,loot.lnk,0,2020-09-19 03:46:18.1295130,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,1,1,Desktop,Desktop.lnk,0,2020-09-19 03:47:39.7852287,
Folder,ROOT\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\Folder,0,0,Documents,Documents.lnk,1,,
