Version,BatchKeyPath,KeyName,BatchValueName,Path,CreatedOn,LastStart,LastStop,TaskState,LastActionResult,Source,Description,Author
3,,{0016B09F-CFDA-4F5B-A70B-84A75599B89B},,\Microsoft\Windows\DeviceDirectoryClient\HandleWnsCommand,2020-09-18 05:41:36.1945803,,,0,0,,,
3,,{00446CF1-8668-472D-BEDD-D0BB88DBA009},,\Microsoft\Windows\Registry\RegIdleBackup,2020-09-10 05:41:36.2089124,,,0,0,"$(@%systemroot%\system32\regidle.dll,-601)","$(@%systemroot%\system32\regidle.dll,-602)","$(@%systemroot%\system32\regidle.dll,-600)"
3,,{008539BF-83F9-4483-9E0A-EEEE6EAC0A08},,\Microsoft\Windows\Shell\UpdateUserPictureTask,2020-09-18 05:41:36.2089124,,,0,0,,,
3,,{051DF697-AF10-4DB6-9B93-E1A4E35F00F7},,\Microsoft\Windows\Sysmain\ResPriStaticDbSync,2020-09-15 05:41:36.2245848,,,0,0,,"$(@%systemRoot%\System32\sysmain.dll,-3004)","$(@%systemRoot%\System32\sysmain.dll,-3000)"
3,,{0764B360-A90F-46E0-A30E-150D639B7B74},,\Microsoft\Windows\UpdateOrchestrator\Schedule Scan,2020-09-18 05:48:49.8148857,2020-09-18 22:47:39.2531925,2020-09-18 22:47:39.4245119,0,0,,,
3,,{077333D6-06BA-4EA4-BDF4-1CD1439558F2},,\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask,2020-09-14 05:41:36.2402332,,,0,0,,"$(@%systemRoot%\System32\bisrv.dll,-103)","$(@%systemRoot%\System32\bisrv.dll,-102)"
3,,{082F4875-D88C-40EA-8706-87480962C446},,\Microsoft\Windows\Device Setup\Metadata Refresh,2020-09-14 05:41:36.2402332,,,0,0,"$(@%SystemRoot%\System32\DeviceSetupManager.dll,-601)","$(@%SystemRoot%\System32\DeviceSetupManager.dll,-602)","$(@%SystemRoot%\System32\DeviceSetupManager.dll,-600)"
3,,{0CBABB27-6DFC-4155-BAE7-AE919B92FEF2},,\Microsoft\Windows\DirectX\DXGIAdapterCache,2020-09-18 05:41:36.2565448,2020-09-19 01:24:09.7550233,2020-09-19 01:24:14.7184579,0,0,,,
3,,{0CEC0B91-4AE9-4E8A-ACB2-3B4C811F442C},,\Microsoft\Windows\WaaSMedic\PerformRemediation,2020-09-18 05:41:36.2565448,,,0,0,"$(@%systemroot%\system32\WaasMedicSvc.dll,-103)","$(@%systemroot%\system32\WaasMedicSvc.dll,-104)","$(@%systemroot%\system32\WaasMedicSvc.dll,-102)"
3,,{0E2DCCB3-7B11-40CF-B973-90F22732E317},,\Microsoft\Windows\EDP\EDP Inaccessible Credentials Task,2020-09-18 05:41:36.2715706,,,0,0,,,
3,,{0EB8A4DF-D5FA-4D49-8496-6B04E03EF0E1},,\OneDrive Standalone Update Task-S-1-5-21-2232410529-1445159330-2725690660-1106,2020-09-18 22:45:24.6444167,,,0,0,,,Microsoft Corporation
3,,{0EDEA23A-3DEC-41C3-B03E-BC7A3356D6BC},,\Microsoft\Windows\CertificateServicesClient\UserTask,2020-09-18 05:41:35.5999014,2020-09-19 05:08:16.0143690,2020-09-19 05:08:16.6081975,0,0,"$(@%SystemRoot%\system32\dimsjob.dll,-100)","$(@%SystemRoot%\system32\dimsjob.dll,-102)","$(@%SystemRoot%\system32\dimsjob.dll,-101)"
3,,{114EC267-55F2-45DA-9AB6-B98CA9DC0D01},,\Microsoft\Windows\DeviceDirectoryClient\RegisterDevicePolicyChange,2020-09-18 05:41:36.3055926,2020-09-18 22:59:45.3601755,2020-09-18 22:59:46.9218395,0,0,,,
3,,{117E2D01-1275-4560-90E9-A34BB4EE69A3},,\Microsoft\Windows\DiskFootprint\StorageSense,2020-09-18 05:41:36.3184456,,,0,0,,,
3,,{12514C9A-1DE5-40CE-B66C-D6838DA9A169},,\Microsoft\Windows\CloudExperienceHost\CreateObjectTask,2020-09-18 05:41:36.3184456,2020-09-18 05:47:13.2029755,,0,0,,,
3,,{12DF3F8A-9612-48CA-AE38-2818FA70CA73},,\Microsoft\Windows\HelloFace\FODCleanupTask,2020-09-12 05:41:36.3340163,,,0,0,,,
3,,{136F41B1-BBF0-4239-B132-88A1DE7482F1},,\Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan,2020-09-18 23:09:41.0184383,,,0,0,,Periodic scan task.,
3,,{14DBEA2E-2CCC-474E-9915-7468B25896B4},,\Microsoft\Windows\WwanSvc\OobeDiscovery,2020-09-18 05:41:36.3499807,,,0,0,,,
3,,{15E69FB7-BC19-4737-A3DF-0700D3959249},,\Microsoft\Windows\TPM\Tpm-Maintenance,2020-09-18 05:41:36.3808257,2020-09-18 05:49:44.8774929,2020-09-18 05:49:47.2213956,0,-2147020577,"$(@%SystemRoot%\system32\TpmTasks.dll,-601)","$(@%SystemRoot%\system32\TpmTasks.dll,-602)","$(@%SystemRoot%\system32\TpmTasks.dll,-600)"
3,,{1A12F47F-D6F4-437A-BA4D-E01B94B739D8},,\Microsoft\Windows\RetailDemo\CleanupOfflineContent,2020-09-18 05:49:36.7701481,,,0,0,,"$(@%systemRoot%\system32\rdxtaskfactory.dll,-101)","$(@%systemRoot%\system32\rdxtaskfactory.dll,-100)"
3,,{1C0C673A-BA96-40F7-9FD3-ABB28E1B57DB},,\OneDrive Standalone Update Task-S-1-5-21-2232410529-1445159330-2725690660-500,2020-09-19 03:37:34.4576790,,,0,0,,,Microsoft Corporation
3,,{1D44DA44-C6A2-454A-AD76-389CB7AB7B77},,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical,2020-09-18 05:41:36.3974521,2020-09-19 01:34:09.6233773,2020-09-19 01:35:47.1248451,0,0,,,
3,,{1E334E22-CBC0-4D9C-B830-F1CC1BD6DCFD},,\Microsoft\Windows\WCM\WiFiTask,2020-09-18 05:41:36.4123870,,,0,0,,"$(@%SystemRoot%\system32\wifitask.exe,-2)","$(@%SystemRoot%\system32\wifitask.exe,-1)"
3,,{1FDAEDB1-C8AA-43FA-B046-3CDDDA12661E},,\Microsoft\Windows\Time Synchronization\SynchronizeTime,2020-09-18 05:41:36.4123870,,,0,0,"$(@%systemroot%\system32\w32time.dll,-200)","$(@%systemroot%\system32\w32time.dll,-201)","$(@%systemroot%\system32\w32time.dll,-202)"
3,,{20546688-8F7B-4B82-8429-7E7E4F537E96},,\Microsoft\Windows\SystemRestore\SR,2020-09-18 05:41:36.4276898,,,0,0,"$(@%systemroot%\system32\srrstr.dll,-320)","$(@%systemroot%\system32\srrstr.dll,-322)","$(@%systemroot%\system32\srrstr.dll,-321)"
