ActivityId,Platform,PackageName,ExpirationTime,SourceFile
1D6ABBFB-2972-7AD1-B005-9C759281631A,data_boundary,microsoft.default.default,2027-09-17 18:44:26,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
1D6ABBFB-2972-7AD1-B005-9C759281631A,host,,2027-09-17 18:44:26,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
AB9480B2-BAC8-14D8-2A70-FBFE33A93DA4,data_boundary,microsoft.default.input,2027-09-17 18:44:26,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
AB9480B2-BAC8-14D8-2A70-FBFE33A93DA4,host,,2027-09-17 18:44:26,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
362963B2-043D-4C23-7849-14C266F051BE,windows_win32,microsoft.windows.explorer,2020-10-18 18:44:55,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
362963B2-043D-4C23-7849-14C266F051BE,host,,2020-10-18 18:44:55,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
48BA9470-958B-E23C-5091-8CAC1FEE21D9,windows_win32,microsoft.windows.explorer,2020-10-18 18:45:46,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
48BA9470-958B-E23C-5091-8CAC1FEE21D9,packageid,microsoft.windows.explorer,2020-10-18 18:45:46,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
48BA9470-958B-E23C-5091-8CAC1FEE21D9,host,,2020-10-18 18:45:46,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
41A6D735-2B42-4C44-7581-19B5E1471374,windows_win32,microsoft.windows.explorer,2020-10-18 18:45:27,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
41A6D735-2B42-4C44-7581-19B5E1471374,packageid,microsoft.windows.explorer,2020-10-18 18:45:27,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
41A6D735-2B42-4C44-7581-19B5E1471374,host,,2020-10-18 18:45:27,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
2E0ADF9E-D668-3EE9-2922-B0762BDFB348,windows_win32,microsoft.windows.explorer,2020-10-18 18:45:35,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
2E0ADF9E-D668-3EE9-2922-B0762BDFB348,packageid,microsoft.windows.explorer,2020-10-18 18:45:35,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
2E0ADF9E-D668-3EE9-2922-B0762BDFB348,host,,2020-10-18 18:45:35,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
3902993E-CC4A-82DA-DB2B-A5C6CA112888,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,2020-10-18 18:52:59,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
3902993E-CC4A-82DA-DB2B-A5C6CA112888,host,,2020-10-18 18:52:59,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
5B1F85FE-069A-C170-C510-297E45AC669C,windows_universal,windows.immersivecontrolpanel_cw5n1h2txyewy,2020-10-18 18:56:03,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
5B1F85FE-069A-C170-C510-297E45AC669C,packageid,windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel,2020-10-18 18:56:03,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
5B1F85FE-069A-C170-C510-297E45AC669C,host,,2020-10-18 18:56:03,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
DB0F37B9-1928-1D42-0833-465E0ADA3BC5,windows_win32,{1ac14e77-02e7-4e5d-b744-2eb1ae5198b7}\cmd.exe,2020-10-18 18:53:11,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
DB0F37B9-1928-1D42-0833-465E0ADA3BC5,windows_win32,{d65231b0-b2f1-4857-a4ce-a8e7c6ea7d27}\cmd.exe,2020-10-18 18:53:11,D:\dfirmadness\DESKTOP-E01\tout\H\Users\ricksanchez\AppData\Local\ConnectedDevicesPlatform\L.ricksanchez\ActivitiesCache.db
