BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU,0,0,2,Desktop\Quick Access,Root folder: GUID,Quick Access,0,,,,2018-04-06 12:42:02,,,0,2018-03-27 09:22:42,,False,
BagMRU,1,0,8,Desktop\D:\,Users property view: Drive letter,D:\,1,,,,2018-04-06 12:42:02,,,0,,,False,
BagMRU,2,0,10,Desktop\CLSID_SearchFolder,Users property view,CLSID_SearchFolder,0,,,,2018-04-06 12:42:02,,,1,2018-03-27 09:26:24,,False,
BagMRU,3,0,9,Desktop\CLSID_SearchFolder,Users property view,CLSID_SearchFolder,0,,,,2018-04-06 12:42:02,,,2,2018-03-27 09:26:25,,False,
BagMRU,4,0,0,Desktop\This PC,Root folder: GUID,This PC,4,,,,2018-04-06 12:42:02,,,0,,2018-04-06 12:42:02,False,
BagMRU,5,0,3,Desktop\ControlPanelHome,Root folder: GUID,ControlPanelHome,2,,,,2018-04-06 12:42:02,,,0,,,False,
BagMRU,6,0,6,Desktop\OneDrive,Root folder: GUID,OneDrive,0,,,,2018-04-06 12:42:02,,,1,2018-03-27 09:51:01,,False,
BagMRU,7,0,5,Desktop\Shared Documents Folder (Users Files),Root folder: GUID,Shared Documents Folder (Users Files),3,,,,2018-04-06 12:42:02,,,1,,,False,
BagMRU,8,0,4,Desktop\Box Sync,Root folder: GUID,Box Sync,0,,,,2018-04-06 12:42:02,,,1,2018-04-02 01:36:35,,False,
BagMRU,9,0,7,Desktop\dropbox-NamespaceExtensionRole.Personal,Root folder: GUID,dropbox-NamespaceExtensionRole.Personal,0,,,,2018-04-06 12:42:02,,,1,2018-04-02 01:36:42,,False,
BagMRU,10,0,1,Desktop\F:\,Users property view: Drive letter,F:\,2,,,,2018-04-06 12:42:02,,,0,,,False,
BagMRU\1,0,3,0,Desktop\D:\\AKMonitor,Directory,AKMonitor,1,2018-03-22 02:50:44,2018-03-22 02:50:44,2018-03-22 02:50:42,2018-03-27 09:22:46,3244256,,1,,2018-03-27 09:22:46,True,exFAT file system
BagMRU\1\0,0,4,0,Desktop\D:\\AKMonitor\logs,Directory,logs,1,2018-03-27 09:12:36,2018-03-27 09:12:36,2018-03-27 09:12:34,2018-03-27 09:22:48,3376576,,1,,2018-03-27 09:22:48,True,exFAT file system
