RunTime,ExecutableName
2018-03-27 09:33:20.8398965,\VOLUME{0000000000000000-4c36f4ac}\AKMONITOR\AKMONITOR.EXE
2018-03-27 09:23:46.2501315,\VOLUME{0000000000000000-4c36f4ac}\AKMONITOR\AKMONITOR.EXE
2018-03-27 09:23:02.4893032,\VOLUME{0000000000000000-4c36f4ac}\AKMONITOR\AKMONITOR.EXE
2018-04-04 05:57:29.1494919,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_BASE_PATCH1.EXE
2018-04-04 05:57:30.5109719,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE
2018-04-03 06:01:26.3484528,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA.EXE
2018-04-05 04:17:15.0161175,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA_PATCH_1.265.5.0.EXE
2018-04-06 03:47:57.8492964,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SOFTWAREDISTRIBUTION\DOWNLOAD\INSTALL\AM_DELTA_PATCH_1.265.91.0.EXE
2018-04-04 05:57:27.0277442,AM_ENGINE_PATCH_1.1.14600.4.E
2018-03-27 23:38:50.2924509,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2018-03-27 10:47:55.5272864,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2018-03-27 09:27:12.0267182,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\APPLICATIONFRAMEHOST.EXE
2018-04-06 12:35:08.6797874,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\AUDIODG.EXE
2018-04-06 12:29:32.7151075,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\AUDIODG.EXE
2018-04-06 08:25:30.7267264,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\AUDIODG.EXE
2018-04-06 03:38:36.8969206,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\AUDIODG.EXE
2018-04-05 07:55:03.7507174,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\AUDIODG.EXE
2018-04-05 06:05:46.9149413,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\AUDIODG.EXE
2018-04-05 05:48:54.9675979,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\AUDIODG.EXE
2018-04-05 05:40:49.4285069,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\AUDIODG.EXE
2018-04-06 12:46:39.1657874,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-06 08:30:48.9926189,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-05 06:06:42.5786851,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-05 02:05:03.7193008,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-05 01:50:46.7868768,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-02 01:43:39.7248605,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-03-31 19:50:08.4968074,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-03-28 01:30:19.2022397,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-06 12:27:08.1488895,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-05 07:02:27.5598307,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
2018-04-05 02:32:32.5598771,\VOLUME{01d3c5cc91d8a333-aa920881}\WINDOWS\SYSTEM32\BACKGROUNDTASKHOST.EXE
