Path,BatchKeyPath,BatchValueName
C:\Program Files\DellTPad\ApMsgFwd.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\AppData\Local\Microsoft\OneDrive\17.3.6816.0313\FileSyncConfig.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\AppData\Local\Microsoft\OneDrive\18.025.0204.0009\FileSyncConfig.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
SIGN.MEDIA=68F09C0 AKMonitor\AKMonitor.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\TempState\Downloads\ChromeSetup.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\AppData\Local\Temp\GUME1E0.tmp\GoogleUpdateSetup.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\AppData\Local\Packages\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\TempState\Downloads\Setup.X86.en-us_O365ProPlusRetail_02c0210c-b841-4cc2-b779-b3a35ae78121_TX_PR_b_64_.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\AppData\Local\Microsoft\OneDrive\OneDrive.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\Downloads\installbackupandsync.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\Downloads\s3browser-7-6-9.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\AppData\Local\Temp\GUMC3F.tmp\DropboxUpdate.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\Downloads\BoxSyncSetup.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files\Box\Box Sync\BoxSync.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files\Google\Drive\googledrivesync.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files\S3 Browser\s3browser-win32.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\AppData\Local\Microsoft\OneDrive\Update\OneDriveSetup.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
C:\Users\jcloudy\AppData\Local\Microsoft\OneDrive\18.044.0301.0006\FileSyncConfig.exe,ROOT\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant,Multiple
