CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
0,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\provtool.exe,AppCompatCache,2017-12-14 01:39:08.7475130
1,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\vds.exe,AppCompatCache,2017-09-29 13:42:04.8135912
2,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\vdsldr.exe,AppCompatCache,2017-09-29 13:42:04.8135912
3,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SysWOW64\ByteCodeGenerator.exe,AppCompatCache,2017-09-29 13:42:11.6422654
4,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\ByteCodeGenerator.exe,AppCompatCache,2017-09-29 13:41:30.3108116
5,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a42a75dd50000	000a00003ad80000	8664	Microsoft.ZuneVideo	8wekyb3d8bbwe	,AppCompatCache,
6,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a42a75dd50000	000a00003ad80000	8664	Microsoft.ZuneMusic	8wekyb3d8bbwe	,AppCompatCache,
7,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000c001e13890000	000a000037ec0000	8664	Microsoft.XboxIdentityProvider	8wekyb3d8bbwe	,AppCompatCache,
8,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001001461aa0000	000a00003f520000	8664	Microsoft.XboxGameOverlay	8wekyb3d8bbwe	,AppCompatCache,
9,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	001f00203e820000	000a00003f810000	8664	Microsoft.XboxApp	8wekyb3d8bbwe	,AppCompatCache,
10,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	2dba03ea00090000	000a00003ad70000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	,AppCompatCache,
11,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a06aa06190000	000a00003ad70000	8664	Microsoft.WindowsSoundRecorder	8wekyb3d8bbwe	,AppCompatCache,
12,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000506aa08d50000	000a00003ad80000	8664	Microsoft.WindowsMaps	8wekyb3d8bbwe	,AppCompatCache,
13,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000106a908490000	000a00003ad70000	8664	Microsoft.WindowsFeedbackHub	8wekyb3d8bbwe	,AppCompatCache,
14,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	00112031a13b0000	000a00003aa90000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	,AppCompatCache,
15,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	07e102d700140000	000a000038390000	8664	Microsoft.WindowsCamera	8wekyb3d8bbwe	,AppCompatCache,
16,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a06aa09660000	000a00003ad70000	8664	Microsoft.WindowsCalculator	8wekyb3d8bbwe	,AppCompatCache,
17,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a06aa09610000	000a00003ad70000	8664	Microsoft.WindowsAlarms	8wekyb3d8bbwe	,AppCompatCache,
18,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	07e190cf401a0000	000a00003ad70000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,AppCompatCache,
19,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000100003fc80000	000a00003a770000	8664	Microsoft.Wallet	8wekyb3d8bbwe	,AppCompatCache,
20,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b001202540000	000a000038390000	8664	Microsoft.SkypeApp	kzf8qxf38zg5c	,AppCompatCache,
21,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001000009760000	000a00003ad70000	8664	Microsoft.Print3D	8wekyb3d8bbwe	,AppCompatCache,
22,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a0002092f0000	000a00003f710000	8664	Microsoft.People	8wekyb3d8bbwe	,AppCompatCache,
23,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000306ac08b00000	000a00003f440000	8664	Microsoft.OneConnect	8wekyb3d8bbwe	,AppCompatCache,
24,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	001120aee10b0000	000a00003aa90000	8664	Microsoft.Office.OneNote	8wekyb3d8bbwe	,AppCompatCache,
25,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000206ad0fbb0000	000a00003ad70000	8664	Microsoft.MSPaint	8wekyb3d8bbwe	,AppCompatCache,
26,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001000800020000	000a00003a920000	8664	Microsoft.MicrosoftStickyNotes	8wekyb3d8bbwe	,AppCompatCache,
27,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000300111fe20000	000a000028000000	8664	Microsoft.MicrosoftSolitaireCollection	8wekyb3d8bbwe	,AppCompatCache,
28,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	001120de17250000	000a000037b10000	8664	Microsoft.MicrosoftOfficeHub	8wekyb3d8bbwe	,AppCompatCache,
29,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000106ab65a30000	000a00003ad70000	8664	Microsoft.Microsoft3DViewer	8wekyb3d8bbwe	,AppCompatCache,
30,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000300203a990000	000a00003ad70000	8664	Microsoft.Messaging	8wekyb3d8bbwe	,AppCompatCache,
31,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0005000b06690000	000a000038390000	8664	Microsoft.Getstarted	8wekyb3d8bbwe	,AppCompatCache,
32,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000100002f810000	000a00003ad70000	8664	Microsoft.DesktopAppInstaller	8wekyb3d8bbwe	,AppCompatCache,
33,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0004001509bc0000	000a00003ad70000	8664	Microsoft.BingWeather	8wekyb3d8bbwe	,AppCompatCache,
34,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000000	000a06a900040000	000a000028000000	8664	Microsoft.Advertising.Xaml	8wekyb3d8bbwe	,AppCompatCache,
35,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a06a900040000	000a000028000000	8664	Microsoft.Advertising.Xaml	8wekyb3d8bbwe	,AppCompatCache,
36,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000a0000064a0000	000a000028000000	8664	Microsoft.Services.Store.Engagement	8wekyb3d8bbwe	,AppCompatCache,
37,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000000	000a0000064a0000	000a000028000000	8664	Microsoft.Services.Store.Engagement	8wekyb3d8bbwe	,AppCompatCache,
38,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	03e83fab000f0000	000a000000000000	8664	Microsoft.XboxGameCallableUI	cw5n1h2txyewy	neutral,AppCompatCache,
39,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a00003fab000f	000a00003fab000f	8664	Microsoft.Windows.ShellExperienceHost	cw5n1h2txyewy	neutral,AppCompatCache,
40,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a00003fab000f	000a000000000000	8664	Microsoft.Windows.SecureAssessmentBrowser	cw5n1h2txyewy	neutral,AppCompatCache,
41,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,0000000b	000a00003fab000f	000a00003f480000	8664	Microsoft.Windows.SecHealthUI	cw5n1h2txyewy	,AppCompatCache,
