Extension,BatchKeyPath,OpensWithExecutables,BatchValueName,OpensWithProgramIDs,UserChoice
.3g2,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.3G2,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h
.3gp,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.3GP,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h
.3gp2,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.3G2,WMP11.AssocFile.3G2
.3gpp,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.3GP,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h
.3mf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX4r6v2fg5b2qwg1jprp713smfp4wb02yp
.aac,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.ADTS,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.ac3,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.adt,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.ADTS,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.adts,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.ADTS,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.amr,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.arw,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.avi,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.AVI,AppX6eg8h5sxqq90pv53845wmnbewywdqq5h
.bak,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.bat,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,batfile,(UserChoice key not present)
.bin,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.bmp,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,Paint.Picture,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.cab,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,CABFolder,(UserChoice key not present)
.cfg,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.chm,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,chm.file,(UserChoice key not present)
.cr2,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.crw,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.cs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.css,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,CSSfile,(UserChoice key not present)
.csv,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.dat,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.db,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,dbfile,(UserChoice key not present)
.dib,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,Paint.Picture,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.dll,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,dllfile,(UserChoice key not present)
.doc,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.docx,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,docxfile,(UserChoice key not present)
.ec3,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.epub,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppXvepbp3z66accmsd0x877zbbxjctkpr6t
.erf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.exe,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,exefile,(UserChoice key not present)
.fbx,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX4r6v2fg5b2qwg1jprp713smfp4wb02yp
.flac,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,WMP11.AssocFile.FLAC,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs
.gif,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,giffile,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
.glb,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX4r6v2fg5b2qwg1jprp713smfp4wb02yp
.gltf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,AppX4r6v2fg5b2qwg1jprp713smfp4wb02yp
.htm,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,htmlfile,AppX4hxtad77fbk3jkkeerkrm0ze94wjf3s9
.html,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,htmlfile,AppX4hxtad77fbk3jkkeerkrm0ze94wjf3s9
.ico,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,icofile,(UserChoice key not present)
.idx,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.inf,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,inffile,(UserChoice key not present)
.ini,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,inifile,(UserChoice key not present)
.ipa,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.iso,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,Windows.IsoFile,(UserChoice key not present)
.itc2,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.itdb,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.itl,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,,(UserChoice key not present)
.jfif,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts,,Multiple,pjpegfile,AppX43hnxtbyyps62jhe9sqpdzxn1790zetc
