Action,BatchKeyPath,Active,BatchValueName,Dir,Protocol,LPort,RPort,Name,Desc,App
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,135,,"@icsvc.dll,-709","@icsvc.dll,-710",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,ICMP,,,"@icsvc.dll,-701","@icsvc.dll,-702",
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,IPv6-ICMP,,,"@icsvc.dll,-703","@icsvc.dll,-704",
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,139,,"@icsvc.dll,-705","@icsvc.dll,-706",
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC,,"@icsvc.dll,-707","@icsvc.dll,-708",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,162,,"@snmptrap.exe,-7","@snmptrap.exe,-8",%SystemRoot%\system32\snmptrap.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,162,,"@snmptrap.exe,-7","@snmptrap.exe,-8",%SystemRoot%\system32\snmptrap.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,,,"@wlansvc.dll,-37378","@wlansvc.dll,-37890",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,TCP,,,"@wlansvc.dll,-37379","@wlansvc.dll,-37891",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,,,"@wlansvc.dll,-37380","@wlansvc.dll,-37892",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,UDP,,,"@wlansvc.dll,-37381","@wlansvc.dll,-37893",System
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,Out,TCP,,,"@%windir%\system32\diagtrack.dll,-3001","@%windir%\system32\diagtrack.dll,-3003",
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,3540,,"@FirewallAPI.dll,-34003","@FirewallAPI.dll,-34004",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,3540,"@FirewallAPI.dll,-34005","@FirewallAPI.dll,-34006",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,UDP,1900,,"@FirewallAPI.dll,-34007","@FirewallAPI.dll,-34008",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,UDP,,1900,"@FirewallAPI.dll,-34009","@FirewallAPI.dll,-34010",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,TCP,7680,,"@%systemroot%\system32\dosvc.dll,-102","@%systemroot%\system32\dosvc.dll,-104",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,TRUE,Multiple,In,UDP,7680,,"@%systemroot%\system32\dosvc.dll,-103","@%systemroot%\system32\dosvc.dll,-104",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC,,"@FirewallAPI.dll,-36802","@FirewallAPI.dll,-36803",%SystemRoot%\system32\NetEvtFwdr.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC-EPMap,,"@FirewallAPI.dll,-36804","@FirewallAPI.dll,-36805",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,,,"@FirewallAPI.dll,-29003","@FirewallAPI.dll,-29006",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,,"@FirewallAPI.dll,-29007","@FirewallAPI.dll,-29010",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,,,"@FirewallAPI.dll,-29003","@FirewallAPI.dll,-29006",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,Out,TCP,,,"@FirewallAPI.dll,-29007","@FirewallAPI.dll,-29010",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC,,"@FirewallAPI.dll,-30003","@FirewallAPI.dll,-30006",%SystemRoot%\system32\svchost.exe
Allow,ROOT\ControlSet001\Services\SharedAccess\Parameters\FirewallPolicy\FirewallRules,FALSE,Multiple,In,TCP,RPC-EPMap,,"@FirewallAPI.dll,-30007","@FirewallAPI.dll,-30010",%SystemRoot%\system32\svchost.exe
