KeyName,BatchKeyPath,Filename,BatchValueName,LastDectectionTime
DiagnosedApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\DiagnosedApplications\chrome.exe,chrome.exe,Multiple,2018-03-29 00:49:47.4181883
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\csrss.exe,csrss.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\dwm.exe,dwm.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\explorer.exe,explorer.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\gadgethost.exe,gadgethost.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\mobsync.exe,mobsync.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\msascui.exe,msascui.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\sidebar.exe,sidebar.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\splwow64.exe,splwow64.exe,Multiple,
ReflectionApplications,ROOT\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\winlogon.exe,winlogon.exe,Multiple,
