Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,11,11,Downloads,Downloads.lnk,0,2018-04-06 12:27:08.0399072,2018-04-06 12:27:08.0399072
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,37,37,rootkey.csv,rootkey.lnk,1,,2018-04-06 12:27:08.0208999
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,36,36,Hardware and Sound,Hardware and Sound.lnk,2,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,35,35,::{025A5937-A6BE-4686-A844-36FE4BEC8B6D},Power Options.lnk,3,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,10,10,DemGun.jpg,DemGun.lnk,4,,2018-04-06 08:29:08.3310755
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,34,34,LeftUsesBoycotts.pdf,LeftUsesBoycotts.lnk,5,,2018-04-06 03:56:32.0849141
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,33,33,AMEN.pdf,AMEN.lnk,6,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,12,12,Planning.docx,Planning.lnk,7,,2018-04-05 08:32:48.7241505
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,32,32,UKknifeBan.pdf,UKknifeBan.lnk,8,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,31,31,SelfDefenseisMurder.pdf,SelfDefenseisMurder.lnk,9,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,30,30,Cloudy thoughts (4apr).docx,Cloudy thoughts (4apr).lnk,10,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,29,29,Desktop,Desktop.lnk,11,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,7,7,OneDrive,OneDrive.lnk,12,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,28,28,Operation 2nd Hand Smoke.pptx,Operation 2nd Hand Smoke.lnk,13,,2018-04-04 05:31:23.8557662
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,13,13,AIRPORT INFORMATION.docx,AIRPORT INFORMATION.lnk,14,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,27,27,The Cloudy Manifesto.docx,The Cloudy Manifesto.lnk,15,,
