Extension,BatchKeyPath,ValueName,BatchValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,28,28,Operation 2nd Hand Smoke.pptx,Operation 2nd Hand Smoke.lnk,0,2018-04-04 05:31:23.8713902,2018-04-04 05:31:23.8557662
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,12,12,Planning.docx,Planning.lnk,1,,2018-04-04 05:30:41.4647370
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,13,13,AIRPORT INFORMATION.docx,AIRPORT INFORMATION.lnk,2,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,27,27,The Cloudy Manifesto.docx,The Cloudy Manifesto.lnk,3,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,16,16,Sheep.jpg,Sheep.lnk,4,,2018-04-02 01:12:52.0164675
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,26,26,HoldMyTidePod.jpg,HoldMyTidePod.lnk,5,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,22,22,DeathToll.jpg,DeathToll.lnk,6,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,25,25,Huckleberry.png,Huckleberry.lnk,7,,2018-03-31 04:23:25.3006980
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,24,24,DemLogic.jpg,DemLogic.lnk,8,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,23,23,RedGuns.jpg,RedGuns.lnk,9,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,21,21,BladeofGrass.jpg,BladeofGrass.lnk,10,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,20,20,CubaDearmed.jpg_large,CubaDearmed.jpg_large.lnk,11,,2018-03-30 21:22:55.9720790
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,19,19,"Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html","Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.lnk",12,,2018-03-30 04:32:26.0088129
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,18,18,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.html,Larry King_ Time to Repeal the 'Poorly Written' Second Amendment.lnk,13,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,17,17,DarkWolf.png,DarkWolf.lnk,14,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,15,15,MyTiredHead.jpg,MyTiredHead.lnk,15,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,14,14,HoldMyTidePod.jpg_large,HoldMyTidePod.jpg_large.lnk,16,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,11,11,Downloads,Downloads.lnk,17,,2018-03-29 23:17:51.8377673
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,10,10,DemGun.jpg,DemGun.lnk,18,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,3,3,The Internet,The Internet.lnk,19,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,9,9,defaultapps,ms-settingsdefaultapps.lnk,20,,
RecentDocs,ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,8,8,pdp?ProductId=9WZDNCRFJ1P3&ocid=QF,ms-windows-storepdpProductId=9WZDNCRFJ1P3&ocid=QF.lnk,21,,
