Timestamp,BatchKeyPath,KeyName,BatchValueName,DisplayName,DisplayVersion,Publisher,InstallDate,InstallSource,InstallLocation,UninstallString
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2017-09-29 14:41:52.4664008,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2017-09-29 14:41:52.4664008,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2,MPlayer2,Multiple,,,,,,,
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent,SchedulingAgent,Multiple,,,,,,,
2018-03-27 09:21:06.3805731,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\VulkanRT1.0.26.0,VulkanRT1.0.26.0,Multiple,Vulkan Run Time Libraries 1.0.26.0,1.0.26.0,"LunarG, Inc.",,,,C:\Program Files (x86)\VulkanRT\1.0.26.0\UninstallVulkanRT.exe
2017-09-29 13:48:40.4386352,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\WIC,WIC,Multiple,,,,,,,
