KeyName,BatchKeyPath,DisplayName,BatchValueName,InstallTime,PackageRootFolder
1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\1527c705-839a-4832-9118-54d4Bd6a0c89_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3211608,
c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\c5e2524a-ea46-4f67-841f-6a9465d9d515_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3211608,
E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\E2A4F912-2574-4A75-9BB0-0D023378592B_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3211608,
F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3211608,
InputApp_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\InputApp_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3211608,
Microsoft.AAD.BrokerPlugin_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,@{Microsoft.AAD.BrokerPlugin_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName},Multiple,2018-03-27 05:19:59.6335664,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy
Microsoft.AccountsControl_10.0.16299.15_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.AccountsControl_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3211608,
Microsoft.BingWeather_4.21.2492.0_x64__8wekyb3d8bbwe,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BingWeather_8wekyb3d8bbwe,,Multiple,2018-03-27 05:20:02.3524119,
Microsoft.BioEnrollment_10.0.16299.15_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.BioEnrollment_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3211608,
Microsoft.CredDialogHost_10.0.16299.15_neutral__cw5n1h2txyewy,S-1-5-21-2734969515-1644526556-1039763013-1001_Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppModel\Repository\Families\Microsoft.CredDialogHost_cw5n1h2txyewy,,Multiple,2018-03-27 05:20:02.3211608,
