LastAccessTime,TextTyped,FillIntoEdit,URL,Contents,Description,Type,Keyword,TimesSelectedByUser,ID,SourceFile
2018-03-27 19:34:08,can i sync a file to multiple cloud storage locations,can i sync a file to multiple cloud storage locations,https://www.google.com/search?q=can+i+sync+a+file+to+multiple+cloud+storage+locations&rlz=1C1CHBF_enUS790US790&oq=can+i+sync+a+file+to+multiple+cloud+storage+locations&aqs=chrome..69i57.8814j0j4&sourceid=chrome&ie=UTF-8,can i sync a file to multiple cloud storage locations,Google Search,7,google.com,1,2c02bd27-422a-4a08-86d5-f7cd1672b71d,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 19:38:10,odrive.com,odrive.com,http://odrive.com/,odrive.com,,1,,1,5931687c-14cf-4dbe-947c-89493be4394a,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 19:42:35,cloud storage solutions,cloud storage solutions,https://www.google.com/search?q=cloud+storage+solutions&rlz=1C1CHBF_enUS790US790&oq=cloud+storage+solutions&aqs=chrome..69i57j0l5.2949j0j7&sourceid=chrome&ie=UTF-8,cloud storage solutions,Google Search,7,google.com,1,4146109b-fbf7-4c6d-a7c2-69ceaaf40df2,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 19:46:32,amazon cloud storage,amazon cloud storage,https://www.google.com/search?q=amazon+cloud+storage&rlz=1C1CHBF_enUS790US790&oq=amazon+cloud+storage&aqs=chrome..69i57j0l5.3373j0j7&sourceid=chrome&ie=UTF-8,amazon cloud storage,Google Search,7,google.com,1,69113f72-ca1e-49ae-91a3-31cb3f154cdc,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 19:47:58,sync amazon s3 from desktop?,sync amazon s3 from desktop?,https://www.google.com/search?q=sync+amazon+s3+from+desktop%3F&rlz=1C1CHBF_enUS790US790&oq=sync+amazon+s3+from+desktop%3F&aqs=chrome..69i57.6981j0j7&sourceid=chrome&ie=UTF-8,sync amazon s3 from desktop?,Google Search,7,google.com,1,80a3f245-6e77-42d2-b541-5742684f5854,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 19:48:18,tntdrive,tntdrive,https://www.google.com/search?q=tntdrive&rlz=1C1CHBF_enUS790US790&oq=tntdrive&aqs=chrome..69i57.1436j0j9&sourceid=chrome&ie=UTF-8,tntdrive,Google Search,7,google.com,1,4787daf4-53d7-4b69-a908-e08b74b8d31c,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 19:49:10,"tntdrive vs ",tntdrive vs,https://www.google.com/search?q=tntdrive+vs&rlz=1C1CHBF_enUS790US790&oq=tntdrive+vs+&aqs=chrome..69i57.4159j0j7&sourceid=chrome&ie=UTF-8,tntdrive vs,Google Search,7,google.com,1,c63fdf09-7aad-4abe-90a7-dc32a6705733,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 19:50:07,s3 desktop client,s3 desktop client,https://www.google.com/search?q=s3+desktop+client&rlz=1C1CHBF_enUS790US790&oq=s3+desktop+client&aqs=chrome..69i57j0.3528j0j4&sourceid=chrome&ie=UTF-8,s3 desktop client,Google Search,7,google.com,1,f6d05b58-f4d5-4075-a8bb-53241ed39e3a,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 20:01:35,dropbox,dropbox,https://www.google.com/search?q=dropbox&rlz=1C1CHBF_enUS790US790&oq=dropbox&aqs=chrome..69i57j0l5.3496j0j7&sourceid=chrome&ie=UTF-8,dropbox,Google Search,7,google.com,1,f0dc85c9-881f-4279-84f8-a37671c660e3,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 20:03:56,box storage,box storage,https://www.google.com/search?q=box+storage&rlz=1C1CHBF_enUS790US790&oq=box+storage&aqs=chrome..69i57.3334j0j7&sourceid=chrome&ie=UTF-8,box storage,Google Search,7,google.com,1,b2d3e584-5c85-4fce-abaf-9035e77e7c70,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 20:04:45,stream futurama,stream futurama,https://www.google.com/search?q=stream+futurama&rlz=1C1CHBF_enUS790US790&oq=stream+futurama&aqs=chrome..69i57j0l5.5355j1j7&sourceid=chrome&ie=UTF-8,stream futurama,Google Search,7,google.com,1,0dd8a837-c7fe-4014-93dd-0b45c173d549,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 20:45:31,црн шы ьн сщьзгеук ензштп шт снкшдшл,црн шы ьн сщьзгеук ензштп шт снкшдшл,https://www.google.com/search?q=%D1%86%D1%80%D0%BD+%D1%88%D1%8B+%D1%8C%D0%BD+%D1%81%D1%89%D1%8C%D0%B7%D0%B3%D0%B5%D1%83%D0%BA+%D0%B5%D0%BD%D0%B7%D1%88%D1%82%D0%BF+%D1%88%D1%82+%D1%81%D0%BD%D0%BA%D1%88%D0%B4%D1%88%D0%BB&rlz=1C1CHBF_enUS790US790&oq=%D1%86%D1%80%D0%BD+%D1%88%D1%8B+%D1%8C%D0%BD+%D1%81%D1%89%D1%8C%D0%B7%D0%B3%D0%B5%D1%83%D0%BA+%D0%B5%D0%BD%D0%B7%D1%88%D1%82%D0%BF+%D1%88%D1%82+%D1%81%D0%BD%D0%BA%D1%88%D0%B4%D1%88%D0%BB&aqs=chrome..69i57.14869j0j7&sourceid=chrome&ie=UTF-8,црн шы ьн сщьзгеук ензштп шт снкшдшл,Google Search,7,google.com,1,d5114c2f-f461-4111-b13a-947533fa5f01,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 20:49:29,ApMsgfwd,ApMsgfwd,https://www.google.com/search?q=ApMsgfwd&rlz=1C1CHBF_enUS790US790&oq=ApMsgfwd&aqs=chrome..69i57j0l5.5897j1j7&sourceid=chrome&ie=UTF-8,ApMsgfwd,Google Search,7,google.com,1,435edead-e584-43f5-bcdc-726a3ea88005,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 20:55:24,mega cloud storage,mega cloud storage,https://www.google.com/search?q=mega+cloud+storage&rlz=1C1CHBF_enUS790US790&oq=mega+cloud+storage&aqs=chrome.0.0l6.3353j1j7&sourceid=chrome&ie=UTF-8,mega cloud storage,Google Search,7,google.com,1,49f878a9-b2c7-4128-89aa-c6c22c842fba,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
2018-03-27 20:56:42,ruger 10-22,ruger 10-22,https://www.google.com/search?q=ruger+10-22&rlz=1C1CHBF_enUS790US790&oq=ruger+10-22&aqs=chrome..69i57j0l5.6556j1j7&sourceid=chrome&ie=UTF-8,ruger 10-22,Google Search,7,google.com,1,7024ce11-a8c9-4a15-88cb-f1e9c5d1f74b,C:\temp\2024LoneWolf\tout\D\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\Shortcuts
