ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Language,Usn,Description
S3 Browser version 7.6.9,00000dc2b5a1cd9889f573e36bdb64bfb65f0000ffff,2018-03-27 23:57:55,930649a0bf5969bec6acb7cb6f6dd234367623f7,False,c:\program files\s3 browser\s3browser-con.exe,s3browser-con.exe,.exe,2018-03-27 10:09:41,s3 browser command line tool,618112,7.6.9.0,7.6.9.0,s3browser-con.ex|17bd3c01c5c7a4b,pe32_clr_il,True,7.6.9.0,7.6.9.0,0,0,
S3 Browser version 7.6.9,00000dc2b5a1cd9889f573e36bdb64bfb65f0000ffff,2018-03-27 23:57:55,97ad220fe68e5e68f377d1b0dca28719a307148e,False,c:\program files\s3 browser\s3browser-win32.exe,s3browser-win32.exe,.exe,2018-03-27 10:09:35,s3 browser,3042432,7.6.9.0,7.6.9.0,s3browser-win32.|6e37b48855cf6617,pe32_clr_il,True,7.6.9.0,7.6.9.0,0,0,
S3 Browser version 7.6.9,00000dc2b5a1cd9889f573e36bdb64bfb65f0000ffff,2018-03-27 23:57:55,3fc9c09d37a67e19d3cb47db8bc15fb42662d9e1,False,c:\program files\s3 browser\unins000.exe,unins000.exe,.exe,1992-06-19 22:22:17,,719521,51.52.0.0,,unins000.exe|fbe4a2b6f01c1e66,pe32_i386,True,51.52.0.0,0.0.0.0,0,0,
Google Chrome,00002e66c77baab7ebb44c2738eab3cf3c3c0000ffff,2018-03-27 09:47:39,465da61a183afc43f0556ec718c321a7a6a45d54,False,c:\program files (x86)\google\chrome\application\65.0.3325.181\installer\chrmstp.exe,chrmstp.exe,.exe,2018-03-20 03:31:53,google chrome installer,1921368,65.0.3325.181,65.0.3325.181,chrmstp.exe|23efb43e847802a6,pe64_amd64,True,65.0.3325.181,65.0.3325.181,1033,0,
Google Chrome,00002e66c77baab7ebb44c2738eab3cf3c3c0000ffff,2018-03-27 09:47:39,e5f54a2f3a004af4c3cd24883b4f1ce38ee583d8,False,c:\program files (x86)\google\chrome\application\chrome.exe,chrome.exe,.exe,,,1589592,65.0.3325.181,,chrome.exe|467d7dab451d03b5,pe64_amd64,True,65.0.3325.181,,1033,0,
Google Chrome,00002e66c77baab7ebb44c2738eab3cf3c3c0000ffff,2018-03-27 09:47:39,465da61a183afc43f0556ec718c321a7a6a45d54,False,c:\program files (x86)\google\chrome\application\65.0.3325.181\installer\setup.exe,setup.exe,.exe,2018-03-20 03:31:53,google chrome installer,1921368,65.0.3325.181,65.0.3325.181,setup.exe|e4e9f7e025838c05,pe64_amd64,True,65.0.3325.181,65.0.3325.181,1033,0,
Box Sync,00002fd1fcf05abed5137d6c077ca1e218190000ffff,2018-03-28 00:45:18,6c2b4c64d48f8f2fd01ae4f1a618e2f9f2004131,False,c:\programdata\package cache\{7a31e654-f419-48e9-8dad-aa87dd7294f1}\boxsyncsetup.exe,boxsyncsetup.exe,.exe,2016-01-16 21:18:53,box sync,582440,4.0.7886.0,4.0.7886.0,boxsyncsetup.exe|975a1f2e5ea8aea8,pe32_i386,True,4.0.7886.0,4.0.7886.0,1033,0,
NVIDIA Stereoscopic 3D Driver,00003296c2213f9eb2df1a5ab5107c003ebe0000ffff,2018-03-27 09:47:39,2f56f14b9692ea55767a05d93b8a05928d0d21e2,False,c:\program files (x86)\nvidia corporation\3d vision\nvstereoutilityogl.exe,nvstereoutilityogl.exe,.exe,2012-10-09 20:38:18,nvidia opengl stereo sample,903104,"1, 2, 2, 0","1, 2, 2, 0",nvstereoutilityo|c1be8f27ad97ab98,pe32_i386,True,1.2.2.0,1.2.2.0,1033,0,
NVIDIA Stereoscopic 3D Driver,00003296c2213f9eb2df1a5ab5107c003ebe0000ffff,2018-03-27 09:47:39,684d6dd30b890d4a04709e7f42ea29e27a08d1bd,False,c:\program files (x86)\nvidia corporation\3d vision\nvstinst.exe,nvstinst.exe,.exe,2016-12-29 12:25:30,stereoscpic 3d driver installer api,351680,7.17.13.7654,7.17.13.7654,nvstinst.exe|8da96c397a193014,pe32_i386,True,7.17.13.7654,7.17.13.7654,1033,0,
NVIDIA Stereoscopic 3D Driver,00003296c2213f9eb2df1a5ab5107c003ebe0000ffff,2018-03-27 09:47:39,74d74ea71b808d3e44c83a65de0987ffc755a1c4,False,c:\program files (x86)\nvidia corporation\3d vision\nvstlink.exe,nvstlink.exe,.exe,2016-12-29 12:25:27,nvidia geforce 3d vision,626624,7.17.13.7654,7.17.13.7654,nvstlink.exe|a614026faef887da,pe32_i386,True,7.17.13.7654,7.17.13.7654,1033,0,
