KeyName,KeyLastWriteTimestamp,BusReportedDescription,Class,ClassGuid,Compid,ContainerId,Description,DriverId,DriverPackageStrongName,DriverName,DriverVerDate,DriverVerVersion,Enumerator,HWID,Inf,InstallState,Manufacturer,MatchingId,Model,ParentId,ProblemCode,Provider,Service,Stackid
acpi/acpi0003/2&daba3ff&0,2018-04-06 07:23:10,,battery,{72631e54-78a4-11d0-bcf7-00aa00b7b32a},,{27db0821-3bf9-f71a-f96f-a53403857690},Microsoft AC Adapter,0000d1dadc499e8dc5a9983e11cd3bee0b21f81b575c,cmbatt.inf_amd64_9ca36089ed7a3600,cmbatt.sys,06-21-2006,10.0.16299.15,acpi,"acpi\ven_acpi&dev_0003,acpi\acpi0003,*acpi0003",cmbatt.inf,0,Microsoft,acpi\acpi0003,Microsoft AC Adapter,acpi_hal\pnp0c08\0,0,Microsoft,cmbatt,"\driver\cmbatt,\driver\acpi"
acpi/dellabce/2&daba3ff&0,2018-04-06 07:23:10,,hidclass,{745a17a0-74d3-11d0-b6fe-00a0c90f57da},,{27db0821-3bf9-f71a-f96f-a53403857690},Airplane Mode Switch,0000a157f88703fe847f4dc1e8417e6667e23ea6fa43,dellrbtn.inf_amd64_f97e65ab5ad63c31,dellrbtn.sys,10-26-2016,17.38.40.165,acpi,"acpi\ven_dell&dev_abce,acpi\dellabce,*dellabce",oem2.inf,0,Dell Inc,acpi\dellabce,Airplane Mode Switch,acpi_hal\pnp0c08\0,0,Dell Inc,dellrbtn,"\driver\mshidkmdf,\driver\dellrbtn,\driver\acpi"
acpi/dll0534/4&13ba94af&0,2018-04-06 07:23:10,,mouse,{4d36e96f-e325-11ce-bfc1-08002be10318},*pnp0f13,{27db0821-3bf9-f71a-f96f-a53403857690},Dell Touchpad,00008326c9fe82683d792eb2c3b1f94ec17c17d3d893,apfiltr.inf_amd64_2d4012c4b3408b59,i8042prt.sys,06-23-2015,10.1207.101.103,acpi,"acpi\ven_dll&dev_0534,acpi\dll0534,*dll0534",oem3.inf,0,Alps Electric,acpi\dll0534,Dell Touchpad,pci\ven_8086&dev_1e55&subsys_05341028&rev_04\3&11583659&0&f8,0,Alps,i8042prt,"\driver\mouclass,\driver\apfiltrservice,\driver\i8042prt,\driver\acpi"
acpi/dllk0534/4&13ba94af&0,2018-04-06 07:23:10,,keyboard,{4d36e96b-e325-11ce-bfc1-08002be10318},*pnp0303,{27db0821-3bf9-f71a-f96f-a53403857690},Standard PS/2 Keyboard,00008326c9fe82683d792eb2c3b1f94ec17c17d3d893,keyboard.inf_amd64_604ef8d09f87f339,i8042prt.sys,06-21-2006,10.0.16299.15,acpi,"acpi\ven_dllk&dev_0534,acpi\dllk0534,*dllk0534",keyboard.inf,0,(Standard keyboards),*pnp0303,Standard PS/2 Keyboard,pci\ven_8086&dev_1e55&subsys_05341028&rev_04\3&11583659&0&f8,0,Microsoft,i8042prt,"\driver\kbdclass,\driver\i8042prt,\driver\acpi"
acpi/fixedbutton/2&daba3ff&0,2018-04-06 07:23:10,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},ACPI Fixed Feature Button,,machine.inf_amd64_2e357051cb5d7b68,,06-21-2006,10.0.16299.309,acpi,"acpi\fixedbutton,*fixedbutton",machine.inf,0,(Standard system devices),acpi\fixedbutton,ACPI Fixed Feature Button,acpi_hal\pnp0c08\0,0,Microsoft,,\driver\acpi
acpi/genuineintel_-_intel64_family_6_model_58_-________intel(r)_core(tm)_i5-3340m_cpu_@_2.70ghz/_1,2018-04-06 07:23:10,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i5-3340M CPU @ 2.70GHz,0000169dcd86ab668b4c51b95536675d8a38095d3af5,cpu.inf_amd64_24cae68cc0885265,intelppm.sys,04-21-2009,10.0.16299.15,acpi,"acpi\genuineintel_-_intel64_family_6_model_58,*genuineintel_-_intel64_family_6_model_58,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_58_-________intel(r)_core(tm)_i5-3340m_cpu_@_2.70ghz/_2,2018-04-06 07:23:10,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i5-3340M CPU @ 2.70GHz,0000169dcd86ab668b4c51b95536675d8a38095d3af5,cpu.inf_amd64_24cae68cc0885265,intelppm.sys,04-21-2009,10.0.16299.15,acpi,"acpi\genuineintel_-_intel64_family_6_model_58,*genuineintel_-_intel64_family_6_model_58,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_58_-________intel(r)_core(tm)_i5-3340m_cpu_@_2.70ghz/_3,2018-04-06 07:23:10,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i5-3340M CPU @ 2.70GHz,0000169dcd86ab668b4c51b95536675d8a38095d3af5,cpu.inf_amd64_24cae68cc0885265,intelppm.sys,04-21-2009,10.0.16299.15,acpi,"acpi\genuineintel_-_intel64_family_6_model_58,*genuineintel_-_intel64_family_6_model_58,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/genuineintel_-_intel64_family_6_model_58_-________intel(r)_core(tm)_i5-3340m_cpu_@_2.70ghz/_4,2018-04-06 07:23:10,,processor,{50127dc3-0f36-415e-a6cc-4cb3be910b65},acpi\processor,{27db0821-3bf9-f71a-f96f-a53403857690},Intel(R) Core(TM) i5-3340M CPU @ 2.70GHz,0000169dcd86ab668b4c51b95536675d8a38095d3af5,cpu.inf_amd64_24cae68cc0885265,intelppm.sys,04-21-2009,10.0.16299.15,acpi,"acpi\genuineintel_-_intel64_family_6_model_58,*genuineintel_-_intel64_family_6_model_58,acpi\genuineintel_-_intel64_family_6,*genuineintel_-_intel64_family_6,acpi\genuineintel_-_intel64,*genuineintel_-_intel64",cpu.inf,0,Intel,acpi\genuineintel_-_intel64,Intel Processor,acpi_hal\pnp0c08\0,0,Microsoft,intelppm,"\driver\intelppm,\driver\acpi"
acpi/int0800/4&13ba94af&0,2018-04-06 07:23:10,,system,{4d36e97d-e325-11ce-bfc1-08002be10318},,{27db0821-3bf9-f71a-f96f-a53403857690},Legacy device,,machine.inf_amd64_2e357051cb5d7b68,,06-21-2006,10.0.16299.309,acpi,"acpi\ven_int&dev_0800,acpi\int0800,*int0800",machine.inf,0,Intel,*int0800,Legacy device,pci\ven_8086&dev_1e55&subsys_05341028&rev_04\3&11583659&0&f8,0,Microsoft,,\driver\acpi
