ProgramId,KeyLastWriteTimestamp,Name,Version,Publisher,InstallDate,OSVersionAtInstallTime,BundleManifestPath,HiddenArp,InboxModernApp,Language,ManifestPath,MsiPackageCode,MsiProductCode,PackageFullName,ProgramInstanceId,RegistryKeyPath,RootDirPath,Type,Source,StoreAppType,UninstallString,InstallDateArpLastModified,InstallDateMsi,InstallDateFromLinkFile,Manufacturer
000001d8af836d5ce5b71a9cbcdc40b7427d00000904,2018-04-06 07:23:10,Microsoft.CredDialogHost,10.0.16299.15,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\microsoft.creddialoghost_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.CredDialogHost_10.0.16299.15_neutral__cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\microsoft.creddialoghost_cw5n1h2txyewy,Application,AppxPackage,,,,,,
0000075bc4b768a9995a3fce0a1fb7e69ccb00000904,2018-04-06 07:23:11,Microsoft.Windows.Apprep.ChxApp,1000.16299.15.0,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.Windows.Apprep.ChxApp_1000.16299.15.0_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy,Application,AppxPackage,,,,,,
00000dc2b5a1cd9889f573e36bdb64bfb65f0000ffff,2018-04-06 07:23:13,S3 Browser version 7.6.9,7.6.9.0,"NetSDK Software, LLC",2018-03-27 00:00:00,10.0.0.16299,,False,False,65535,,,,,0000f44620906b00b288f95eb976514d12fab3218caa,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\S3 Browser_is1,C:\Program Files\S3 Browser\,Application,AddRemoveProgram,,"""C:\Program Files\S3 Browser\unins000.exe""",,,,
00000fc3503551184adba68eddccdc6e893d00000904,2018-04-06 07:23:11,Microsoft.Windows.ShellExperienceHost,10.0.16299.15,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.Windows.ShellExperienceHost_10.0.16299.15_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy,Application,AppxPackage,,,,,,
0000108027b6e31a078a871b624c0480d8ff00000008,2018-04-06 07:23:13,NVIDIA Control Panel 376.54,376.54,NVIDIA Corporation,2018-03-27 00:00:00,10.0.0.16299,,True,False,2048,,,{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}_Display.ControlPanel,C:\Program Files\NVIDIA Corporation\Control Panel Client,Application,Msi,,,,,,
000011e5a068738f5c5eab79c18a4994a69800000904,2018-04-06 07:23:12,Microsoft.XboxIdentityProvider,12.39.13003.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.XboxIdentityProvider_12.39.13003.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.XboxIdentityProvider_12.39.13003.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.XboxIdentityProvider_12.39.13003.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.XboxIdentityProvider_12.39.13003.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
00001269da44e280c83454c1f87462f77aa300000000,2018-04-06 07:23:13,Office 16 Click-to-Run Licensing Component,16.0.8431.2236,Microsoft Corporation,2018-03-27 00:00:00,10.0.0.16299,,True,False,0,,{A6720C1C-5CF3-4D2E-9C0E-B810CF2AFBCD},{90160000-008F-0000-1000-0000000FF1CE},,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Uninstall\{90160000-008F-0000-1000-0000000FF1CE},,Application,Msi,,MsiExec.exe /I{90160000-008F-0000-1000-0000000FF1CE},,,,
000012ce77934677bf91a9ad8b094d749e2b00000904,2018-04-06 07:23:11,Microsoft.Windows.SecondaryTileExperience,10.0.0.0,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\Microsoft.Windows.SecondaryTileExperience_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.Windows.SecondaryTileExperience_10.0.0.0_neutral__cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.Windows.SecondaryTileExperience_cw5n1h2txyewy,Application,AppxPackage,,,,,,
000012d6546e6c1982d53be09b42c6ad9b9900000904,2018-04-06 07:23:12,Microsoft.GetHelp,10.1706.10602.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.GetHelp_10.1706.10602.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.GetHelp_10.1706.10602.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.GetHelp_10.1706.10602.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.GetHelp_10.1706.10602.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
000016944d2a1d815d44fa572a86d841816a00000904,2018-04-06 07:23:12,InputApp,1000.16299.251.0,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\InputApp_cw5n1h2txyewy\AppXManifest.xml,,,InputApp_1000.16299.251.0_neutral_neutral_cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\InputApp_cw5n1h2txyewy,Application,AppxPackage,,,,,,
00001a095ee1d755027acc88fa483f4aac6f00000904,2018-04-06 07:23:11,Microsoft.Windows.PinningConfirmationDialog,1000.16299.15.0,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,,False,True,1033,C:\Windows\SystemApps\Microsoft.Windows.PinningConfirmationDialog_cw5n1h2txyewy\AppXManifest.xml,,,Microsoft.Windows.PinningConfirmationDialog_1000.16299.15.0_neutral__cw5n1h2txyewy,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Windows\SystemApps\Microsoft.Windows.PinningConfirmationDialog_cw5n1h2txyewy,Application,AppxPackage,,,,,,
0000261855401c0938214ff5e871d0ce3c6a0000ffff,2018-04-06 07:23:13,Dropbox,46.4.65,"Dropbox, Inc.",2018-03-29 21:10:16,10.0.0.16299,,False,False,65535,,,,,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Dropbox,C:\Program Files (x86)\Dropbox\Client,Application,AddRemoveProgram,,"""C:\Program Files (x86)\Dropbox\Client\DropboxUninstaller.exe"" /InstallType:MACHINE",,,,
00002730013eae87ceadb1ef48021879d38a00000904,2018-04-06 07:23:11,Microsoft.ZuneVideo,10.17122.16211.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.ZuneVideo_2019.17122.16211.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.17122.16211.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.ZuneVideo_10.17122.16211.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.17122.16211.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
000027ace40c2a45fcc7679459e1cbaa5a4c00000904,2018-04-06 07:23:11,Microsoft.OneConnect,3.1710.3044.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.OneConnect_3.1710.3044.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.OneConnect_3.1710.3044.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.OneConnect_3.1710.3044.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.OneConnect_3.1710.3044.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
000028d2daf069e5883f5aae4b75c1566b6f00000904,2018-04-06 07:23:12,Microsoft.BingWeather,4.23.10923.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.23.10923.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
00002a8b5f4ff6780524c6e6695d160cae8d00000904,2018-04-06 07:23:11,Microsoft.StorePurchaseApp,11802.1802.23001.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,10.0.0.16299,C:\Program Files\WindowsApps\Microsoft.StorePurchaseApp_11802.1802.23014.0_neutral_~_8wekyb3d8bbwe\AppxMetadata\AppXBundleManifest.xml,False,True,1033,C:\Program Files\WindowsApps\Microsoft.StorePurchaseApp_11802.1802.23001.0_x64__8wekyb3d8bbwe\AppXManifest.xml,,,Microsoft.StorePurchaseApp_11802.1802.23001.0_x64__8wekyb3d8bbwe,0000da39a3ee5e6b4b0d3255bfef95601890afd80709,,C:\Program Files\WindowsApps\Microsoft.StorePurchaseApp_11802.1802.23001.0_x64__8wekyb3d8bbwe,Application,AppxPackage,,,,,,
00002e66c77baab7ebb44c2738eab3cf3c3c0000ffff,2018-04-06 07:23:13,Google Chrome,65.0.3325.181,Google Inc.,2018-03-27 00:00:00,10.0.0.16299,,False,False,65535,,,,,0000a6dbe26882cfe9dccecf16161f80c4c1c5a4974f,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Google Chrome,C:\Program Files (x86)\Google\Chrome\Application,Application,AddRemoveProgram,,"""C:\Program Files (x86)\Google\Chrome\Application\65.0.3325.181\Installer\setup.exe"" --uninstall --system-level --verbose-logging",,,,
00002fd1fcf05abed5137d6c077ca1e218190000ffff,2018-04-06 07:23:13,Box Sync,4.0.7886.0,Box Inc.,2018-03-28 00:44:23,10.0.0.16299,,True,False,65535,,,,,00006e2e0647fc274bfa344f33859bd528ad8e9fe1e1,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{7a31e654-f419-48e9-8dad-aa87dd7294f1},c:\programdata\package cache\{7a31e654-f419-48e9-8dad-aa87dd7294f1},Application,Msi,,"""C:\ProgramData\Package Cache\{7a31e654-f419-48e9-8dad-aa87dd7294f1}\BoxSyncSetup.exe""  /uninstall",,,,
