ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Language,Usn,Description
Unassociated,000614aa874452d51cb3fb381b279d691e2000000000,2018-03-28 07:43:42,d905ae5221f43e3b47109a10fec6474cb0eea687,False,c:\program files\nvidia corporation\installer2\display.3dvision.{b000d554-73c9-4982-b0ce-7feec8f7c5b2}\3dvision.exe,3dvision.exe,.exe,2016-12-14 18:24:16,nvidia package launcher,17390896,1.0.6,1.0.6,3dvision.exe|37847be148df68d,pe32_i386,True,1.0.6.0,1.0.6.0,0,0,
Unassociated,0006b3cd625f8d2317d954ee4149af83aa7700000904,2018-03-28 07:43:43,57a7ea9f8c2e9ab98eef41eeb5b0646dc47cbed3,False,c:\program files (x86)\google\update\download\{8a69d345-d564-463c-aff1-a69d9e530f96}\65.0.3325.181\65.0.3325.181_chrome_installer.exe,65.0.3325.181_chrome_installer.exe,.exe,2018-03-20 05:23:30,google chrome installer,48838248,65.0.3325.181,65.0.3325.181,65.0.3325.181_ch|8dc035939d30fbdd,pe64_amd64,True,65.0.3325.181,65.0.3325.181,1033,0,
Unassociated,00064c4c3683da1b4167c2b714f2bebad2f100000904,2018-03-27 09:47:39,d5ee62189436d9fdb34fc988341976e3b26a46ce,False,d:\akmonitor\akmonitor.exe,akmonitor.exe,.exe,1992-06-19 22:22:17,,719360,3.2.5.2,3.2,akmonitor.exe|de54bcb618d7d3f3,pe32_i386,True,3.2.5.2,3.2.5.2,1033,0,
Unassociated,0006ec15a955eeb06df4a95ee38d841f6dec00001104,2018-03-27 09:47:39,06ee209ec9a491b855e362b411ae12aae47c2a4a,False,c:\program files\delltpad\apmsgfwd.exe,apmsgfwd.exe,.exe,2014-07-01 09:03:05,apmsgfwd,81232,"8, 1, 0, 44","8, 1, 0, 44",apmsgfwd.exe|1a7ea340725b160a,pe64_amd64,True,8.1.0.44,8.1.0.44,1041,0,
Unassociated,0006948b5c2e32a2f7e19b2defbbf7d6191b00001104,2018-03-28 07:43:42,b1e7602bf36f2c903b007400ce4ef7e88ac0077c,False,c:\program files\delltpad\apntex.exe,apntex.exe,.exe,2014-01-14 14:46:33,alps pointing-device driver for windows,40312,"8, 1, 0, 34","8, 1, 0, 34",apntex.exe|263d9e04a6965fe4,pe64_amd64,True,8.1.0.34,8.1.0.34,1041,0,
Unassociated,0006feb0a0211303419cb98be0afa53a92df00001104,2018-03-27 09:47:39,ff78fd812c6868b31ed6234b14dc229d4f3c92f0,False,c:\program files\delltpad\apoint.exe,apoint.exe,.exe,2015-05-29 08:14:20,alps pointing-device driver,745288,"10, 1, 101, 207","10, 1, 101, 207",apoint.exe|e930cc53218a4a61,pe64_amd64,True,10.1.101.207,10.1.101.207,1041,0,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2018-03-27 09:47:39,065d0ce0ed4e8f18ed2f9909ba02f09c20857e1c,True,c:\windows\system32\applicationframehost.exe,applicationframehost.exe,.exe,2097-02-05 07:03:55,microsoft® windows® operating system,69288,10.0.16299.15 (winbuild.160101.0800),10.0.16299.15,applicationframe|7c5c9be1b612bbd,pe64_amd64,True,10.0.16299.15,10.0.16299.15,1033,0,
Unassociated,000659dad9265ac09f9613e1cf238b0f48d600000904,2018-03-28 07:43:42,a6f7047ed1d70910bfd26d6cde8ba57f90505057,False,c:\program files\common files\microsoft shared\clicktorun\appvcleaner.exe,appvcleaner.exe,.exe,2017-03-28 18:48:00,microsoft application virtualization (app-v),2063152,5.0.10348.0,5.0.10348.0,appvcleaner.exe|a277b7d55e210668,pe64_amd64,True,5.0.10348.0,5.0.10348.0,1033,0,
Unassociated,000659dad9265ac09f9613e1cf238b0f48d600000904,2018-03-28 07:43:42,42b0696503f995bd708543b1aef91ff2cd65019c,False,c:\program files\common files\microsoft shared\clicktorun\appvshnotify.exe,appvshnotify.exe,.exe,2017-03-28 18:43:31,microsoft application virtualization (app-v),273200,5.0.10348.0,5.0.10348.0,appvshnotify.exe|8d1f583773715b8f,pe64_amd64,True,5.0.10348.0,5.0.10348.0,1033,0,
Unassociated,00009fec60fc8a74a6da1d0ac037d8c1401900000904,2018-03-28 00:45:18,2fea865297ecd2fd1f04e4ef55ca26b364985f54,False,c:\program files\box\box sync\boxsync.exe,boxsync.exe,.exe,,,5991576,4.0.7886.0,,boxsync.exe|716ffb69194e9da2,pe64_amd64,True,4.0.7886.0,,0,0,
