ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Windows\system32\MusNotificationUX.exe,2018-03-01 05:53:41,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,1,C:\Users\jcloudy\AppData\Local\Microsoft\OneDrive\18.025.0204.0009\FileCoAuth.exe,2018-03-27 09:22:00,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,2,C:\Windows\system32\defrag.exe,2017-09-29 13:41:44,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,3,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,2017-09-29 13:43:06,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,4,C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,2017-09-29 13:43:16,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,5,00000009	07e2466530840000	000a00003fab0000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,6,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2018.18021.12420.0_x64__8wekyb3d8bbwe\Application,2018-03-27 10:49:08,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,7,00000009	07e2466530840000	000a000042680000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,8,C:\Program Files\WindowsApps\Microsoft.XboxApp_39.39.21002.0_x64__8wekyb3d8bbwe\Application,2018-03-27 10:47:39,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,9,00000009	00270027520a0000	000a00003ad70000	8664	Microsoft.XboxApp	8wekyb3d8bbwe	,,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,10,C:\Program Files\WindowsApps\Microsoft.WindowsStore_11802.1001.11.0_x64__8wekyb3d8bbwe\Application,2018-03-27 09:54:54,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,11,C:\Program Files\WindowsApps\Microsoft.SkypeApp_12.1811.248.0_x64__kzf8qxf38zg5c\Application,2018-03-27 10:47:25,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,12,00000009	000c071300f80000	000a00003fab0000	8664	Microsoft.SkypeApp	kzf8qxf38zg5c	,,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
1,13,00000009	07e1045d000a0000	000a00003ad70000	8664	Microsoft.WindowsCamera	8wekyb3d8bbwe	,,NA,False,M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM
