BatchKeyPath,BatchValueName,Program,ExecutionTime
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-18,\Device\HarddiskVolume4\Windows\System32\csrss.exe,\Device\HarddiskVolume4\Windows\System32\csrss.exe,2018-04-06 12:40:38.8104203
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1000,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,2018-03-27 09:19:58.1960180
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1000,Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,2018-03-27 09:16:34.8967130
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,2018-03-28 00:44:24.3498724
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.Windows.Cortana_cw5n1h2txyewy,Microsoft.Windows.Cortana_cw5n1h2txyewy,2018-04-06 12:48:01.8702004
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files\DellTPad\Apoint.exe,\Device\HarddiskVolume4\Program Files\DellTPad\Apoint.exe,2018-03-27 23:29:47.1324839
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Windows\System32\notepad.exe,\Device\HarddiskVolume4\Windows\System32\notepad.exe,2018-03-27 09:26:36.4187281
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,windows.immersivecontrolpanel_cw5n1h2txyewy,windows.immersivecontrolpanel_cw5n1h2txyewy,2018-04-06 12:46:38.9842303
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.MicrosoftEdge_8wekyb3d8bbwe,Microsoft.MicrosoftEdge_8wekyb3d8bbwe,2018-03-31 04:12:39.5604558
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files (x86)\Google\Chrome\Application\chrome.exe,\Device\HarddiskVolume4\Program Files (x86)\Google\Chrome\Application\chrome.exe,2018-04-06 12:51:31.4768689
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,\Device\HarddiskVolume4\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,2018-04-06 12:29:35.6363661
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe,\Device\HarddiskVolume4\Program Files\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe,2018-04-06 12:29:32.4238547
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.Office.OneNote_8wekyb3d8bbwe,Microsoft.Office.OneNote_8wekyb3d8bbwe,2018-04-06 07:24:29.1368733
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,2018-03-27 09:54:13.5439528
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Windows\System32\cmd.exe,\Device\HarddiskVolume4\Windows\System32\cmd.exe,2018-04-05 02:05:02.3333851
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Windows\System32\OpenWith.exe,\Device\HarddiskVolume4\Windows\System32\OpenWith.exe,2018-04-02 01:10:22.2235821
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.WindowsStore_8wekyb3d8bbwe,Microsoft.WindowsStore_8wekyb3d8bbwe,2018-04-06 12:27:40.6863410
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,microsoft.microsoftskydrive_8wekyb3d8bbwe,microsoft.microsoftskydrive_8wekyb3d8bbwe,2018-03-27 09:55:16.3848756
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.LockApp_cw5n1h2txyewy,Microsoft.LockApp_cw5n1h2txyewy,2018-03-30 03:03:20.5344119
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files\Google\Drive\googledrivesync.exe,\Device\HarddiskVolume4\Program Files\Google\Drive\googledrivesync.exe,2018-04-05 08:32:48.7574026
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files\S3 Browser\s3browser-win32.exe,\Device\HarddiskVolume4\Program Files\S3 Browser\s3browser-win32.exe,2018-04-05 06:08:37.8513746
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files (x86)\Dropbox\Client\Dropbox.exe,\Device\HarddiskVolume4\Program Files (x86)\Dropbox\Client\Dropbox.exe,2018-04-06 12:35:21.0321049
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files\Box\Box Sync\BoxSync.exe,\Device\HarddiskVolume4\Program Files\Box\Box Sync\BoxSync.exe,2018-04-05 02:05:05.4284491
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE,\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE,2018-04-05 08:32:48.8116276
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.WindowsCalculator_8wekyb3d8bbwe,Microsoft.WindowsCalculator_8wekyb3d8bbwe,2018-03-31 20:09:50.3495712
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.Windows.Photos_8wekyb3d8bbwe,Microsoft.Windows.Photos_8wekyb3d8bbwe,2018-04-06 12:46:49.4439723
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Users\jcloudy\AppData\Local\Microsoft\OneDrive\OneDrive.exe,\Device\HarddiskVolume4\Users\jcloudy\AppData\Local\Microsoft\OneDrive\OneDrive.exe,2018-04-04 05:59:40.9709490
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE,\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE,2018-04-04 05:11:29.8784631
ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,Microsoft.BingWeather_8wekyb3d8bbwe,Microsoft.BingWeather_8wekyb3d8bbwe,2018-04-04 05:40:26.3373909
