BatchKeyPath,BatchValueName,Name,Description,DisplayName,StartMode,ServiceType,NameKeyLastWrite,ParametersKeyLastWrite,Group,ImagePath,ServiceDLL,RequiredPrivileges
ROOT\ControlSet001\Services,None,.NET CLR Data,,,Disabled,Adapter,2018-03-27 09:38:47.5741960,,,,,
ROOT\ControlSet001\Services,None,.NET CLR Networking,,,Disabled,Adapter,2018-03-27 09:38:47.5741960,,,,,
ROOT\ControlSet001\Services,None,.NET CLR Networking 4.0.0.0,,,Disabled,Adapter,2017-09-29 13:47:03.9470010,,,,,
ROOT\ControlSet001\Services,None,.NET Data Provider for Oracle,,,Disabled,Adapter,2017-09-29 13:47:03.9470010,,,,,
ROOT\ControlSet001\Services,None,.NET Data Provider for SqlServer,,,Disabled,Adapter,2017-09-29 13:47:03.9470010,,,,,
ROOT\ControlSet001\Services,None,.NET Memory Cache 4.0,,,Disabled,Adapter,2017-09-29 13:47:03.9470010,,,,,
ROOT\ControlSet001\Services,None,.NETFramework,,,Disabled,Adapter,2017-09-29 13:47:03.9470010,,,,,
ROOT\ControlSet001\Services,None,1394ohci,,"@1394.inf,%PCI\CC_0C0010.DeviceDesc%;1394 OHCI Compliant Host Controller",Manual,KernelDriver,2017-09-29 13:46:10.4271180,,,\SystemRoot\System32\drivers\1394ohci.sys,,
ROOT\ControlSet001\Services,None,3ware,,,Boot,KernelDriver,2018-03-27 12:11:29.6794612,2017-09-29 13:46:10.4739968,SCSI miniport,System32\drivers\3ware.sys,,
ROOT\ControlSet001\Services,None,ACPI,,"@acpi.inf,%ACPI.SvcDesc%;Microsoft ACPI Driver",Boot,KernelDriver,2018-03-27 21:45:39.6509122,2018-04-06 12:26:15.6388758,Core,System32\drivers\ACPI.sys,,
ROOT\ControlSet001\Services,None,AcpiDev,,"@acpidev.inf,%AcpiDev.SvcDesc%;ACPI Devices driver",Manual,KernelDriver,2017-09-29 13:46:10.2083498,,Extended Base,\SystemRoot\System32\drivers\AcpiDev.sys,,
ROOT\ControlSet001\Services,None,acpiex,,Microsoft ACPIEx Driver,Boot,KernelDriver,2018-03-27 12:11:28.5252690,2018-03-27 12:13:12.6191516,Boot Bus Extender,System32\Drivers\acpiex.sys,,
ROOT\ControlSet001\Services,None,acpipagr,,"@acpipagr.inf,%SvcDesc%;ACPI Processor Aggregator Driver",Manual,KernelDriver,2017-09-29 13:46:19.1778241,,,\SystemRoot\System32\drivers\acpipagr.sys,,
ROOT\ControlSet001\Services,None,AcpiPmi,,"@acpipmi.inf,%AcpiPmi.SvcDesc%;ACPI Power Meter Driver",Manual,KernelDriver,2017-09-29 13:46:07.9425411,,,\SystemRoot\System32\drivers\acpipmi.sys,,
ROOT\ControlSet001\Services,None,acpitime,,"@acpitime.inf,%AcpiTime.SvcDesc%;ACPI Wake Alarm Driver",Manual,KernelDriver,2017-09-29 13:46:19.2090756,,Extended Base,\SystemRoot\System32\drivers\acpitime.sys,,
ROOT\ControlSet001\Services,None,ADOVMPPackage,,,Disabled,Adapter,2017-09-29 13:47:03.9470010,,,,,
ROOT\ControlSet001\Services,None,ADP80XX,,,Boot,KernelDriver,2018-03-27 12:11:29.6794612,2017-09-29 13:46:10.5052507,SCSI Miniport,System32\drivers\ADP80XX.SYS,,
ROOT\ControlSet001\Services,None,adsi,,,Disabled,Adapter,2017-09-29 13:47:03.9470010,,,,,
ROOT\ControlSet001\Services,None,ad_driver,,AccessData Driver,Manual,KernelDriver,2018-04-06 12:42:31.8431328,,,\??\C:\Users\jcloudy\AppData\Local\Temp\ad_driver.sys,,
ROOT\ControlSet001\Services,None,AFD,"@%systemroot%\system32\drivers\afd.sys,-1000","@%systemroot%\system32\drivers\afd.sys,-1000",System,KernelDriver,2017-09-29 13:47:44.6063100,2017-09-29 13:47:03.9470010,PNP_TDI,\SystemRoot\system32\drivers\afd.sys,,
ROOT\ControlSet001\Services,None,ahcache,"@%systemroot%\system32\drivers\ahcache.sys,-101","@%systemroot%\system32\drivers\ahcache.sys,-102",System,KernelDriver,2017-09-29 13:47:44.6063100,,,system32\DRIVERS\ahcache.sys,,
ROOT\ControlSet001\Services,None,AJRouter,"@%SystemRoot%\system32\AJRouter.dll,-1","@%SystemRoot%\system32\AJRouter.dll,-2",Manual,Win32ShareProcess,2017-09-29 13:47:44.6063100,2017-09-29 13:47:03.9470010,,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,,
ROOT\ControlSet001\Services,None,ALG,"@%SystemRoot%\system32\Alg.exe,-113","@%SystemRoot%\system32\Alg.exe,-112",Manual,Win32OwnProcess,2017-09-29 13:47:44.6063100,,,%SystemRoot%\System32\alg.exe,,SeChangeNotifyPrivilege SeCreateGlobalPrivilege SeImpersonatePrivilege
ROOT\ControlSet001\Services,None,AmdK8,,"@cpu.inf,%AmdK8.SvcDesc%;AMD K8 Processor Driver",Manual,KernelDriver,2017-09-29 13:46:18.5371480,,Extended Base,\SystemRoot\System32\drivers\amdk8.sys,,
ROOT\ControlSet001\Services,None,AmdPPM,,"@cpu.inf,%AmdPPM.SvcDesc%;AMD Processor Driver",Manual,KernelDriver,2017-09-29 13:46:18.5840263,,Extended Base,\SystemRoot\System32\drivers\amdppm.sys,,
ROOT\ControlSet001\Services,None,amdsata,,,Boot,KernelDriver,2018-03-27 12:11:29.6794612,2017-09-29 13:46:10.5677554,SCSI miniport,System32\drivers\amdsata.sys,,
ROOT\ControlSet001\Services,None,amdsbs,,,Boot,KernelDriver,2018-03-27 12:11:29.6794612,2017-09-29 13:46:10.6302596,SCSI miniport,System32\drivers\amdsbs.sys,,
ROOT\ControlSet001\Services,None,amdxata,,,Boot,KernelDriver,2018-03-27 12:11:29.6794612,2017-09-29 13:46:10.5677554,SCSI miniport,System32\drivers\amdxata.sys,,
ROOT\ControlSet001\Services,None,ApfiltrService,,"@oem3.inf,%Filter.SvcDesc%;Alps Touch Pad Filter Driver for Windows x64",Manual,KernelDriver,2018-03-27 21:45:39.8540445,2018-03-27 09:17:25.3144844,Pointer Port,\SystemRoot\system32\DRIVERS\Apfiltr.sys,,
ROOT\ControlSet001\Services,None,ApHidMonitorService,"@oem3.inf,%HidMonitor.SvcDesc%;Monitor HID device for Alps","@oem3.inf,%HidMonitor.SvcDisp%;Alps HID Monitor Service",Automatic,Win32OwnProcess,2018-03-27 09:17:25.2363289,,,"""C:\Program Files\DellTPad\HidMonitorSvc.exe""",,
ROOT\ControlSet001\Services,None,AppID,"@%systemroot%\system32\srpapi.dll,-101","@%systemroot%\system32\srpapi.dll,-100",Manual,KernelDriver,2017-09-29 13:47:44.6063100,2017-09-29 13:47:03.9470010,,system32\drivers\appid.sys,,
ROOT\ControlSet001\Services,None,AppIDSvc,"@%systemroot%\system32\appidsvc.dll,-101","@%systemroot%\system32\appidsvc.dll,-100",Manual,Win32ShareProcess,2017-09-29 13:47:44.6063100,2017-09-29 13:47:03.9470010,ProfSvc_Group,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,,SeChangeNotifyPrivilege SeImpersonatePrivilege
ROOT\ControlSet001\Services,None,Appinfo,"@%systemroot%\system32\appinfo.dll,-101","@%systemroot%\system32\appinfo.dll,-100",Manual,Win32ShareProcess,2017-09-29 13:47:44.6063100,2017-09-29 13:47:03.9470010,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,SeAssignPrimaryTokenPrivilege SeIncreaseQuotaPrivilege SeTcbPrivilege SeBackupPrivilege SeRestorePrivilege SeDebugPrivilege SeAuditPrivilege SeChangeNotifyPrivilege SeImpersonatePrivilege SeCreatePermanentPrivilege SeLoadDriverPrivilege
ROOT\ControlSet001\Services,None,applockerfltr,"@%systemroot%\system32\srpapi.dll,-103","@%systemroot%\system32\srpapi.dll,-102",Manual,KernelDriver,2017-09-29 13:47:44.6063100,,,system32\drivers\applockerfltr.sys,,
ROOT\ControlSet001\Services,None,AppMgmt,"@appmgmts.dll,-3251","@appmgmts.dll,-3250",Manual,Win32ShareProcess,2017-09-29 14:43:19.5350514,2017-09-29 14:43:18.9560718,,%SystemRoot%\system32\svchost.exe -k netsvcs -p,,SeCreateGlobalPrivilege SeImpersonatePrivilege SeIncreaseQuotaPrivilege SeShutdownPrivilege SeTakeOwnershipPrivilege
ROOT\ControlSet001\Services,None,AppReadiness,"@%SystemRoot%\System32\AppReadiness.dll,-1001","@%SystemRoot%\System32\AppReadiness.dll,-1000",Manual,Win32ShareProcess,2017-09-29 13:47:44.6063100,2017-09-29 13:47:03.9470010,,%SystemRoot%\System32\svchost.exe -k AppReadiness -p,%SystemRoot%\system32\AppReadiness.dll,SeImpersonatePrivilege SeTcbPrivilege SeBackupPrivilege SeRestorePrivilege SeProfileSingleProcessPrivilege
ROOT\ControlSet001\Services,None,AppVClient,"@%systemroot%\system32\AppVClient.exe,-101","@%systemroot%\system32\AppVClient.exe,-102",Disabled,Win32OwnProcess,2017-09-29 14:43:19.5350514,,,%systemroot%\system32\AppVClient.exe,,
ROOT\ControlSet001\Services,None,AppvStrm,"@%systemroot%\system32\drivers\AppvStrm.sys,-102","@%systemroot%\system32\drivers\AppvStrm.sys,-101",Manual,FileSystemDriver,2017-09-29 14:43:19.5350514,,FSFilter HSM,\SystemRoot\system32\drivers\AppvStrm.sys,,
ROOT\ControlSet001\Services,None,AppvVemgr,"@%systemroot%\system32\drivers\AppvVemgr.sys,-102","@%systemroot%\system32\drivers\AppvVemgr.sys,-101",Manual,FileSystemDriver,2017-09-29 14:43:19.5350514,,FSFilter Activity Monitor,\SystemRoot\system32\drivers\AppvVemgr.sys,,
ROOT\ControlSet001\Services,None,AppvVfs,"@%systemroot%\system32\drivers\AppvVfs.sys,-102","@%systemroot%\system32\drivers\AppvVfs.sys,-101",Manual,FileSystemDriver,2017-09-29 14:43:19.5360777,,FSFilter Activity Monitor,\SystemRoot\system32\drivers\AppvVfs.sys,,
ROOT\ControlSet001\Services,None,AppXSvc,"@%SystemRoot%\system32\appxdeploymentserver.dll,-2","@%SystemRoot%\system32\appxdeploymentserver.dll,-1",Manual,Win32ShareProcess,2017-09-29 13:47:44.6063100,,,%systemroot%\system32\svchost.exe -k wsappx -p,,SeTcbPrivilege SeIncreaseBasePriorityPrivilege SeCreatePermanentPrivilege SeSecurityPrivilege SeChangeNotifyPrivilege SeImpersonatePrivilege SeCreateGlobalPrivilege SeAssignPrimaryTokenPrivilege SeRestorePrivilege SeTakeOwnershipPrivilege SeBackupPrivilege SeCreateSymbolicLinkPrivilege
ROOT\ControlSet001\Services,None,arcsas,,"@arcsas.inf,%arcsas_ServiceName%;Adaptec SAS/SATA-II RAID Storport's Miniport Driver",Boot,KernelDriver,2018-03-27 12:11:29.6794612,2017-09-29 13:46:10.6771380,SCSI miniport,System32\drivers\arcsas.sys,,
