BatchKeyPath,BatchValueName,Extension,ValueName,TargetName,LnkName,MruPosition,OpenedOn,ExtensionLastOpened
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,11,RecentDocs,11,Downloads,Downloads.lnk,0,2018-04-06 12:27:08.0399072,2018-04-06 12:27:08.0399072
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,37,RecentDocs,37,rootkey.csv,rootkey.lnk,1,,2018-04-06 12:27:08.0208999
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,36,RecentDocs,36,Hardware and Sound,Hardware and Sound.lnk,2,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,35,RecentDocs,35,::{025A5937-A6BE-4686-A844-36FE4BEC8B6D},Power Options.lnk,3,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,10,RecentDocs,10,DemGun.jpg,DemGun.lnk,4,,2018-04-06 08:29:08.3310755
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,34,RecentDocs,34,LeftUsesBoycotts.pdf,LeftUsesBoycotts.lnk,5,,2018-04-06 03:56:32.0849141
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,33,RecentDocs,33,AMEN.pdf,AMEN.lnk,6,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,12,RecentDocs,12,Planning.docx,Planning.lnk,7,,2018-04-05 08:32:48.7241505
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,32,RecentDocs,32,UKknifeBan.pdf,UKknifeBan.lnk,8,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,31,RecentDocs,31,SelfDefenseisMurder.pdf,SelfDefenseisMurder.lnk,9,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,30,RecentDocs,30,Cloudy thoughts (4apr).docx,Cloudy thoughts (4apr).lnk,10,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,29,RecentDocs,29,Desktop,Desktop.lnk,11,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,7,RecentDocs,7,OneDrive,OneDrive.lnk,12,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,28,RecentDocs,28,Operation 2nd Hand Smoke.pptx,Operation 2nd Hand Smoke.lnk,13,,2018-04-04 05:31:23.8557662
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,13,RecentDocs,13,AIRPORT INFORMATION.docx,AIRPORT INFORMATION.lnk,14,,
ROOT\Software\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs,27,RecentDocs,27,The Cloudy Manifesto.docx,The Cloudy Manifesto.lnk,15,,
