Program,BatchKeyPath,ExecutionTime,BatchValueName
\Device\HarddiskVolume4\Windows\System32\csrss.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-18,2018-04-06 12:40:38.8104203,\Device\HarddiskVolume4\Windows\System32\csrss.exe
Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1000,2018-03-27 09:19:58.1960180,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1000,2018-03-27 09:16:34.8967130,Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy
Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-03-28 00:44:24.3498724,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy
Microsoft.Windows.Cortana_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:48:01.8702004,Microsoft.Windows.Cortana_cw5n1h2txyewy
\Device\HarddiskVolume4\Program Files\DellTPad\Apoint.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-03-27 23:29:47.1324839,\Device\HarddiskVolume4\Program Files\DellTPad\Apoint.exe
\Device\HarddiskVolume4\Windows\System32\notepad.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-03-27 09:26:36.4187281,\Device\HarddiskVolume4\Windows\System32\notepad.exe
windows.immersivecontrolpanel_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:46:38.9842303,windows.immersivecontrolpanel_cw5n1h2txyewy
Microsoft.MicrosoftEdge_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-03-31 04:12:39.5604558,Microsoft.MicrosoftEdge_8wekyb3d8bbwe
\Device\HarddiskVolume4\Program Files (x86)\Google\Chrome\Application\chrome.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:51:31.4768689,\Device\HarddiskVolume4\Program Files (x86)\Google\Chrome\Application\chrome.exe
\Device\HarddiskVolume4\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:29:35.6363661,\Device\HarddiskVolume4\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe
\Device\HarddiskVolume4\Program Files\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:29:32.4238547,\Device\HarddiskVolume4\Program Files\Common Files\microsoft shared\ClickToRun\OfficeC2RClient.exe
Microsoft.Office.OneNote_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 07:24:29.1368733,Microsoft.Office.OneNote_8wekyb3d8bbwe
Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-03-27 09:54:13.5439528,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy
\Device\HarddiskVolume4\Windows\System32\cmd.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-05 02:05:02.3333851,\Device\HarddiskVolume4\Windows\System32\cmd.exe
\Device\HarddiskVolume4\Windows\System32\OpenWith.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-02 01:10:22.2235821,\Device\HarddiskVolume4\Windows\System32\OpenWith.exe
Microsoft.WindowsStore_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:27:40.6863410,Microsoft.WindowsStore_8wekyb3d8bbwe
microsoft.microsoftskydrive_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-03-27 09:55:16.3848756,microsoft.microsoftskydrive_8wekyb3d8bbwe
Microsoft.LockApp_cw5n1h2txyewy,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-03-30 03:03:20.5344119,Microsoft.LockApp_cw5n1h2txyewy
\Device\HarddiskVolume4\Program Files\Google\Drive\googledrivesync.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-05 08:32:48.7574026,\Device\HarddiskVolume4\Program Files\Google\Drive\googledrivesync.exe
\Device\HarddiskVolume4\Program Files\S3 Browser\s3browser-win32.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-05 06:08:37.8513746,\Device\HarddiskVolume4\Program Files\S3 Browser\s3browser-win32.exe
\Device\HarddiskVolume4\Program Files (x86)\Dropbox\Client\Dropbox.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:35:21.0321049,\Device\HarddiskVolume4\Program Files (x86)\Dropbox\Client\Dropbox.exe
\Device\HarddiskVolume4\Program Files\Box\Box Sync\BoxSync.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-05 02:05:05.4284491,\Device\HarddiskVolume4\Program Files\Box\Box Sync\BoxSync.exe
\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-05 08:32:48.8116276,\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\WINWORD.EXE
Microsoft.WindowsCalculator_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-03-31 20:09:50.3495712,Microsoft.WindowsCalculator_8wekyb3d8bbwe
Microsoft.Windows.Photos_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:46:49.4439723,Microsoft.Windows.Photos_8wekyb3d8bbwe
\Device\HarddiskVolume4\Users\jcloudy\AppData\Local\Microsoft\OneDrive\OneDrive.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-04 05:59:40.9709490,\Device\HarddiskVolume4\Users\jcloudy\AppData\Local\Microsoft\OneDrive\OneDrive.exe
\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-04 05:11:29.8784631,\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\POWERPNT.EXE
Microsoft.BingWeather_8wekyb3d8bbwe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-04 05:40:26.3373909,Microsoft.BingWeather_8wekyb3d8bbwe
\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\EXCEL.EXE,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:27:06.5469371,\Device\HarddiskVolume4\Program Files (x86)\Microsoft Office\root\Office16\EXCEL.EXE
\Device\HarddiskVolume6\Programs\Imager_Lite_3.1.1\FTK Imager.exe,ROOT\ControlSet001\Services\bam\UserSettings\S-1-5-21-2734969515-1644526556-1039763013-1001,2018-04-06 12:41:21.6861211,\Device\HarddiskVolume6\Programs\Imager_Lite_3.1.1\FTK Imager.exe
