HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{0000002F-0000-0000-C000-000000000046},(default),RegSz,CLSID_RecordInfo,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000100-0000-0010-8000-00AA006D2EA4},(default),RegSz,DAO.DBEngine.36,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000101-0000-0010-8000-00AA006D2EA4},(default),RegSz,DAO.PrivateDBEngine.36,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000103-0000-0010-8000-00AA006D2EA4},(default),RegSz,DAO.TableDef.36,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000104-0000-0010-8000-00AA006D2EA4},(default),RegSz,DAO.Field.36,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000105-0000-0010-8000-00AA006D2EA4},(default),RegSz,DAO.Index.36,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000106-0000-0010-8000-00AA006D2EA4},(default),RegSz,DAO.Group.36,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000107-0000-0010-8000-00AA006D2EA4},(default),RegSz,DAO.User.36,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000108-0000-0010-8000-00AA006D2EA4},(default),RegSz,DAO.QueryDef.36,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000109-0000-0010-8000-00AA006D2EA4},(default),RegSz,DAO.Relation.36,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000300-0000-0000-C000-000000000046},(default),RegSz,StdOleLink,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000301-A8F2-4877-BA0A-FD2B6645FB94},(default),RegSz,PSFactoryBuffer,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000303-0000-0000-C000-000000000046},(default),RegSz,FileMoniker,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000304-0000-0000-C000-000000000046},(default),RegSz,ItemMoniker,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000305-0000-0000-C000-000000000046},(default),RegSz,AntiMoniker,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000306-0000-0000-C000-000000000046},(default),RegSz,PointerMoniker,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000308-0000-0000-C000-000000000046},(default),RegSz,PackagerMoniker,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000309-0000-0000-C000-000000000046},(default),RegSz,CompositeMoniker,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{0000030B-0000-0000-C000-000000000046},(default),RegSz,DfMarshal,,,,True,False,2017-09-29 13:47:27.3237598,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000315-0000-0000-C000-000000000046},(default),RegSz,Picture (Metafile),,,,True,False,2017-09-29 13:47:27.3081336,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,WOW6432Node CLSID,ASEP Classes,ROOT\Classes\WOW6432Node\CLSID\{00000316-0000-0000-C000-000000000046},(default),RegSz,Picture (Device Independent Bitmap),,,,True,False,2017-09-29 13:47:27.3081336,
