HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,LSA Authentication Packages,ASEP,ROOT\ControlSet001\Control\Lsa,Authentication Packages,RegMultiSz,msv1_0,,,,False,False,2018-03-27 21:45:43.7698899,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,LSA Notification Packages,ASEP,ROOT\ControlSet001\Control\Lsa,Notification Packages,RegMultiSz,scecli,,,,False,False,2018-03-27 21:45:43.7698899,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,LSA Security Packages,ASEP,ROOT\ControlSet001\Control\Lsa,Security Packages,RegMultiSz,"""""",,,,False,False,2018-03-27 21:45:43.7698899,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,NetworkProvider Order,ASEP,ROOT\ControlSet001\Control\NetworkProvider\Order,ProviderOrder,RegSz,"RDPNP,LanmanWorkstation,webclient",,,,False,False,2017-09-29 13:47:44.6063100,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Driver,ASEP,ROOT\ControlSet001\Control\Print\Monitors\Appmon,Driver,RegSz,AppMon.dll,,,,True,False,2018-03-27 12:13:31.4633695,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Driver,ASEP,ROOT\ControlSet001\Control\Print\Monitors\IppMon,Driver,RegSz,IPPMon.dll,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Driver,ASEP,ROOT\ControlSet001\Control\Print\Monitors\Local Port,Driver,RegSz,localspl.dll,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Driver,ASEP,ROOT\ControlSet001\Control\Print\Monitors\Microsoft Shared Fax Monitor,Driver,RegSz,FXSMON.DLL,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Driver,ASEP,ROOT\ControlSet001\Control\Print\Monitors\Standard TCP/IP Port,Driver,RegSz,tcpmon.dll,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Driver,ASEP,ROOT\ControlSet001\Control\Print\Monitors\USB Monitor,Driver,RegSz,usbmon.dll,,,,True,False,2017-09-29 13:47:04.2282721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Driver,ASEP,ROOT\ControlSet001\Control\Print\Monitors\WSD Port,Driver,RegSz,WSDMon.dll,,,,True,False,2018-03-27 12:13:31.5006354,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Providers,ASEP,ROOT\ControlSet001\Control\Print\Providers\Internet Print Provider,DisplayName,RegSz,HTTP Print Services,,,,True,False,2017-09-29 14:43:18.9600506,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Providers,ASEP,ROOT\ControlSet001\Control\Print\Providers\Internet Print Provider,Name,RegSz,inetpp.dll,,,,True,False,2017-09-29 14:43:18.9600506,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Providers,ASEP,ROOT\ControlSet001\Control\Print\Providers\LanMan Print Services,DisplayName,RegSz,LanMan Print Services,,,,True,False,2018-03-27 12:13:31.5319926,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,Print Providers,ASEP,ROOT\ControlSet001\Control\Print\Providers\LanMan Print Services,Name,RegSz,win32spl.dll,,,,True,False,2018-03-27 12:13:31.5319926,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot,ASEP,ROOT\ControlSet001\Control\SafeBoot,AlternateShell,RegSz,cmd.exe,,,,False,False,2017-09-29 13:47:04.1813936,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SYSTEM,System,SafeBoot Minimal,ASEP,ROOT\ControlSet001\Control\SafeBoot\Minimal\Ahcache.sys,(default),RegSz,Driver,,,,True,False,2017-09-29 13:47:04.2282721,
