HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Clients StartMenuInternet shell open command,ASEP,ROOT\Clients\StartMenuInternet\Google Chrome\shell\open\command,(default),RegSz,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe""",,,,True,False,2018-03-27 09:32:50.9354407,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Clients StartMenuInternet shell open command,ASEP,ROOT\Clients\StartMenuInternet\IEXPLORE.EXE\shell\open\command,(default),RegSz,C:\Program Files\Internet Explorer\iexplore.exe,,,,True,False,2018-03-27 13:10:42.6884721,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95},(default),RegSz,Microsoft Windows Media Player,,,,True,False,2017-09-29 14:41:52.5334020,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{22d6f312-b0f6-11d0-94ab-0080c74c7e95},(default),RegSz,Microsoft Windows Media Player 12.0,,,,True,False,2017-09-29 14:41:52.5323997,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{2C7339CF-2B09-4501-B3F3-F3508C9228ED},(default),RegSz,Themes Setup,,,,True,False,2017-09-29 13:47:12.7132855,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{3af36230-a269-11d1-b5bf-0000f8051515},(default),RegSz,Offline Browsing Pack,,,,True,False,2018-03-27 09:55:48.4485779,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{44BBA855-CC51-11CF-AAFA-00AA00B6015F},(default),RegSz,DirectDrawEx,,,,True,False,2017-09-29 13:47:12.7132855,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{45ea75a0-a269-11d1-b5bf-0000f8051515},(default),RegSz,Internet Explorer Help,,,,True,False,2018-03-27 09:55:48.4485779,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{4f645220-306d-11d2-995d-00c04f98bbc9},(default),RegSz,Microsoft Windows Script 5.6,,,,True,False,2017-09-29 13:47:12.7132855,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{4FC4FAB8-DD2C-3F8B-B378-F6EF65C0EC05},(default),RegSz,.NET Framework,,,,True,False,2017-09-29 13:49:35.8646811,
M:\Forensics\Lone Wolf 2018\KAPE\tout\D\Windows\System32\config\SOFTWARE,Software,Active Setup Installed Components,ASEP,ROOT\Microsoft\Active Setup\Installed Components\{5fd399c0-a70a-11d1-9948-00c04f98bbc9},(default),RegSz,Internet Explorer Setup Tools,,,,True,False,2018-03-27 09:55:48.4485779,
